ダウンロードした時刻：2019/10/10 16:26:32

,種子島,種子島,種子島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1987/12/1,11.3,13.3,7.8
1987/12/2,8.9,10.8,6.7
1987/12/3,12.0,14.0,9.0
1987/12/4,12.0,13.3,9.7
1987/12/5,11.1,13.0,9.3
1987/12/6,11.8,14.4,9.3
1987/12/7,12.1,14.4,8.7
1987/12/8,14.5,17.3,12.1
1987/12/9,16.8,20.2,14.3
1987/12/10,16.2,18.5,13.8
1987/12/11,15.3,16.7,13.3
1987/12/12,14.1,16.4,12.3
1987/12/13,12.0,13.6,10.5
1987/12/14,13.0,14.9,11.5
1987/12/15,14.1,16.1,11.7
1987/12/16,13.6,16.2,11.7
1987/12/17,13.2,16.6,8.7
1987/12/18,13.9,16.2,10.2
1987/12/19,14.4,18.5,10.0
1987/12/20,14.6,16.1,13.8
1987/12/21,12.3,14.6,8.9
1987/12/22,14.0,16.5,8.8
1987/12/23,15.4,17.7,11.8
1987/12/24,15.4,19.3,11.5
1987/12/25,17.5,21.1,12.1
1987/12/26,19.6,23.2,15.8
1987/12/27,19.5,21.9,15.7
1987/12/28,18.6,22.4,13.7
1987/12/29,18.9,21.9,16.9
1987/12/30,15.5,20.2,11.2
1987/12/31,13.0,15.8,9.8
1988/1/1,17.1,20.2,13.4
1988/1/2,17.5,19.2,15.8
1988/1/3,17.4,19.0,16.5
1988/1/4,17.9,23.0,15.5
1988/1/5,13.5,15.5,11.1
1988/1/6,12.2,14.5,9.8
1988/1/7,15.9,19.9,12.4
1988/1/8,15.3,16.8,14.2
1988/1/9,12.4,15.5,9.6
1988/1/10,8.5,10.2,7.3
1988/1/11,8.7,10.7,6.8
1988/1/12,10.7,13.8,5.9
1988/1/13,12.7,16.0,9.4
1988/1/14,15.2,19.2,9.2
1988/1/15,17.6,19.4,16.0
1988/1/16,15.4,17.7,12.8
1988/1/17,11.5,12.9,10.6
1988/1/18,10.6,13.5,7.2
1988/1/19,10.7,13.5,6.1
1988/1/20,13.8,16.5,8.0
1988/1/21,18.2,21.5,16.0
1988/1/22,17.1,19.5,14.8
1988/1/23,10.2,15.0,7.7
1988/1/24,7.9,9.4,5.7
1988/1/25,10.8,12.5,8.8
1988/1/26,10.6,11.3,9.7
1988/1/27,10.6,13.6,8.0
1988/1/28,12.0,15.5,7.0
1988/1/29,14.5,17.3,12.2
1988/1/30,13.8,17.2,12.0
1988/1/31,10.2,12.8,8.7
1988/2/1,10.7,14.3,7.4
1988/2/2,11.8,14.7,8.5
1988/2/3,6.8,8.7,5.6
1988/2/4,11.4,15.3,5.9
1988/2/5,18.7,22.7,13.5
1988/2/6,12.4,18.5,8.6
1988/2/7,7.7,9.1,6.7
1988/2/8,8.3,9.8,7.5
1988/2/9,9.1,11.6,7.5
1988/2/10,9.2,11.7,6.8
1988/2/11,10.5,12.0,5.5
1988/2/12,11.6,15.4,8.9
1988/2/13,12.3,13.2,10.0
1988/2/14,12.3,13.6,11.4
1988/2/15,11.0,13.5,8.5
1988/2/16,10.3,12.6,8.7
1988/2/17,8.7,10.9,7.4
1988/2/18,7.7,9.8,6.0
1988/2/19,7.9,11.4,4.9
1988/2/20,11.0,13.6,7.7
1988/2/21,11.6,13.6,9.2
1988/2/22,13.2,16.2,11.3
1988/2/23,17.2,19.6,13.9
1988/2/24,16.5,18.6,15.2
1988/2/25,15.0,17.8,13.2
1988/2/26,13.9,16.1,13.0
1988/2/27,13.3,14.9,11.7
1988/2/28,13.7,15.4,11.3
1988/2/29,16.2,17.9,14.5
1988/3/1,15.4,16.8,14.4
1988/3/2,13.7,15.2,11.4
1988/3/3,9.2,11.6,6.6
1988/3/4,8.0,10.5,3.9
1988/3/5,9.7,11.6,8.5
1988/3/6,10.1,11.2,7.5
1988/3/7,8.9,12.5,7.0
1988/3/8,9.7,12.4,7.0
1988/3/9,11.2,13.5,9.9
1988/3/10,13.4,17.4,10.4
1988/3/11,17.6,21.0,11.0
1988/3/12,16.2,20.3,13.8
1988/3/13,16.8,20.8,12.2
1988/3/14,20.7,23.6,16.3
1988/3/15,17.4,22.0,13.4
1988/3/16,12.1,13.6,10.7
1988/3/17,14.4,16.7,12.7
1988/3/18,13.3,15.1,11.9
1988/3/19,14.4,17.1,10.0
1988/3/20,15.7,18.6,13.8
1988/3/21,15.8,17.6,13.9
1988/3/22,16.4,19.0,14.1
1988/3/23,13.3,14.5,12.1
1988/3/24,15.2,18.0,11.5
1988/3/25,18.0,20.9,15.5
1988/3/26,15.4,17.5,13.0
1988/3/27,13.9,16.5,10.5
1988/3/28,14.9,17.4,13.1
1988/3/29,13.9,15.9,12.7
1988/3/30,12.5,13.3,11.3
1988/3/31,14.9,17.4,12.1
