ダウンロードした時刻：2019/10/10 16:11:59

,大阪,大阪,大阪
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2003/12/1,14.4,16.1,12.9
2003/12/2,13.4,16.3,11.3
2003/12/3,12.3,16.1,8.7
2003/12/4,11.3,15.3,7.8
2003/12/5,11.4,16.0,6.9
2003/12/6,13.9,16.9,11.5
2003/12/7,11.4,14.8,6.6
2003/12/8,8.2,11.5,4.3
2003/12/9,9.0,12.5,7.0
2003/12/10,7.9,11.9,4.9
2003/12/11,6.8,8.6,4.5
2003/12/12,9.5,12.7,7.5
2003/12/13,8.2,12.5,6.0
2003/12/14,8.3,12.8,5.0
2003/12/15,7.7,13.3,3.7
2003/12/16,7.4,10.3,5.2
2003/12/17,9.0,13.7,4.7
2003/12/18,8.8,11.0,7.3
2003/12/19,6.9,9.8,2.7
2003/12/20,3.1,5.5,1.5
2003/12/21,5.0,9.5,1.1
2003/12/22,8.0,13.0,3.0
2003/12/23,9.4,13.8,4.5
2003/12/24,10.8,15.1,5.9
2003/12/25,11.1,15.7,4.9
2003/12/26,10.0,12.9,5.6
2003/12/27,4.7,7.7,3.4
2003/12/28,6.9,10.7,4.0
2003/12/29,8.4,12.9,2.4
2003/12/30,9.6,13.7,6.3
2003/12/31,7.9,9.9,6.0
2004/1/1,8.9,12.5,5.2
2004/1/2,8.6,13.1,4.3
2004/1/3,9.6,13.1,6.8
2004/1/4,8.1,11.8,4.4
2004/1/5,7.3,11.7,3.3
2004/1/6,6.3,9.2,3.3
2004/1/7,8.2,12.1,3.2
2004/1/8,5.7,9.0,3.8
2004/1/9,6.1,9.8,3.7
2004/1/10,7.0,11.4,2.7
2004/1/11,5.2,8.0,3.9
2004/1/12,6.1,10.2,1.7
2004/1/13,5.9,8.6,3.9
2004/1/14,4.7,7.5,2.6
2004/1/15,5.5,9.6,2.8
2004/1/16,4.3,7.0,3.0
2004/1/17,3.2,4.3,0.9
2004/1/18,5.6,10.5,1.1
2004/1/19,7.3,10.9,4.5
2004/1/20,6.5,10.3,2.7
2004/1/21,4.8,7.8,2.3
2004/1/22,-0.1,2.5,-2.2
2004/1/23,3.2,6.7,-1.0
2004/1/24,3.9,6.6,1.3
2004/1/25,3.4,6.3,1.4
2004/1/26,4.0,8.0,-0.7
2004/1/27,4.8,8.2,1.5
2004/1/28,5.6,9.6,1.8
2004/1/29,7.2,11.6,2.0
2004/1/30,7.0,11.5,2.5
2004/1/31,7.0,10.7,4.3
2004/2/1,7.6,13.5,1.7
2004/2/2,8.7,10.9,6.7
2004/2/3,7.6,10.0,3.6
2004/2/4,4.7,8.0,2.3
2004/2/5,4.0,8.8,1.5
2004/2/6,3.6,7.1,0.9
2004/2/7,3.6,8.0,1.0
2004/2/8,4.8,8.1,0.2
2004/2/9,5.3,9.8,2.4
2004/2/10,4.8,10.1,0.3
2004/2/11,6.3,11.2,0.5
2004/2/12,8.1,12.6,4.0
2004/2/13,8.2,14.4,3.4
2004/2/14,9.5,17.6,3.8
2004/2/15,7.1,10.0,4.4
2004/2/16,6.4,11.0,3.6
2004/2/17,6.2,9.9,1.1
2004/2/18,8.8,14.9,4.1
2004/2/19,9.4,14.8,3.5
2004/2/20,11.7,19.2,4.9
2004/2/21,13.7,19.7,8.1
2004/2/22,15.5,21.2,11.0
2004/2/23,9.0,12.9,5.4
2004/2/24,7.8,11.8,3.2
2004/2/25,11.4,15.3,7.8
2004/2/26,10.7,15.1,5.4
2004/2/27,7.0,11.4,4.1
2004/2/28,8.7,13.1,2.9
2004/2/29,10.3,14.4,7.3
2004/3/1,7.8,11.5,6.3
2004/3/2,6.9,11.6,3.7
2004/3/3,5.4,8.2,2.6
2004/3/4,5.3,9.0,3.0
2004/3/5,6.8,11.4,1.1
2004/3/6,6.7,10.0,2.9
2004/3/7,3.0,7.1,1.4
2004/3/8,5.2,8.5,0.5
2004/3/9,8.9,13.5,3.4
2004/3/10,13.4,19.7,5.1
2004/3/11,14.3,18.7,9.3
2004/3/12,9.7,12.1,7.0
2004/3/13,9.5,14.8,3.7
2004/3/14,11.6,18.6,4.6
2004/3/15,12.5,18.2,7.7
2004/3/16,13.3,19.4,6.4
2004/3/17,18.3,23.1,12.6
2004/3/18,10.3,19.5,5.5
2004/3/19,8.9,14.4,3.9
2004/3/20,8.7,10.5,7.2
2004/3/21,9.8,14.4,4.5
2004/3/22,6.3,10.5,4.8
2004/3/23,10.2,15.5,5.8
2004/3/24,10.6,13.1,8.5
2004/3/25,11.2,14.6,9.3
2004/3/26,10.7,15.4,7.7
2004/3/27,10.9,15.9,5.8
2004/3/28,13.7,21.5,7.1
2004/3/29,16.1,21.9,9.9
2004/3/30,15.6,17.8,14.0
2004/3/31,13.4,17.5,9.9
