ダウンロードした時刻：2019/10/10 15:35:25

,八戸,八戸,八戸
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1980/12/1,7.4,9.9,3.8
1980/12/2,6.6,10.3,-0.3
1980/12/3,8.0,11.2,4.0
1980/12/4,4.0,9.1,0.3
1980/12/5,1.2,5.4,-1.4
1980/12/6,3.0,8.8,-1.5
1980/12/7,2.0,4.9,-0.3
1980/12/8,-0.1,2.8,-3.1
1980/12/9,-0.2,3.4,-5.1
1980/12/10,2.6,6.8,-1.5
1980/12/11,2.7,7.7,-3.7
1980/12/12,7.3,11.9,1.6
1980/12/13,-0.4,4.3,-2.7
1980/12/14,-1.8,0.7,-4.1
1980/12/15,0.5,2.4,-1.9
1980/12/16,1.6,3.4,-0.3
1980/12/17,2.0,5.3,-0.9
1980/12/18,1.6,5.2,-0.2
1980/12/19,-1.9,0.5,-3.3
1980/12/20,-1.1,2.7,-4.0
1980/12/21,-1.6,1.7,-4.2
1980/12/22,-0.5,2.6,-3.6
1980/12/23,0.0,3.8,-3.5
1980/12/24,2.6,3.7,-0.7
1980/12/25,1.4,4.6,-0.8
1980/12/26,1.0,5.9,-2.0
1980/12/27,0.7,2.7,-1.8
1980/12/28,0.4,4.9,-3.3
1980/12/29,1.5,5.3,-1.7
1980/12/30,2.3,5.7,0.1
1980/12/31,1.4,5.4,-1.9
1981/1/1,0.4,5.2,-2.7
1981/1/2,2.0,5.6,-4.2
1981/1/3,1.0,3.9,-0.6
1981/1/4,-0.8,2.1,-4.3
1981/1/5,-2.3,2.4,-7.5
1981/1/6,-2.8,0.7,-5.8
1981/1/7,-4.4,-1.8,-6.7
1981/1/8,-2.6,-0.3,-5.0
1981/1/9,-0.1,2.6,-2.4
1981/1/10,-0.5,2.3,-2.7
1981/1/11,-2.1,1.4,-4.3
1981/1/12,-2.9,0.3,-5.2
1981/1/13,-2.8,1.2,-6.5
1981/1/14,-2.0,1.5,-6.2
1981/1/15,-1.9,2.7,-4.8
1981/1/16,-2.2,2.7,-5.5
1981/1/17,-2.7,2.8,-7.6
1981/1/18,-1.1,1.8,-3.5
1981/1/19,-1.3,2.3,-3.3
1981/1/20,-2.6,1.0,-5.2
1981/1/21,-5.3,-2.1,-7.3
1981/1/22,-3.9,-0.9,-7.3
1981/1/23,-1.9,1.1,-4.2
1981/1/24,0.7,4.6,-3.1
1981/1/25,-3.3,-0.3,-6.3
1981/1/26,-4.4,-0.6,-6.9
1981/1/27,-5.3,-2.6,-7.0
1981/1/28,-3.7,-0.7,-7.0
1981/1/29,-2.8,0.2,-6.0
1981/1/30,-2.6,1.3,-6.5
1981/1/31,-0.8,3.1,-3.4
1981/2/1,-0.8,2.5,-6.5
1981/2/2,-1.0,0.7,-5.2
1981/2/3,0.5,5.1,-5.9
1981/2/4,-0.2,2.1,-2.0
1981/2/5,-0.7,3.4,-3.0
1981/2/6,0.0,3.7,-3.0
1981/2/7,-1.6,3.5,-8.0
1981/2/8,-1.2,2.5,-3.5
1981/2/9,-1.6,1.5,-4.2
1981/2/10,-0.7,2.4,-2.9
1981/2/11,-2.7,-0.4,-4.6
1981/2/12,1.6,7.6,-4.0
1981/2/13,3.5,9.8,-1.5
1981/2/14,1.4,2.8,0.3
1981/2/15,1.5,4.6,-1.5
1981/2/16,2.7,7.8,0.3
1981/2/17,-0.7,2.7,-3.1
1981/2/18,-0.4,3.0,-4.7
1981/2/19,1.1,5.3,-1.9
1981/2/20,-1.2,0.8,-2.8
1981/2/21,-2.7,1.8,-5.2
1981/2/22,-3.2,-0.3,-5.2
1981/2/23,-1.9,1.0,-6.0
1981/2/24,-1.5,-0.7,-2.3
1981/2/25,-3.9,-1.7,-6.8
1981/2/26,-3.8,-1.6,-8.0
1981/2/27,-5.2,-1.5,-10.6
1981/2/28,-4.7,-1.0,-8.0
1981/3/1,-2.5,0.7,-8.0
1981/3/2,-0.7,3.4,-5.7
1981/3/3,2.4,6.8,-1.9
1981/3/4,2.1,6.4,-3.2
1981/3/5,0.7,3.1,-1.9
1981/3/6,-3.2,0.6,-6.5
1981/3/7,-0.9,3.8,-7.9
1981/3/8,-0.7,2.5,-3.2
1981/3/9,-1.7,-0.1,-3.8
1981/3/10,-2.1,-0.6,-3.6
1981/3/11,-2.0,1.8,-4.7
1981/3/12,4.2,8.7,-3.7
1981/3/13,3.3,6.5,0.2
1981/3/14,4.9,9.7,0.4
1981/3/15,6.4,11.5,1.1
1981/3/16,0.3,4.4,-2.5
1981/3/17,-0.3,3.8,-2.7
1981/3/18,4.7,11.2,-2.5
1981/3/19,7.4,15.9,1.5
1981/3/20,3.4,11.8,-0.4
1981/3/21,3.8,8.0,1.4
1981/3/22,2.1,3.1,1.6
1981/3/23,3.5,9.0,0.2
1981/3/24,0.9,6.2,-2.7
1981/3/25,1.4,3.2,-0.6
1981/3/26,2.8,5.9,1.2
1981/3/27,2.9,6.1,0.3
1981/3/28,2.3,7.1,-1.4
1981/3/29,1.2,6.7,-3.8
1981/3/30,2.4,7.7,-1.6
1981/3/31,3.7,10.7,-1.3
