ダウンロードした時刻：2019/10/10 16:09:04

,広島,広島,広島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1981/12/1,6.5,13.2,0.6
1981/12/2,1.9,4.9,0.1
1981/12/3,3.9,9.2,1.0
1981/12/4,4.3,10.8,-0.6
1981/12/5,6.4,12.7,1.1
1981/12/6,7.0,12.4,3.4
1981/12/7,6.0,11.2,1.3
1981/12/8,7.3,11.7,4.5
1981/12/9,8.2,13.0,3.3
1981/12/10,6.8,12.1,3.0
1981/12/11,6.5,12.1,1.1
1981/12/12,8.2,14.8,2.1
1981/12/13,6.8,10.6,3.7
1981/12/14,3.4,6.4,1.1
1981/12/15,2.3,5.2,0.2
1981/12/16,4.4,9.4,1.3
1981/12/17,4.9,11.1,0.6
1981/12/18,6.0,12.0,0.6
1981/12/19,6.0,8.3,4.5
1981/12/20,5.0,8.6,1.4
1981/12/21,7.0,11.2,2.3
1981/12/22,9.4,13.8,6.0
1981/12/23,9.0,11.3,6.6
1981/12/24,6.3,9.1,4.7
1981/12/25,3.9,9.0,-0.6
1981/12/26,5.8,11.4,-0.1
1981/12/27,8.1,14.0,3.3
1981/12/28,8.3,14.0,4.1
1981/12/29,8.5,12.6,3.9
1981/12/30,7.0,11.2,4.6
1981/12/31,6.7,9.0,4.7
1982/1/1,7.2,10.5,5.1
1982/1/2,5.3,10.5,1.2
1982/1/3,4.9,10.1,-0.6
1982/1/4,7.2,9.0,4.7
1982/1/5,7.4,11.0,4.8
1982/1/6,4.6,8.9,0.2
1982/1/7,2.8,6.5,-0.9
1982/1/8,2.0,7.2,-3.0
1982/1/9,6.4,10.6,2.6
1982/1/10,5.3,11.2,0.3
1982/1/11,6.6,12.3,0.7
1982/1/12,9.2,14.2,4.2
1982/1/13,2.9,7.7,0.2
1982/1/14,2.5,7.9,-0.8
1982/1/15,2.2,6.4,-1.9
1982/1/16,1.4,5.6,-0.6
1982/1/17,1.5,5.3,-0.7
1982/1/18,1.5,5.2,-0.9
1982/1/19,0.3,2.3,-1.8
1982/1/20,2.1,7.2,-1.2
1982/1/21,3.7,10.6,-2.0
1982/1/22,5.2,9.8,0.9
1982/1/23,6.1,10.6,2.3
1982/1/24,5.5,8.5,1.3
1982/1/25,5.7,8.1,2.3
1982/1/26,4.5,8.9,-0.4
1982/1/27,5.4,9.6,2.9
1982/1/28,1.1,5.7,-2.7
1982/1/29,-1.6,0.4,-3.6
1982/1/30,1.2,4.7,-2.0
1982/1/31,1.8,4.5,-1.5
1982/2/1,3.2,6.6,0.8
1982/2/2,2.0,5.9,-0.6
1982/2/3,2.6,6.1,-1.9
1982/2/4,3.5,5.0,2.6
1982/2/5,3.8,6.1,0.9
1982/2/6,2.9,6.4,0.1
1982/2/7,1.6,5.1,-0.1
1982/2/8,2.6,7.9,-0.1
1982/2/9,2.5,8.3,-2.4
1982/2/10,3.3,7.8,-0.1
1982/2/11,3.5,8.4,-2.1
1982/2/12,6.2,11.2,2.3
1982/2/13,5.1,10.9,0.4
1982/2/14,3.6,6.7,2.3
1982/2/15,3.6,8.7,-0.6
1982/2/16,4.4,9.1,-1.0
1982/2/17,4.4,6.8,2.6
1982/2/18,6.3,11.2,0.5
1982/2/19,7.0,8.6,4.7
1982/2/20,10.7,15.1,8.3
1982/2/21,9.3,13.2,6.4
1982/2/22,7.5,12.3,2.9
1982/2/23,8.3,11.8,4.4
1982/2/24,3.7,8.4,2.4
1982/2/25,3.4,7.0,-0.9
1982/2/26,3.6,8.2,-0.6
1982/2/27,4.6,10.0,-1.0
1982/2/28,5.0,10.7,1.8
1982/3/1,5.7,8.2,3.4
1982/3/2,4.8,8.6,2.4
1982/3/3,4.5,10.6,-1.1
1982/3/4,6.1,10.8,0.4
1982/3/5,10.7,14.4,7.5
1982/3/6,8.8,13.8,6.5
1982/3/7,5.2,9.0,2.1
1982/3/8,4.2,8.9,0.0
1982/3/9,5.1,12.4,-1.3
1982/3/10,6.8,13.3,0.1
1982/3/11,8.4,14.7,1.5
1982/3/12,7.4,9.5,5.5
1982/3/13,11.1,16.7,6.1
1982/3/14,9.7,14.5,3.9
1982/3/15,10.5,13.6,8.0
1982/3/16,13.9,19.1,10.0
1982/3/17,11.3,15.4,8.3
1982/3/18,11.7,17.4,7.7
1982/3/19,8.1,10.7,6.0
1982/3/20,9.5,12.2,6.4
1982/3/21,12.2,17.6,8.2
1982/3/22,10.7,17.1,4.8
1982/3/23,14.6,18.8,9.5
1982/3/24,10.4,15.3,4.8
1982/3/25,6.4,11.6,3.6
1982/3/26,5.9,11.1,0.3
1982/3/27,7.4,12.9,2.9
1982/3/28,8.7,14.5,2.4
1982/3/29,9.8,16.4,3.3
1982/3/30,12.8,19.0,5.9
1982/3/31,12.6,17.3,7.7
