ダウンロードした時刻：2019/10/10 15:38:21

,酒田,酒田,酒田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1989/12/1,7.5,9.4,3.6
1989/12/2,10.2,12.9,5.6
1989/12/3,11.6,15.9,7.7
1989/12/4,9.8,15.7,6.1
1989/12/5,6.5,8.6,4.9
1989/12/6,6.5,7.7,4.9
1989/12/7,7.3,11.2,3.5
1989/12/8,6.4,10.7,2.2
1989/12/9,2.5,4.0,0.6
1989/12/10,4.3,7.0,0.8
1989/12/11,6.7,10.6,3.3
1989/12/12,3.7,5.4,1.6
1989/12/13,3.4,4.9,1.6
1989/12/14,3.4,4.4,0.6
1989/12/15,6.0,8.4,3.1
1989/12/16,7.6,11.4,5.8
1989/12/17,6.5,9.6,5.0
1989/12/18,2.1,6.3,-1.1
1989/12/19,-0.9,0.5,-2.4
1989/12/20,1.8,2.9,0.0
1989/12/21,2.7,5.0,-1.2
1989/12/22,5.1,7.3,2.6
1989/12/23,3.0,5.5,1.5
1989/12/24,2.9,7.3,0.2
1989/12/25,4.2,10.3,0.2
1989/12/26,7.0,11.5,1.1
1989/12/27,5.1,8.1,1.2
1989/12/28,3.9,5.2,0.7
1989/12/29,4.3,5.1,3.2
1989/12/30,4.2,6.5,1.7
1989/12/31,0.8,3.1,-0.1
1990/1/1,1.6,4.0,-1.3
1990/1/2,2.3,5.0,0.5
1990/1/3,1.7,5.3,-0.4
1990/1/4,1.9,3.4,0.1
1990/1/5,3.3,6.2,0.5
1990/1/6,3.2,5.3,-0.5
1990/1/7,1.0,2.4,-1.0
1990/1/8,3.9,6.6,1.2
1990/1/9,1.7,6.2,-2.5
1990/1/10,5.5,12.0,1.4
1990/1/11,5.4,9.0,2.8
1990/1/12,5.4,10.2,1.4
1990/1/13,0.3,3.6,-2.3
1990/1/14,-0.8,1.3,-2.5
1990/1/15,0.2,2.6,-1.6
1990/1/16,-2.7,1.0,-5.3
1990/1/17,-0.6,2.9,-5.1
1990/1/18,3.1,8.7,-2.8
1990/1/19,2.7,5.4,-1.4
1990/1/20,-1.9,-0.5,-3.1
1990/1/21,-2.7,-0.4,-6.8
1990/1/22,0.4,3.9,-2.8
1990/1/23,-3.8,-0.3,-8.1
1990/1/24,-4.3,-1.3,-6.8
1990/1/25,-4.1,-2.2,-5.8
1990/1/26,-3.5,-2.2,-6.0
1990/1/27,-2.8,-0.2,-4.3
1990/1/28,-1.0,0.9,-3.9
1990/1/29,-1.3,0.5,-3.8
1990/1/30,-0.5,4.7,-1.8
1990/1/31,-2.2,-1.1,-3.6
1990/2/1,-1.6,1.4,-3.4
1990/2/2,-1.2,2.9,-4.1
1990/2/3,1.0,5.3,-5.8
1990/2/4,1.1,4.3,-3.5
1990/2/5,0.5,5.9,-4.1
1990/2/6,1.9,4.8,-2.0
1990/2/7,3.3,7.8,-1.1
1990/2/8,2.2,3.9,0.1
1990/2/9,1.0,4.5,-1.2
1990/2/10,2.6,5.9,-2.5
1990/2/11,7.1,10.3,3.6
1990/2/12,3.8,7.2,1.0
1990/2/13,2.7,5.7,0.1
1990/2/14,2.8,4.8,1.2
1990/2/15,3.8,5.8,2.0
1990/2/16,4.9,7.4,3.0
1990/2/17,5.9,8.4,3.5
1990/2/18,5.3,9.1,0.8
1990/2/19,6.4,8.2,1.9
1990/2/20,9.4,12.3,7.4
1990/2/21,6.9,8.8,5.7
1990/2/22,5.6,8.3,2.6
1990/2/23,8.7,12.6,2.7
1990/2/24,7.7,8.4,6.9
1990/2/25,7.1,8.4,6.0
1990/2/26,6.2,7.8,4.5
1990/2/27,3.7,5.9,2.1
1990/2/28,2.3,5.7,-1.4
1990/3/1,3.6,8.5,-2.4
1990/3/2,6.0,9.7,2.0
1990/3/3,5.6,7.0,4.7
1990/3/4,6.8,9.6,4.7
1990/3/5,5.3,7.5,3.4
1990/3/6,5.0,8.6,0.7
1990/3/7,3.0,6.2,-0.1
1990/3/8,3.1,4.9,1.3
1990/3/9,7.0,10.6,2.4
1990/3/10,7.8,12.4,0.7
1990/3/11,9.7,13.5,4.2
1990/3/12,7.2,12.4,2.4
1990/3/13,3.0,4.8,0.8
1990/3/14,5.2,8.8,1.1
1990/3/15,6.1,9.5,4.6
1990/3/16,6.0,7.9,4.9
1990/3/17,5.6,8.3,2.1
1990/3/18,5.5,10.1,-0.4
1990/3/19,7.9,10.4,5.0
1990/3/20,8.7,10.6,6.2
1990/3/21,6.3,8.5,4.3
1990/3/22,5.4,10.3,0.5
1990/3/23,6.9,13.0,-1.1
1990/3/24,6.8,8.5,5.2
1990/3/25,3.6,6.1,1.3
1990/3/26,2.5,5.8,-1.2
1990/3/27,4.6,9.0,-1.0
1990/3/28,7.5,12.9,1.6
1990/3/29,9.0,16.0,2.3
1990/3/30,8.8,13.8,3.6
1990/3/31,10.3,14.7,5.6
