ダウンロードした時刻：2019/10/10 16:17:31

,高知,高知,高知
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1994/12/1,13.7,18.5,8.4
1994/12/2,15.6,21.3,10.4
1994/12/3,12.3,15.6,8.1
1994/12/4,8.2,13.4,3.7
1994/12/5,8.9,15.4,2.8
1994/12/6,8.1,15.1,2.7
1994/12/7,10.7,21.1,3.1
1994/12/8,12.3,18.5,5.8
1994/12/9,13.6,16.6,11.7
1994/12/10,12.9,18.5,8.9
1994/12/11,11.8,13.2,10.3
1994/12/12,14.9,20.4,9.9
1994/12/13,13.6,18.8,7.5
1994/12/14,7.4,12.6,3.3
1994/12/15,8.9,14.6,5.1
1994/12/16,5.3,9.5,1.3
1994/12/17,4.9,11.1,-0.2
1994/12/18,5.8,13.1,0.8
1994/12/19,6.1,12.2,0.3
1994/12/20,5.6,8.2,3.8
1994/12/21,7.5,11.0,4.5
1994/12/22,7.7,15.0,2.0
1994/12/23,8.2,15.7,2.5
1994/12/24,10.1,16.6,3.6
1994/12/25,11.4,17.5,7.2
1994/12/26,10.4,14.9,6.6
1994/12/27,11.6,18.7,6.7
1994/12/28,9.1,15.6,4.5
1994/12/29,7.4,13.4,3.2
1994/12/30,7.4,12.9,2.6
1994/12/31,9.4,14.0,6.7
1995/1/1,7.7,12.3,4.7
1995/1/2,6.7,13.5,1.1
1995/1/3,6.6,8.9,3.2
1995/1/4,9.9,13.1,4.7
1995/1/5,7.1,11.4,4.2
1995/1/6,4.1,8.4,-0.1
1995/1/7,5.5,14.7,-1.3
1995/1/8,8.0,15.4,2.2
1995/1/9,9.9,17.9,4.2
1995/1/10,6.9,10.9,3.5
1995/1/11,5.4,11.0,0.0
1995/1/12,5.7,11.7,1.5
1995/1/13,4.0,9.9,0.1
1995/1/14,3.2,9.0,-1.0
1995/1/15,3.8,10.5,-1.7
1995/1/16,4.1,10.4,0.0
1995/1/17,4.2,11.1,-1.3
1995/1/18,4.7,11.6,-0.7
1995/1/19,6.4,12.6,0.7
1995/1/20,8.1,15.3,4.0
1995/1/21,8.2,15.5,1.0
1995/1/22,11.3,14.5,8.3
1995/1/23,13.3,19.2,9.6
1995/1/24,7.3,12.0,3.8
1995/1/25,6.2,11.9,1.7
1995/1/26,6.0,12.9,-0.1
1995/1/27,5.9,11.6,1.2
1995/1/28,4.8,11.2,-0.2
1995/1/29,3.6,10.3,-1.0
1995/1/30,2.0,7.5,-1.8
1995/1/31,2.6,10.5,-2.8
1995/2/1,3.2,8.6,-2.0
1995/2/2,3.3,8.5,-1.8
1995/2/3,4.8,12.3,-1.7
1995/2/4,5.6,10.2,2.5
1995/2/5,4.4,10.5,0.7
1995/2/6,4.1,11.2,-1.0
1995/2/7,5.2,12.8,-2.0
1995/2/8,7.5,15.2,0.0
1995/2/9,9.5,15.5,6.3
1995/2/10,6.5,10.4,3.7
1995/2/11,6.8,13.1,0.2
1995/2/12,7.8,9.5,4.9
1995/2/13,11.4,16.4,7.4
1995/2/14,10.2,15.2,6.1
1995/2/15,7.7,13.8,1.8
1995/2/16,6.2,11.5,2.4
1995/2/17,5.1,11.0,-0.8
1995/2/18,6.3,12.1,-0.5
1995/2/19,9.0,14.8,5.3
1995/2/20,7.6,13.4,1.6
1995/2/21,6.4,10.7,3.4
1995/2/22,6.2,12.7,0.2
1995/2/23,7.3,13.7,0.9
1995/2/24,9.2,15.9,3.9
1995/2/25,9.9,14.6,5.4
1995/2/26,8.8,14.3,4.1
1995/2/27,8.3,14.4,3.4
1995/2/28,4.9,8.8,1.9
1995/3/1,7.8,14.1,3.3
1995/3/2,7.9,14.3,2.0
1995/3/3,6.7,10.3,3.1
1995/3/4,6.3,10.5,2.4
1995/3/5,6.2,13.0,0.0
1995/3/6,7.7,15.0,0.1
1995/3/7,9.7,17.1,2.6
1995/3/8,10.7,18.3,2.9
1995/3/9,10.7,15.4,4.2
1995/3/10,13.4,20.3,8.9
1995/3/11,11.6,16.8,7.7
1995/3/12,8.5,13.9,4.2
1995/3/13,9.3,14.8,4.3
1995/3/14,9.8,15.7,4.2
1995/3/15,10.4,15.5,4.4
1995/3/16,12.3,14.9,9.3
1995/3/17,14.4,19.9,10.3
1995/3/18,10.4,14.5,6.3
1995/3/19,8.0,14.6,1.9
1995/3/20,7.9,15.1,0.7
1995/3/21,11.5,17.0,5.1
1995/3/22,14.0,19.3,7.7
1995/3/23,14.9,20.0,8.9
1995/3/24,15.3,18.2,13.6
1995/3/25,13.4,16.2,9.8
1995/3/26,11.7,17.7,6.6
1995/3/27,10.6,16.4,3.4
1995/3/28,11.3,16.0,7.2
1995/3/29,11.2,15.5,7.5
1995/3/30,13.5,15.7,10.6
1995/3/31,15.9,22.4,11.9
