ダウンロードした時刻：2019/10/10 15:38:33

,酒田,酒田,酒田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1998/12/1,7.5,13.1,2.6
1998/12/2,1.6,3.1,-0.4
1998/12/3,2.7,5.0,-0.4
1998/12/4,4.3,7.1,0.3
1998/12/5,6.5,10.7,0.8
1998/12/6,5.6,8.6,1.0
1998/12/7,6.6,10.8,0.8
1998/12/8,8.8,11.8,5.8
1998/12/9,3.9,6.2,1.9
1998/12/10,2.9,4.3,0.3
1998/12/11,3.3,7.5,-0.2
1998/12/12,4.4,5.9,3.1
1998/12/13,8.2,12.6,3.2
1998/12/14,10.7,12.4,8.3
1998/12/15,8.9,10.8,6.6
1998/12/16,10.4,13.4,6.4
1998/12/17,6.8,10.2,3.7
1998/12/18,4.4,7.2,1.3
1998/12/19,6.6,12.4,0.9
1998/12/20,4.0,7.6,1.1
1998/12/21,4.5,5.9,1.8
1998/12/22,4.9,7.6,2.5
1998/12/23,6.5,8.3,5.0
1998/12/24,3.5,5.7,1.4
1998/12/25,5.3,8.7,2.6
1998/12/26,5.1,7.2,2.8
1998/12/27,5.9,9.7,4.0
1998/12/28,4.1,7.4,0.1
1998/12/29,4.7,10.3,0.1
1998/12/30,2.1,6.0,0.1
1998/12/31,0.4,2.0,-1.5
1999/1/1,0.3,2.3,-1.5
1999/1/2,1.6,3.6,0.2
1999/1/3,1.3,2.8,-0.1
1999/1/4,0.9,2.6,-0.6
1999/1/5,1.4,7.0,-2.2
1999/1/6,4.8,8.1,1.1
1999/1/7,0.5,3.2,-3.0
1999/1/8,-2.9,-1.8,-4.3
1999/1/9,-1.8,0.0,-4.0
1999/1/10,-0.6,0.6,-2.4
1999/1/11,0.4,2.8,-2.4
1999/1/12,2.7,3.4,1.4
1999/1/13,3.0,5.3,1.7
1999/1/14,1.2,2.6,-0.6
1999/1/15,2.7,4.1,1.2
1999/1/16,2.7,4.6,-0.4
1999/1/17,2.0,3.8,-1.1
1999/1/18,2.3,6.7,-0.1
1999/1/19,4.0,6.9,0.8
1999/1/20,4.6,7.7,-0.2
1999/1/21,0.1,2.1,-1.8
1999/1/22,2.9,8.1,-0.3
1999/1/23,5.3,8.2,1.8
1999/1/24,2.3,6.7,-0.9
1999/1/25,5.4,8.7,1.9
1999/1/26,4.9,8.3,1.3
1999/1/27,3.4,7.9,0.8
1999/1/28,2.1,7.2,-0.9
1999/1/29,-2.2,-0.6,-3.8
1999/1/30,-2.0,0.9,-4.4
1999/1/31,1.9,4.5,-2.2
1999/2/1,1.4,2.9,0.3
1999/2/2,-1.0,1.1,-3.7
1999/2/3,-2.8,-0.3,-5.2
1999/2/4,-2.5,2.5,-8.9
1999/2/5,-1.4,3.3,-6.3
1999/2/6,0.4,2.8,-2.4
1999/2/7,3.3,6.4,-0.4
1999/2/8,2.0,5.8,-0.8
1999/2/9,2.0,6.0,-2.4
1999/2/10,1.2,5.6,-1.3
1999/2/11,1.0,5.5,-1.4
1999/2/12,2.3,5.7,-0.8
1999/2/13,-1.8,-0.5,-3.3
1999/2/14,-0.9,0.8,-3.1
1999/2/15,1.3,3.1,-1.4
1999/2/16,3.2,8.3,-0.5
1999/2/17,6.6,11.8,-0.4
1999/2/18,7.0,11.3,1.6
1999/2/19,0.4,1.9,-0.8
1999/2/20,-1.3,0.4,-2.8
1999/2/21,-0.3,1.4,-2.5
1999/2/22,2.9,5.6,-0.7
1999/2/23,3.3,5.6,1.5
1999/2/24,2.5,6.7,-2.3
1999/2/25,5.2,7.5,2.5
1999/2/26,7.2,11.6,3.0
1999/2/27,3.1,9.7,-3.5
1999/2/28,0.7,4.2,-3.3
1999/3/1,5.3,8.6,1.5
1999/3/2,4.9,8.1,2.2
1999/3/3,5.2,9.6,-1.1
1999/3/4,7.3,10.0,2.5
1999/3/5,7.3,12.8,1.7
1999/3/6,1.6,4.5,-1.5
1999/3/7,2.1,5.4,-1.6
1999/3/8,2.6,5.2,0.2
1999/3/9,2.0,4.7,-0.4
1999/3/10,3.7,7.5,-1.0
1999/3/11,2.5,4.1,-0.3
1999/3/12,1.1,3.2,-2.4
1999/3/13,4.5,13.1,-3.5
1999/3/14,9.9,17.3,1.6
1999/3/15,7.6,10.4,5.4
1999/3/16,7.2,9.5,5.3
1999/3/17,9.2,13.6,5.7
1999/3/18,12.6,21.0,5.7
1999/3/19,7.5,10.8,4.4
1999/3/20,3.6,5.1,1.1
1999/3/21,2.8,6.6,-0.7
1999/3/22,2.6,5.6,0.4
1999/3/23,2.1,5.3,-0.3
1999/3/24,5.5,12.3,-1.2
1999/3/25,9.3,16.1,3.4
1999/3/26,11.7,18.6,6.5
1999/3/27,6.6,9.5,4.3
1999/3/28,2.4,6.4,-0.3
1999/3/29,-0.5,1.1,-2.1
1999/3/30,1.7,4.7,-0.8
1999/3/31,4.6,10.3,-0.7
