ダウンロードした時刻：2019/10/10 16:20:57

,長崎,長崎,長崎
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2010/12/1,13.9,19.9,9.4
2010/12/2,13.8,16.6,10.7
2010/12/3,12.4,17.1,8.9
2010/12/4,9.3,14.4,5.4
2010/12/5,10.7,17.3,5.5
2010/12/6,12.7,18.2,8.5
2010/12/7,9.9,12.2,8.4
2010/12/8,8.7,11.6,6.6
2010/12/9,7.4,9.8,3.3
2010/12/10,8.6,14.4,2.3
2010/12/11,12.4,16.7,6.3
2010/12/12,9.3,13.7,4.6
2010/12/13,14.4,19.5,9.0
2010/12/14,12.8,16.0,8.0
2010/12/15,5.4,8.2,3.8
2010/12/16,4.6,5.6,3.2
2010/12/17,6.9,11.8,4.2
2010/12/18,8.3,11.8,5.3
2010/12/19,10.7,15.9,4.4
2010/12/20,14.6,18.6,11.3
2010/12/21,13.4,17.1,11.4
2010/12/22,11.8,15.8,8.2
2010/12/23,10.6,15.6,5.6
2010/12/24,7.0,11.7,3.6
2010/12/25,2.7,4.8,1.5
2010/12/26,3.8,6.5,0.9
2010/12/27,6.8,10.3,3.7
2010/12/28,11.9,15.3,7.7
2010/12/29,6.7,8.6,3.8
2010/12/30,6.7,11.4,1.1
2010/12/31,0.7,2.0,-0.8
2011/1/1,3.4,5.8,0.7
2011/1/2,5.8,10.2,3.2
2011/1/3,5.8,7.2,4.4
2011/1/4,6.8,9.2,4.5
2011/1/5,7.7,9.1,5.5
2011/1/6,4.7,6.9,2.4
2011/1/7,3.6,6.9,0.0
2011/1/8,4.7,9.8,-0.4
2011/1/9,6.2,9.0,4.0
2011/1/10,3.9,6.1,1.1
2011/1/11,4.1,5.9,2.6
2011/1/12,4.3,6.4,3.0
2011/1/13,3.5,6.0,0.2
2011/1/14,4.2,8.7,-0.5
2011/1/15,3.0,6.0,-2.1
2011/1/16,0.4,2.6,-2.3
2011/1/17,2.4,6.1,-0.4
2011/1/18,3.8,7.1,0.0
2011/1/19,4.3,6.3,2.8
2011/1/20,4.9,6.6,3.1
2011/1/21,4.8,7.2,2.6
2011/1/22,3.7,8.5,0.0
2011/1/23,4.9,9.6,-0.2
2011/1/24,4.2,6.3,2.8
2011/1/25,3.9,4.7,3.2
2011/1/26,3.7,5.9,0.3
2011/1/27,3.3,7.8,-0.6
2011/1/28,4.5,8.0,1.1
2011/1/29,3.4,5.3,1.9
2011/1/30,0.6,3.5,-0.8
2011/1/31,2.1,4.6,-1.1
2011/2/1,5.8,10.0,3.1
2011/2/2,5.3,9.8,2.5
2011/2/3,6.2,12.8,1.0
2011/2/4,7.7,14.3,2.3
2011/2/5,8.9,14.1,5.2
2011/2/6,7.5,13.4,2.4
2011/2/7,9.0,14.6,5.2
2011/2/8,9.9,14.6,4.5
2011/2/9,9.6,12.6,5.5
2011/2/10,6.7,10.4,3.9
2011/2/11,6.7,9.1,5.3
2011/2/12,3.2,6.2,-0.2
2011/2/13,4.8,8.6,1.0
2011/2/14,4.7,6.0,3.5
2011/2/15,6.1,10.8,2.6
2011/2/16,7.5,13.8,1.4
2011/2/17,11.0,13.0,9.2
2011/2/18,8.5,11.0,5.9
2011/2/19,7.4,11.9,2.2
2011/2/20,9.6,13.8,6.7
2011/2/21,9.7,14.5,6.6
2011/2/22,9.9,16.7,5.1
2011/2/23,11.9,17.9,6.8
2011/2/24,14.7,20.7,10.3
2011/2/25,14.4,19.5,9.6
2011/2/26,12.9,20.1,7.0
2011/2/27,15.5,18.4,11.2
2011/2/28,14.2,18.3,10.5
2011/3/1,10.1,12.3,8.5
2011/3/2,7.4,10.9,4.1
2011/3/3,5.2,8.1,3.2
2011/3/4,5.2,9.6,1.3
2011/3/5,6.5,12.4,0.3
2011/3/6,8.9,10.8,7.2
2011/3/7,8.3,11.4,6.2
2011/3/8,7.6,10.2,5.5
2011/3/9,8.4,11.1,6.4
2011/3/10,6.6,10.1,3.3
2011/3/11,8.5,12.6,3.3
2011/3/12,10.2,15.3,5.6
2011/3/13,12.2,19.4,6.3
2011/3/14,13.1,20.2,9.3
2011/3/15,10.7,14.1,6.2
2011/3/16,6.1,9.0,4.3
2011/3/17,6.4,9.6,2.8
2011/3/18,8.5,13.9,2.3
2011/3/19,13.9,17.9,10.6
2011/3/20,14.9,17.6,11.8
2011/3/21,11.6,14.9,10.0
2011/3/22,9.3,13.1,5.3
2011/3/23,6.9,10.9,4.0
2011/3/24,7.8,13.6,4.0
2011/3/25,8.4,11.4,4.7
2011/3/26,7.2,11.5,4.0
2011/3/27,7.6,12.9,1.6
2011/3/28,9.4,15.5,3.1
2011/3/29,8.8,15.5,5.9
2011/3/30,9.3,14.6,4.6
2011/3/31,11.6,18.1,5.9
