ダウンロードした時刻：2019/10/10 15:33:36

,室蘭,室蘭,室蘭
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2015/12/1,1.8,4.1,0.8
2015/12/2,4.7,8.9,1.4
2015/12/3,8.5,12.1,4.0
2015/12/4,1.4,4.7,-1.4
2015/12/5,1.2,3.0,-0.5
2015/12/6,0.0,1.8,-1.8
2015/12/7,2.1,4.2,-1.2
2015/12/8,3.4,5.2,1.8
2015/12/9,6.1,7.8,3.2
2015/12/10,8.0,9.8,6.0
2015/12/11,6.8,8.7,3.2
2015/12/12,3.9,6.7,2.0
2015/12/13,4.6,7.7,1.3
2015/12/14,3.4,7.3,-0.6
2015/12/15,7.9,10.3,3.6
2015/12/16,6.3,8.4,3.5
2015/12/17,2.2,4.0,0.5
2015/12/18,1.4,3.1,-0.3
2015/12/19,0.1,1.9,-1.9
2015/12/20,3.7,6.1,1.1
2015/12/21,6.1,8.9,3.6
2015/12/22,2.2,4.2,-0.8
2015/12/23,3.1,5.9,-1.5
2015/12/24,4.7,8.3,1.7
2015/12/25,0.7,5.2,-3.4
2015/12/26,-2.9,-1.7,-4.5
2015/12/27,-4.6,-2.9,-6.7
2015/12/28,-3.3,-2.0,-4.4
2015/12/29,-2.9,-0.9,-4.7
2015/12/30,-1.1,0.6,-3.4
2015/12/31,0.4,3.3,-0.6
2016/1/1,0.5,3.1,-1.1
2016/1/2,3.5,5.5,1.1
2016/1/3,1.2,3.0,-0.1
2016/1/4,-0.3,1.1,-2.6
2016/1/5,-2.4,-0.5,-3.4
2016/1/6,-0.7,1.9,-2.5
2016/1/7,-1.8,-0.8,-2.9
2016/1/8,-1.0,0.8,-2.3
2016/1/9,-2.0,-0.3,-3.7
2016/1/10,-2.4,0.3,-6.3
2016/1/11,-5.9,-4.2,-7.7
2016/1/12,-4.4,-2.8,-6.0
2016/1/13,-2.6,-0.8,-4.9
2016/1/14,-2.5,-0.3,-4.1
2016/1/15,-2.9,-1.0,-4.9
2016/1/16,-3.2,-1.0,-4.9
2016/1/17,-3.0,-0.4,-5.6
2016/1/18,-1.9,0.9,-3.9
2016/1/19,-1.1,1.0,-3.1
2016/1/20,-0.2,2.0,-2.2
2016/1/21,-1.6,1.0,-3.3
2016/1/22,-1.4,1.6,-3.6
2016/1/23,-2.3,-0.6,-3.6
2016/1/24,-2.4,1.2,-5.1
2016/1/25,-3.4,-1.7,-6.9
2016/1/26,1.2,3.0,-2.4
2016/1/27,0.0,1.9,-1.5
2016/1/28,-2.2,0.7,-4.4
2016/1/29,-4.2,-2.3,-6.2
2016/1/30,-3.9,-1.1,-6.9
2016/1/31,-4.5,-2.3,-5.8
2016/2/1,-4.6,-2.8,-6.4
2016/2/2,-4.0,-1.7,-5.4
2016/2/3,-2.5,-0.4,-5.7
2016/2/4,0.8,3.2,-1.1
2016/2/5,-1.1,0.9,-3.1
2016/2/6,-3.4,-1.0,-5.6
2016/2/7,-3.2,-0.8,-5.9
2016/2/8,-1.1,2.0,-3.8
2016/2/9,2.2,4.8,-0.2
2016/2/10,-1.5,1.2,-3.4
2016/2/11,-1.3,1.9,-3.7
2016/2/12,1.7,4.9,-3.1
2016/2/13,5.2,7.6,3.2
2016/2/14,4.4,8.9,-0.5
2016/2/15,-4.8,-0.5,-7.2
2016/2/16,-3.5,-1.4,-6.3
2016/2/17,-3.0,-1.2,-4.5
2016/2/18,1.4,4.5,-2.6
2016/2/19,3.7,7.7,-0.1
2016/2/20,1.9,4.1,-0.2
2016/2/21,0.6,4.2,-2.5
2016/2/22,-1.7,0.0,-3.3
2016/2/23,0.3,3.7,-2.5
2016/2/24,-4.8,-1.7,-7.2
2016/2/25,-4.2,-1.3,-6.5
2016/2/26,-3.2,-0.4,-5.4
2016/2/27,-2.7,-0.1,-4.0
2016/2/28,-1.6,1.7,-5.1
2016/2/29,2.1,6.6,-1.5
2016/3/1,-1.2,1.8,-3.8
2016/3/2,-1.8,1.4,-3.9
2016/3/3,-0.6,3.0,-3.3
2016/3/4,-0.8,3.3,-4.7
2016/3/5,0.3,3.9,-3.9
2016/3/6,5.0,7.8,2.0
2016/3/7,4.9,8.2,2.2
2016/3/8,3.5,9.7,0.8
2016/3/9,0.3,2.8,-2.0
2016/3/10,-0.6,2.8,-3.3
2016/3/11,-0.6,3.0,-2.4
2016/3/12,-0.2,4.2,-3.2
2016/3/13,0.2,2.5,-2.9
2016/3/14,2.6,6.5,-0.3
2016/3/15,1.8,5.5,-1.4
2016/3/16,5.4,10.3,-0.1
2016/3/17,7.8,13.2,3.5
2016/3/18,8.4,13.7,5.6
2016/3/19,6.2,8.7,3.6
2016/3/20,2.4,6.3,-1.5
2016/3/21,1.5,6.1,-1.7
2016/3/22,2.8,7.5,-1.3
2016/3/23,3.2,7.5,0.0
2016/3/24,1.5,5.4,-1.1
2016/3/25,2.1,7.1,-0.9
2016/3/26,4.2,8.8,-0.2
2016/3/27,6.2,11.9,1.9
2016/3/28,6.7,11.3,2.4
2016/3/29,5.6,10.2,1.6
2016/3/30,5.9,8.6,3.9
2016/3/31,6.1,10.6,3.0
