ダウンロードした時刻：2017/07/24 15:36:53

,新庄,新庄,新庄
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2007/1/1,1.3,4.7,-2.0
2007/1/2,0.3,3.0,-2.4
2007/1/3,0.8,5.0,-3.8
2007/1/4,1.7,6.3,-1.3
2007/1/5,1.9,7.0,-2.2
2007/1/6,1.2,3.2,-1.2
2007/1/7,4.0,7.7,2.0
2007/1/8,1.6,3.2,-0.8
2007/1/9,0.4,2.0,-0.7
2007/1/10,0.2,2.0,-0.6
2007/1/11,0.2,3.1,-1.7
2007/1/12,-1.5,1.7,-5.9
2007/1/13,-0.1,1.6,-1.4
2007/1/14,-0.2,2.1,-1.4
2007/1/15,0.6,2.6,-1.4
2007/1/16,0.2,1.8,-1.2
2007/1/17,0.6,3.5,-1.0
2007/1/18,0.2,2.1,-0.7
2007/1/19,0.7,2.7,-1.4
2007/1/20,1.2,4.9,-2.5
2007/1/21,-0.9,1.8,-2.7
2007/1/22,-1.2,1.4,-4.6
2007/1/23,1.3,4.4,-0.7
2007/1/24,1.8,4.8,-2.6
2007/1/25,0.9,2.7,-1.8
2007/1/26,1.6,4.7,-0.3
2007/1/27,2.8,5.7,0.9
2007/1/28,1.8,5.7,-0.8
2007/1/29,-0.2,5.5,-3.1
2007/1/30,-0.1,4.7,-3.2
2007/1/31,0.5,4.1,-3.3
2007/2/1,-0.1,1.0,-1.7
2007/2/2,-0.8,1.6,-2.6
2007/2/3,1.6,4.3,-2.6
2007/2/4,0.2,2.3,-2.0
2007/2/5,0.5,5.5,-4.9
2007/2/6,1.8,8.2,-3.7
2007/2/7,2.2,5.5,-0.3
2007/2/8,3.2,6.3,0.5
2007/2/9,2.2,3.8,0.9
2007/2/10,2.1,4.2,0.8
2007/2/11,0.4,1.5,-1.3
2007/2/12,-0.6,2.3,-3.9
2007/2/13,-1.9,4.2,-7.7
2007/2/14,1.6,6.4,-3.8
2007/2/15,0.8,6.3,-1.5
2007/2/16,1.0,2.5,-0.4
2007/2/17,0.8,4.9,-2.9
2007/2/18,1.8,7.3,-2.3
2007/2/19,2.1,5.5,-1.3
2007/2/20,0.0,6.6,-5.7
2007/2/21,-0.6,6.2,-6.9
2007/2/22,1.5,8.2,-1.7
2007/2/23,2.8,7.1,-1.3
2007/2/24,-1.4,2.1,-7.0
2007/2/25,-2.7,4.9,-9.2
2007/2/26,-1.6,6.8,-8.6
2007/2/27,0.1,8.1,-7.8
2007/2/28,1.9,5.7,-0.3
2007/3/1,2.4,6.4,-1.9
2007/3/2,1.8,7.7,-3.0
2007/3/3,3.0,11.7,-3.8
2007/3/4,6.7,12.2,2.3
2007/3/5,8.2,10.9,6.4
2007/3/6,2.5,7.8,-2.3
2007/3/7,-2.0,-0.7,-3.2
2007/3/8,-0.7,2.2,-2.6
2007/3/9,0.6,4.9,-3.8
2007/3/10,0.5,5.8,-5.3
2007/3/11,0.6,4.9,-1.8
2007/3/12,-1.2,1.8,-2.8
2007/3/13,-0.5,1.0,-1.7
2007/3/14,-0.3,2.2,-1.5
2007/3/15,-0.6,3.4,-5.4
2007/3/16,-0.4,3.8,-6.8
2007/3/17,-0.9,3.2,-4.1
2007/3/18,0.0,2.9,-2.2
2007/3/19,-1.2,0.8,-2.6
2007/3/20,0.7,5.5,-2.2
2007/3/21,1.1,4.6,-3.1
2007/3/22,0.6,3.7,-1.9
2007/3/23,3.2,7.8,-0.1
2007/3/24,3.2,8.6,-0.6
2007/3/25,5.4,8.8,2.9
2007/3/26,6.3,10.1,2.3
2007/3/27,4.8,12.8,-0.6
2007/3/28,5.5,10.7,1.9
2007/3/29,4.5,8.9,0.9
2007/3/30,4.0,6.1,1.4
2007/3/31,4.8,10.9,-1.0
2007/4/1,9.7,14.6,4.7
2007/4/2,7.7,11.6,5.2
2007/4/3,4.5,8.4,0.4
2007/4/4,2.4,6.8,-1.5
2007/4/5,2.8,7.7,-2.4
2007/4/6,5.3,12.0,0.2
2007/4/7,7.9,16.0,-0.9
2007/4/8,8.2,14.4,3.4
2007/4/9,6.4,12.4,1.7
2007/4/10,5.9,11.5,2.8
2007/4/11,6.3,12.7,0.6
2007/4/12,5.4,13.6,-1.7
2007/4/13,6.9,11.5,2.1
2007/4/14,9.0,14.1,5.3
2007/4/15,7.1,8.2,5.8
2007/4/16,6.8,10.3,4.9
2007/4/17,6.1,10.1,3.8
2007/4/18,6.9,12.1,1.8
2007/4/19,8.7,13.5,3.3
2007/4/20,10.9,19.9,1.1
2007/4/21,12.5,16.7,8.8
2007/4/22,11.6,13.8,9.9
2007/4/23,9.6,13.5,6.0
2007/4/24,10.0,17.6,2.3
2007/4/25,9.8,11.1,8.4
2007/4/26,8.7,13.3,4.5
2007/4/27,8.2,12.1,2.1
2007/4/28,6.7,15.0,-0.7
2007/4/29,11.1,20.7,0.7
2007/4/30,14.1,24.6,4.5
2007/5/1,12.9,18.6,6.1
