ダウンロードした時刻：2019/10/10 16:16:28

,高松,高松,高松
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2008/12/1,7.9,13.5,3.0
2008/12/2,9.6,15.2,4.2
2008/12/3,10.6,16.2,5.0
2008/12/4,11.8,17.4,6.0
2008/12/5,10.0,14.8,6.3
2008/12/6,3.4,6.3,1.2
2008/12/7,3.0,8.1,-1.4
2008/12/8,6.1,11.0,-0.3
2008/12/9,10.4,14.2,6.7
2008/12/10,11.8,16.7,7.3
2008/12/11,10.3,16.7,4.5
2008/12/12,10.1,14.6,6.7
2008/12/13,9.8,14.0,4.4
2008/12/14,9.7,12.3,7.1
2008/12/15,8.2,13.3,4.1
2008/12/16,8.0,13.0,2.4
2008/12/17,9.5,14.3,5.2
2008/12/18,9.6,15.3,4.9
2008/12/19,7.9,12.7,4.9
2008/12/20,8.2,14.5,2.4
2008/12/21,10.0,14.3,4.9
2008/12/22,8.9,10.6,4.9
2008/12/23,5.9,9.8,2.5
2008/12/24,5.9,11.0,0.6
2008/12/25,8.8,14.1,5.6
2008/12/26,5.4,8.3,3.7
2008/12/27,6.0,10.1,3.2
2008/12/28,7.3,11.9,3.3
2008/12/29,8.3,13.3,3.0
2008/12/30,9.4,12.4,5.1
2008/12/31,5.4,9.1,2.4
2009/1/1,5.1,7.4,3.8
2009/1/2,6.6,10.1,4.2
2009/1/3,6.7,10.8,2.4
2009/1/4,7.1,12.4,0.3
2009/1/5,9.0,12.5,7.1
2009/1/6,7.9,11.6,4.5
2009/1/7,6.6,9.7,3.3
2009/1/8,6.7,11.2,1.2
2009/1/9,7.6,12.0,4.8
2009/1/10,5.1,7.5,3.2
2009/1/11,4.7,7.0,3.4
2009/1/12,4.1,6.0,1.3
2009/1/13,4.1,7.3,1.9
2009/1/14,4.3,8.7,0.6
2009/1/15,3.7,7.6,0.3
2009/1/16,5.3,9.0,0.5
2009/1/17,6.6,11.7,2.8
2009/1/18,6.4,10.6,1.7
2009/1/19,9.2,11.9,3.5
2009/1/20,5.6,10.3,1.8
2009/1/21,5.0,8.2,1.8
2009/1/22,5.9,7.0,4.7
2009/1/23,8.2,12.9,3.0
2009/1/24,1.7,4.7,-0.1
2009/1/25,3.3,7.8,-0.1
2009/1/26,4.6,8.2,-0.2
2009/1/27,5.4,9.2,2.2
2009/1/28,5.3,10.9,-0.3
2009/1/29,7.5,12.8,1.6
2009/1/30,10.4,11.8,8.1
2009/1/31,9.1,11.4,6.0
2009/2/1,6.1,8.3,2.4
2009/2/2,4.9,9.8,0.3
2009/2/3,5.2,7.5,1.3
2009/2/4,7.3,10.4,3.9
2009/2/5,7.9,14.2,1.2
2009/2/6,8.4,11.3,3.9
2009/2/7,5.7,12.5,0.1
2009/2/8,7.3,11.5,3.5
2009/2/9,5.4,10.0,0.7
2009/2/10,8.6,13.6,5.2
2009/2/11,9.3,14.5,3.6
2009/2/12,9.5,13.7,5.5
2009/2/13,10.8,15.7,5.1
2009/2/14,15.4,20.1,10.1
2009/2/15,12.1,18.9,5.8
2009/2/16,7.7,11.0,2.2
2009/2/17,3.6,7.1,1.3
2009/2/18,6.1,11.1,0.9
2009/2/19,5.8,9.1,3.5
2009/2/20,7.6,11.2,5.4
2009/2/21,6.0,9.6,2.6
2009/2/22,5.3,8.8,0.2
2009/2/23,9.7,13.7,8.0
2009/2/24,8.4,10.3,7.2
2009/2/25,10.9,15.4,8.5
2009/2/26,9.1,12.1,6.3
2009/2/27,6.3,8.6,5.5
2009/2/28,7.7,10.7,2.9
2009/3/1,9.8,14.9,5.5
2009/3/2,6.1,9.5,2.5
2009/3/3,5.4,7.2,4.4
2009/3/4,7.7,12.2,5.2
2009/3/5,8.5,12.4,2.6
2009/3/6,11.4,14.1,8.9
2009/3/7,9.8,13.3,7.4
2009/3/8,9.0,11.4,6.0
2009/3/9,8.7,10.7,6.2
2009/3/10,11.1,16.6,6.5
2009/3/11,8.7,13.4,4.5
2009/3/12,8.3,13.6,1.5
2009/3/13,11.4,15.6,7.5
2009/3/14,7.7,13.1,4.5
2009/3/15,8.4,14.1,2.3
2009/3/16,11.5,17.3,4.9
2009/3/17,14.8,21.8,7.9
2009/3/18,13.5,20.3,7.0
2009/3/19,14.4,18.4,9.0
2009/3/20,13.4,17.9,7.4
2009/3/21,10.1,15.3,4.0
2009/3/22,14.1,18.1,10.2
2009/3/23,10.9,14.1,7.8
2009/3/24,10.0,15.1,5.0
2009/3/25,8.8,13.9,4.9
2009/3/26,8.6,13.8,1.7
2009/3/27,10.4,15.5,6.9
2009/3/28,8.0,12.3,3.1
2009/3/29,8.5,13.2,4.4
2009/3/30,8.9,13.7,3.0
2009/3/31,10.0,15.1,6.3
