ダウンロードした時刻：2017/07/24 15:38:10

,白河,白河,白河
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1982/1/1,2.2,8.3,-1.6
1982/1/2,0.4,7.3,-4.4
1982/1/3,0.4,6.0,-3.8
1982/1/4,4.4,7.7,-4.1
1982/1/5,6.3,10.5,2.0
1982/1/6,1.1,5.2,-3.4
1982/1/7,-2.4,2.9,-5.4
1982/1/8,-2.5,2.0,-8.6
1982/1/9,0.5,8.1,-6.8
1982/1/10,1.6,4.7,-2.5
1982/1/11,1.1,3.6,-1.8
1982/1/12,4.4,8.6,-1.0
1982/1/13,3.1,6.6,-1.8
1982/1/14,1.3,7.0,-3.3
1982/1/15,-1.3,4.0,-6.2
1982/1/16,-1.6,3.1,-4.6
1982/1/17,-1.6,1.7,-5.6
1982/1/18,-2.6,2.6,-9.6
1982/1/19,-1.1,4.0,-3.7
1982/1/20,-2.9,0.6,-5.9
1982/1/21,2.8,8.3,-7.3
1982/1/22,4.6,9.9,1.7
1982/1/23,0.8,5.2,-3.0
1982/1/24,0.8,6.4,-4.0
1982/1/25,1.2,4.5,-4.3
1982/1/26,1.2,5.1,-2.6
1982/1/27,0.5,5.9,-2.6
1982/1/28,-0.8,3.6,-3.9
1982/1/29,-2.5,0.4,-4.0
1982/1/30,-2.4,0.3,-4.9
1982/1/31,0.0,5.0,-4.1
1982/2/1,-1.6,2.3,-4.2
1982/2/2,-2.0,1.2,-4.6
1982/2/3,-0.2,6.0,-8.2
1982/2/4,0.6,4.8,-2.1
1982/2/5,-2.2,1.0,-4.6
1982/2/6,-2.0,3.0,-8.7
1982/2/7,-4.5,-2.7,-6.3
1982/2/8,-5.0,-1.2,-8.4
1982/2/9,-2.8,0.7,-8.8
1982/2/10,-2.2,0.8,-6.1
1982/2/11,-1.2,3.3,-4.8
1982/2/12,0.6,7.6,-6.2
1982/2/13,-0.9,5.1,-6.2
1982/2/14,-1.8,3.4,-7.3
1982/2/15,-1.3,4.3,-5.6
1982/2/16,-0.3,7.7,-7.7
1982/2/17,0.7,4.2,-3.7
1982/2/18,1.6,6.2,-3.6
1982/2/19,1.7,5.4,-4.1
1982/2/20,6.4,14.8,1.2
1982/2/21,5.0,10.7,0.8
1982/2/22,2.8,5.9,-0.1
1982/2/23,1.2,4.7,-2.4
1982/2/24,0.8,4.6,-2.5
1982/2/25,-1.7,2.7,-5.0
1982/2/26,-2.2,1.2,-7.7
1982/2/27,1.7,8.4,-3.3
1982/2/28,4.4,11.4,-4.8
1982/3/1,1.4,5.6,0.3
1982/3/2,1.5,6.0,-1.0
1982/3/3,1.3,5.4,-2.1
1982/3/4,3.3,10.8,-5.2
1982/3/5,7.9,13.1,1.9
1982/3/6,4.4,10.0,-0.2
1982/3/7,-0.8,2.1,-2.4
1982/3/8,0.6,6.4,-5.8
1982/3/9,2.1,9.4,-4.2
1982/3/10,3.4,10.4,-4.8
1982/3/11,6.4,12.8,0.7
1982/3/12,7.0,14.5,-1.5
1982/3/13,8.2,14.1,2.3
1982/3/14,4.6,11.3,-1.6
1982/3/15,6.1,9.2,1.8
1982/3/16,11.5,17.3,5.6
1982/3/17,5.3,10.5,1.4
1982/3/18,2.7,7.8,-0.4
1982/3/19,3.7,9.0,-1.4
1982/3/20,2.3,3.8,0.4
1982/3/21,5.6,9.8,2.4
1982/3/22,8.9,13.9,5.3
1982/3/23,9.2,15.9,0.7
1982/3/24,5.9,10.0,0.7
1982/3/25,0.8,4.8,-1.2
1982/3/26,0.8,4.7,-2.2
1982/3/27,0.7,6.5,-4.1
1982/3/28,1.6,9.1,-6.4
1982/3/29,4.1,13.3,-4.2
1982/3/30,8.3,18.7,-3.2
1982/3/31,7.9,10.0,3.5
1982/4/1,6.9,12.6,1.8
1982/4/2,5.1,8.7,1.3
1982/4/3,8.0,15.6,3.4
1982/4/4,3.2,6.8,1.5
1982/4/5,6.1,14.0,-3.1
1982/4/6,9.6,17.4,-1.3
1982/4/7,10.9,15.3,5.8
1982/4/8,10.8,14.1,5.2
1982/4/9,8.3,11.6,2.5
1982/4/10,5.4,8.6,3.5
1982/4/11,5.4,10.8,-0.6
1982/4/12,7.6,15.5,-3.0
1982/4/13,9.4,14.4,5.9
1982/4/14,9.5,14.7,3.1
1982/4/15,11.2,14.6,8.0
1982/4/16,12.1,19.0,3.8
1982/4/17,7.8,12.5,1.6
1982/4/18,8.7,12.9,5.0
1982/4/19,9.1,14.4,2.4
1982/4/20,11.7,19.1,1.6
1982/4/21,10.0,15.9,5.9
1982/4/22,6.8,12.1,2.8
1982/4/23,9.3,17.1,-1.2
1982/4/24,11.7,16.7,8.0
1982/4/25,15.1,22.0,9.9
1982/4/26,16.0,23.0,9.9
1982/4/27,10.5,15.1,6.0
1982/4/28,8.4,11.8,5.9
1982/4/29,12.0,13.6,7.9
1982/4/30,15.4,17.8,13.5
1982/5/1,17.2,20.4,15.7
