ダウンロードした時刻：2019/10/10 16:18:01

,高知,高知,高知
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2017/12/1,9.9,14.4,5.8
2017/12/2,8.4,14.8,2.6
2017/12/3,11.8,17.5,6.7
2017/12/4,7.9,10.1,5.4
2017/12/5,6.0,10.9,1.5
2017/12/6,4.5,10.1,0.1
2017/12/7,6.5,13.6,0.4
2017/12/8,7.5,11.0,4.8
2017/12/9,7.1,12.7,2.0
2017/12/10,7.0,13.0,1.8
2017/12/11,7.8,13.1,4.8
2017/12/12,4.1,7.7,0.3
2017/12/13,3.8,9.7,-1.3
2017/12/14,5.7,10.5,0.7
2017/12/15,8.4,12.9,4.5
2017/12/16,8.9,13.8,4.9
2017/12/17,4.1,8.4,0.3
2017/12/18,4.4,11.5,-1.5
2017/12/19,6.1,13.5,0.5
2017/12/20,5.9,12.5,0.0
2017/12/21,6.5,13.2,1.5
2017/12/22,6.3,14.2,0.5
2017/12/23,7.6,14.2,2.0
2017/12/24,8.8,12.2,5.3
2017/12/25,8.7,13.2,3.1
2017/12/26,5.5,12.8,0.6
2017/12/27,5.1,10.9,0.8
2017/12/28,4.6,9.5,-0.3
2017/12/29,6.2,13.5,0.9
2017/12/30,7.4,13.6,2.2
2017/12/31,8.8,14.6,5.8
2018/1/1,5.9,12.2,1.2
2018/1/2,5.5,11.9,0.0
2018/1/3,5.7,11.1,1.2
2018/1/4,5.2,9.8,-0.1
2018/1/5,4.4,6.4,1.9
2018/1/6,6.2,12.3,1.8
2018/1/7,6.4,11.2,1.8
2018/1/8,9.3,12.0,6.1
2018/1/9,7.5,12.2,1.7
2018/1/10,4.1,11.3,-0.5
2018/1/11,1.9,6.2,-1.4
2018/1/12,1.0,6.6,-3.4
2018/1/13,2.4,9.3,-3.2
2018/1/14,4.0,9.3,-0.4
2018/1/15,5.8,13.1,0.0
2018/1/16,9.8,17.0,3.0
2018/1/17,12.3,16.0,9.3
2018/1/18,10.6,17.7,5.1
2018/1/19,10.1,15.3,6.3
2018/1/20,9.4,15.3,4.7
2018/1/21,8.8,15.1,3.8
2018/1/22,5.0,8.0,2.0
2018/1/23,4.7,11.2,1.0
2018/1/24,1.4,5.2,-2.2
2018/1/25,1.0,7.3,-3.8
2018/1/26,2.4,8.6,-2.7
2018/1/27,2.8,8.2,-1.9
2018/1/28,3.6,6.8,0.1
2018/1/29,4.8,10.3,0.7
2018/1/30,2.6,8.4,-2.3
2018/1/31,4.3,11.5,-1.7
2018/2/1,3.3,6.1,1.2
2018/2/2,5.0,11.7,-0.2
2018/2/3,5.0,11.4,0.4
2018/2/4,2.4,6.4,-2.1
2018/2/5,0.8,6.2,-2.9
2018/2/6,0.1,6.0,-3.8
2018/2/7,0.8,6.8,-4.6
2018/2/8,2.7,9.4,-3.5
2018/2/9,3.9,10.8,-2.9
2018/2/10,6.9,9.3,4.5
2018/2/11,5.1,9.7,-0.4
2018/2/12,2.1,6.9,-1.1
2018/2/13,3.1,8.6,-0.7
2018/2/14,4.7,11.4,-2.2
2018/2/15,6.4,10.1,3.0
2018/2/16,7.3,12.9,1.8
2018/2/17,7.9,15.0,1.7
2018/2/18,6.2,11.6,1.1
2018/2/19,6.5,10.2,4.3
2018/2/20,8.7,15.3,2.6
2018/2/21,8.9,12.8,6.3
2018/2/22,8.5,12.7,5.4
2018/2/23,7.7,14.3,2.8
2018/2/24,8.3,15.6,1.0
2018/2/25,9.3,14.3,6.9
2018/2/26,10.4,17.1,5.6
2018/2/27,9.4,14.9,3.3
2018/2/28,11.1,16.0,5.2
2018/3/1,14.0,17.5,7.6
2018/3/2,9.8,15.7,4.2
2018/3/3,10.5,15.9,4.6
2018/3/4,14.8,19.9,9.7
2018/3/5,16.2,20.4,10.7
2018/3/6,11.1,15.9,7.6
2018/3/7,10.8,16.7,4.1
2018/3/8,13.0,15.3,11.1
2018/3/9,9.8,14.5,4.5
2018/3/10,7.7,13.3,1.4
2018/3/11,9.3,16.4,2.0
2018/3/12,10.9,17.6,3.9
2018/3/13,12.9,19.0,6.0
2018/3/14,15.3,21.0,9.6
2018/3/15,16.5,20.9,11.9
2018/3/16,12.6,16.1,6.9
2018/3/17,10.9,17.4,5.2
2018/3/18,12.6,17.8,6.6
2018/3/19,14.5,16.2,13.0
2018/3/20,12.9,14.9,9.2
2018/3/21,10.8,12.3,9.1
2018/3/22,10.7,15.6,5.6
2018/3/23,10.1,16.9,3.3
2018/3/24,11.3,17.6,4.5
2018/3/25,12.8,19.6,6.0
2018/3/26,14.3,20.9,8.1
2018/3/27,15.8,21.9,11.1
2018/3/28,16.4,22.7,10.4
2018/3/29,17.3,24.2,11.2
2018/3/30,17.9,24.5,12.7
2018/3/31,15.4,20.1,10.1
