ダウンロードした時刻：2019/10/10 16:23:26

,福江,福江,福江
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2010/12/1,13.4,20.5,8.3
2010/12/2,14.3,17.8,8.6
2010/12/3,12.0,16.6,8.7
2010/12/4,9.9,14.4,5.1
2010/12/5,11.2,19.4,4.6
2010/12/6,13.6,19.5,9.4
2010/12/7,10.0,12.2,8.3
2010/12/8,9.2,11.9,7.7
2010/12/9,8.1,11.0,4.1
2010/12/10,10.7,16.0,2.3
2010/12/11,11.8,16.7,6.1
2010/12/12,9.9,12.7,4.8
2010/12/13,15.5,19.9,10.5
2010/12/14,12.2,15.8,6.6
2010/12/15,5.0,6.6,3.5
2010/12/16,5.5,6.7,4.7
2010/12/17,7.7,10.8,4.2
2010/12/18,8.8,12.6,3.5
2010/12/19,12.7,18.0,3.3
2010/12/20,13.2,18.2,7.3
2010/12/21,12.7,17.1,8.4
2010/12/22,12.8,15.3,8.4
2010/12/23,11.7,15.9,6.2
2010/12/24,5.9,10.6,2.5
2010/12/25,3.2,4.8,2.1
2010/12/26,5.1,7.2,3.4
2010/12/27,8.8,11.8,6.0
2010/12/28,11.3,15.5,6.7
2010/12/29,7.1,9.6,3.5
2010/12/30,6.5,10.6,1.8
2010/12/31,1.7,3.8,-0.2
2011/1/1,4.7,7.1,2.8
2011/1/2,6.3,7.9,4.6
2011/1/3,6.2,7.2,5.1
2011/1/4,6.2,7.9,5.1
2011/1/5,7.3,8.5,6.2
2011/1/6,5.2,6.9,3.5
2011/1/7,4.1,6.4,0.0
2011/1/8,5.0,9.5,-1.0
2011/1/9,6.6,9.6,3.5
2011/1/10,3.8,6.8,2.3
2011/1/11,4.1,6.9,-0.9
2011/1/12,4.3,5.8,2.9
2011/1/13,3.4,5.1,-1.1
2011/1/14,4.9,10.1,-1.8
2011/1/15,3.5,7.6,-0.7
2011/1/16,0.8,3.4,-1.3
2011/1/17,3.7,6.7,1.0
2011/1/18,4.9,6.1,3.8
2011/1/19,5.1,6.7,3.9
2011/1/20,4.9,6.2,3.6
2011/1/21,5.8,8.2,4.1
2011/1/22,5.3,7.9,1.6
2011/1/23,5.0,10.4,-0.7
2011/1/24,4.4,7.1,2.7
2011/1/25,4.1,5.4,2.8
2011/1/26,4.4,6.0,3.5
2011/1/27,4.7,7.6,1.5
2011/1/28,4.9,8.5,-0.1
2011/1/29,3.4,5.1,1.4
2011/1/30,1.6,3.0,0.1
2011/1/31,3.2,5.7,0.3
2011/2/1,6.4,10.5,2.7
2011/2/2,5.9,10.3,1.1
2011/2/3,5.7,14.1,-0.7
2011/2/4,6.8,13.5,0.2
2011/2/5,9.1,13.4,1.9
2011/2/6,7.6,15.4,0.4
2011/2/7,9.2,14.3,2.7
2011/2/8,10.7,16.4,2.3
2011/2/9,9.6,13.1,4.5
2011/2/10,7.2,11.7,2.8
2011/2/11,7.1,9.4,4.5
2011/2/12,3.0,4.5,0.7
2011/2/13,4.8,8.3,0.3
2011/2/14,5.0,7.3,4.1
2011/2/15,5.8,10.4,2.0
2011/2/16,7.7,12.6,0.0
2011/2/17,11.7,14.3,8.0
2011/2/18,9.0,12.1,7.3
2011/2/19,8.7,12.7,4.1
2011/2/20,10.4,15.1,6.8
2011/2/21,10.5,14.3,7.7
2011/2/22,9.7,15.6,4.7
2011/2/23,11.4,16.0,4.6
2011/2/24,14.7,19.0,10.6
2011/2/25,13.2,17.6,9.2
2011/2/26,11.6,15.6,6.0
2011/2/27,16.0,18.6,11.9
2011/2/28,13.6,18.6,11.2
2011/3/1,9.3,11.6,6.9
2011/3/2,6.7,9.3,5.4
2011/3/3,5.3,6.3,4.4
2011/3/4,5.3,9.0,0.3
2011/3/5,6.3,12.2,-1.4
2011/3/6,9.0,11.8,6.0
2011/3/7,9.1,11.0,6.7
2011/3/8,7.7,10.8,5.4
2011/3/9,8.6,11.0,6.5
2011/3/10,6.2,10.7,1.0
2011/3/11,8.7,13.5,1.4
2011/3/12,8.8,13.9,3.2
2011/3/13,10.6,19.1,3.3
2011/3/14,11.5,16.8,7.1
2011/3/15,10.2,12.8,6.0
2011/3/16,6.6,8.9,4.2
2011/3/17,6.4,9.7,1.8
2011/3/18,8.0,13.2,0.9
2011/3/19,13.5,17.7,9.3
2011/3/20,15.8,17.9,12.0
2011/3/21,11.8,13.4,10.0
2011/3/22,9.2,11.7,7.1
2011/3/23,7.1,10.1,3.7
2011/3/24,7.4,13.0,2.8
2011/3/25,8.3,10.5,5.3
2011/3/26,6.6,10.9,1.1
2011/3/27,6.8,13.4,0.0
2011/3/28,8.4,16.3,1.3
2011/3/29,10.0,15.9,4.4
2011/3/30,10.9,14.6,4.6
2011/3/31,12.8,19.1,5.4
