ダウンロードした時刻：2019/10/10 15:36:48

,盛岡,盛岡,盛岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1981/12/1,-1.9,-1.3,-3.2
1981/12/2,-1.1,1.2,-3.2
1981/12/3,-1.3,2.3,-3.7
1981/12/4,-0.4,4.0,-4.3
1981/12/5,1.5,3.4,-1.3
1981/12/6,-0.2,3.1,-2.7
1981/12/7,-1.4,1.2,-5.3
1981/12/8,0.6,4.0,-1.7
1981/12/9,0.2,3.2,-1.0
1981/12/10,0.8,4.1,-2.1
1981/12/11,-0.1,4.3,-3.3
1981/12/12,2.5,7.3,-2.3
1981/12/13,-1.2,1.7,-3.3
1981/12/14,-3.9,-2.3,-5.2
1981/12/15,-1.3,2.3,-5.6
1981/12/16,-1.9,3.4,-7.4
1981/12/17,0.4,3.4,-3.8
1981/12/18,2.8,4.9,1.4
1981/12/19,1.8,6.4,-2.5
1981/12/20,1.4,3.9,0.0
1981/12/21,3.5,6.5,0.3
1981/12/22,2.5,5.7,-1.5
1981/12/23,4.6,6.5,3.3
1981/12/24,-2.3,3.7,-4.2
1981/12/25,-0.9,1.4,-3.7
1981/12/26,2.4,8.4,-2.4
1981/12/27,4.5,8.0,2.0
1981/12/28,3.8,9.4,-0.1
1981/12/29,6.3,10.3,1.3
1981/12/30,1.8,4.9,-2.0
1981/12/31,-0.6,1.2,-2.2
1982/1/1,0.1,4.4,-2.3
1982/1/2,-2.0,1.7,-4.4
1982/1/3,-2.1,2.7,-6.3
1982/1/4,-0.2,3.4,-5.8
1982/1/5,2.2,4.9,0.0
1982/1/6,-0.1,3.1,-2.8
1982/1/7,-2.7,0.6,-6.7
1982/1/8,-3.2,1.2,-8.4
1982/1/9,-1.2,-0.3,-2.5
1982/1/10,-1.7,1.8,-5.6
1982/1/11,-2.1,3.0,-8.8
1982/1/12,2.1,3.8,0.3
1982/1/13,-2.4,0.3,-4.6
1982/1/14,-4.5,-2.5,-8.2
1982/1/15,-4.1,-1.2,-6.6
1982/1/16,-4.7,-0.3,-8.9
1982/1/17,-4.9,1.1,-11.8
1982/1/18,-2.3,1.6,-7.5
1982/1/19,-2.3,1.4,-6.4
1982/1/20,-3.6,-1.9,-6.9
1982/1/21,1.6,5.3,-2.6
1982/1/22,0.2,3.6,-2.6
1982/1/23,-1.5,3.0,-4.7
1982/1/24,0.0,2.7,-3.9
1982/1/25,-1.5,3.7,-3.5
1982/1/26,-1.6,2.2,-7.3
1982/1/27,-0.5,3.1,-2.6
1982/1/28,-1.8,1.2,-3.8
1982/1/29,-2.4,0.4,-4.0
1982/1/30,-3.4,-0.8,-6.8
1982/1/31,-2.2,1.6,-9.2
1982/2/1,-3.6,0.1,-7.0
1982/2/2,-4.5,-0.9,-7.5
1982/2/3,-2.3,0.3,-6.8
1982/2/4,-3.8,-0.4,-8.0
1982/2/5,-6.0,-0.7,-11.1
1982/2/6,-6.1,-1.8,-12.0
1982/2/7,-6.5,-3.2,-11.8
1982/2/8,-8.7,-2.8,-13.8
1982/2/9,-7.3,-1.4,-13.2
1982/2/10,-5.3,-0.9,-11.3
1982/2/11,-1.5,0.7,-4.7
1982/2/12,-0.6,3.9,-4.4
1982/2/13,-2.7,3.1,-9.5
1982/2/14,-2.7,1.2,-5.1
1982/2/15,-2.3,1.7,-6.8
1982/2/16,-1.8,2.7,-4.6
1982/2/17,-2.3,3.6,-8.5
1982/2/18,-0.9,5.5,-6.9
1982/2/19,0.1,4.3,-5.4
1982/2/20,2.7,5.7,-0.1
1982/2/21,3.3,8.6,-0.6
1982/2/22,1.1,4.8,-1.5
1982/2/23,-0.7,4.0,-5.5
1982/2/24,-2.4,3.7,-7.6
1982/2/25,-4.6,1.0,-8.0
1982/2/26,-5.2,-0.3,-8.5
1982/2/27,0.7,5.0,-6.6
1982/2/28,1.7,4.8,-1.3
1982/3/1,1.0,4.7,-1.2
1982/3/2,0.8,5.6,-2.8
1982/3/3,0.2,5.6,-4.6
1982/3/4,2.7,8.2,-1.8
1982/3/5,4.0,6.7,1.6
1982/3/6,0.7,5.7,-2.7
1982/3/7,-2.2,1.2,-4.3
1982/3/8,-1.3,2.1,-4.6
1982/3/9,0.1,5.1,-4.1
1982/3/10,2.5,9.0,-5.6
1982/3/11,3.9,10.5,-1.9
1982/3/12,4.5,11.7,-4.4
1982/3/13,5.2,12.9,-0.4
1982/3/14,2.6,9.1,-4.5
1982/3/15,6.2,9.0,1.2
1982/3/16,7.5,11.4,1.7
1982/3/17,3.2,6.6,0.8
1982/3/18,1.2,5.4,-1.2
1982/3/19,2.2,7.9,-2.3
1982/3/20,0.9,5.4,-4.0
1982/3/21,1.2,2.3,0.3
1982/3/22,2.6,7.3,-0.2
1982/3/23,3.8,10.4,-2.0
1982/3/24,2.5,7.2,-2.6
1982/3/25,1.6,6.7,-2.1
1982/3/26,0.4,4.9,-2.5
1982/3/27,0.0,4.9,-4.3
1982/3/28,1.5,7.9,-4.6
1982/3/29,3.0,10.1,-4.1
1982/3/30,7.2,16.9,-2.8
1982/3/31,6.3,8.5,4.0
