ダウンロードした時刻：2019/10/10 16:01:11

,館山,館山,館山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1985/12/1,10.2,14.5,1.7
1985/12/2,14.0,17.2,8.8
1985/12/3,9.0,15.9,2.7
1985/12/4,12.5,17.0,3.5
1985/12/5,12.6,17.1,8.3
1985/12/6,11.2,14.6,7.1
1985/12/7,8.8,10.2,8.2
1985/12/8,10.1,15.6,7.4
1985/12/9,11.1,14.1,5.3
1985/12/10,5.8,9.5,0.0
1985/12/11,6.2,11.4,-0.8
1985/12/12,5.7,10.7,0.1
1985/12/13,6.0,11.6,-1.7
1985/12/14,10.6,13.5,7.3
1985/12/15,7.8,10.5,5.0
1985/12/16,4.9,8.8,-1.9
1985/12/17,5.9,9.3,3.1
1985/12/18,2.8,9.6,-2.5
1985/12/19,9.3,12.7,-1.9
1985/12/20,4.4,11.0,-0.9
1985/12/21,4.6,11.1,-1.7
1985/12/22,4.1,7.7,-2.1
1985/12/23,8.3,11.2,5.1
1985/12/24,6.3,11.0,1.1
1985/12/25,3.7,9.4,0.0
1985/12/26,5.4,11.1,-2.1
1985/12/27,8.0,12.6,4.6
1985/12/28,5.0,10.6,0.2
1985/12/29,10.3,14.6,1.1
1985/12/30,15.9,17.6,14.3
1985/12/31,14.9,19.0,11.0
1986/1/1,9.5,11.2,6.0
1986/1/2,6.8,10.4,0.5
1986/1/3,5.2,10.7,-3.2
1986/1/4,8.3,15.0,4.0
1986/1/5,5.8,10.9,2.6
1986/1/6,2.9,6.1,-1.9
1986/1/7,5.7,10.7,-3.0
1986/1/8,9.4,12.8,3.6
1986/1/9,5.6,7.9,3.7
1986/1/10,4.3,7.7,-1.4
1986/1/11,0.5,7.4,-4.6
1986/1/12,1.3,8.8,-3.6
1986/1/13,5.3,10.1,-3.8
1986/1/14,2.6,8.5,-2.7
1986/1/15,3.5,10.9,-4.2
1986/1/16,5.6,9.7,1.0
1986/1/17,5.2,10.6,0.1
1986/1/18,5.2,12.0,-0.8
1986/1/19,5.4,10.4,-2.4
1986/1/20,5.9,10.3,2.1
1986/1/21,5.1,8.5,2.0
1986/1/22,3.6,8.0,0.4
1986/1/23,2.4,8.6,-4.4
1986/1/24,3.2,7.9,-2.1
1986/1/25,2.4,8.0,-3.3
1986/1/26,2.8,6.4,-0.3
1986/1/27,1.6,7.5,-3.4
1986/1/28,3.1,9.4,-4.5
1986/1/29,2.6,8.5,-3.1
1986/1/30,6.7,11.6,-1.6
1986/1/31,6.6,11.6,0.7
1986/2/1,3.9,8.2,-0.8
1986/2/2,3.9,10.0,-0.3
1986/2/3,9.5,13.2,0.0
1986/2/4,4.4,8.3,1.7
1986/2/5,3.8,8.3,0.0
1986/2/6,2.9,8.0,-3.5
1986/2/7,3.9,8.5,-1.1
1986/2/8,1.7,6.3,-3.5
1986/2/9,2.8,8.9,-5.5
1986/2/10,3.0,7.2,-0.6
1986/2/11,1.9,3.7,0.1
1986/2/12,2.4,8.9,-1.2
1986/2/13,7.3,12.7,-2.4
1986/2/14,9.2,13.4,3.3
1986/2/15,6.9,9.9,3.8
1986/2/16,3.1,6.5,-0.8
1986/2/17,3.6,8.3,-1.9
1986/2/18,2.4,4.8,1.3
1986/2/19,2.9,6.9,0.1
1986/2/20,4.6,10.5,-2.4
1986/2/21,5.4,10.6,-1.2
1986/2/22,4.4,10.3,-0.9
1986/2/23,6.8,12.7,-1.8
1986/2/24,4.3,9.9,-0.6
1986/2/25,2.7,8.6,-4.2
1986/2/26,3.1,9.0,-2.2
1986/2/27,6.8,11.9,-1.6
1986/2/28,5.9,9.8,-0.1
1986/3/1,4.1,10.8,-3.6
1986/3/2,3.6,9.9,-1.3
1986/3/3,5.0,11.5,-3.1
1986/3/4,3.9,6.2,1.2
1986/3/5,5.4,13.7,-0.4
1986/3/6,4.0,11.3,-2.5
1986/3/7,6.8,12.3,3.0
1986/3/8,7.0,13.7,0.6
1986/3/9,13.2,17.8,3.8
1986/3/10,15.7,18.6,13.7
1986/3/11,10.2,16.0,4.7
1986/3/12,8.2,12.3,4.2
1986/3/13,9.0,15.6,0.5
1986/3/14,6.9,9.2,5.1
1986/3/15,5.5,7.1,3.2
1986/3/16,11.2,17.7,4.4
1986/3/17,8.1,13.7,2.1
1986/3/18,8.1,12.6,-0.8
1986/3/19,10.2,13.1,8.5
1986/3/20,10.5,15.1,6.0
1986/3/21,8.9,13.7,4.9
1986/3/22,7.8,10.6,5.2
1986/3/23,6.6,10.2,2.6
1986/3/24,8.3,12.1,4.9
1986/3/25,7.5,12.8,-0.3
1986/3/26,7.9,13.4,3.3
1986/3/27,12.2,17.2,1.6
1986/3/28,11.3,15.7,5.8
1986/3/29,6.6,10.6,2.9
1986/3/30,10.6,14.7,1.9
1986/3/31,12.1,17.5,8.2
