ダウンロードした時刻：2019/10/10 15:54:47

,飯田,飯田,飯田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1990/12/1,14.4,18.3,10.8
1990/12/2,7.7,10.9,4.6
1990/12/3,5.5,10.7,0.5
1990/12/4,3.9,12.6,-2.6
1990/12/5,3.9,13.6,-2.2
1990/12/6,3.4,13.1,-2.7
1990/12/7,3.1,13.7,-3.5
1990/12/8,4.9,17.7,-3.1
1990/12/9,3.9,10.6,-2.2
1990/12/10,9.5,18.1,3.8
1990/12/11,5.2,13.4,0.2
1990/12/12,5.8,12.1,1.4
1990/12/13,3.3,10.6,-2.3
1990/12/14,3.5,7.8,-1.4
1990/12/15,6.6,13.0,3.3
1990/12/16,3.2,8.3,-1.1
1990/12/17,1.5,5.8,-3.0
1990/12/18,2.7,8.0,-1.4
1990/12/19,1.5,8.8,-4.0
1990/12/20,2.9,9.4,-4.0
1990/12/21,4.7,9.9,2.2
1990/12/22,6.0,12.3,0.8
1990/12/23,4.5,7.9,0.9
1990/12/24,1.7,6.5,-3.5
1990/12/25,3.6,10.7,-2.1
1990/12/26,1.9,7.2,-1.7
1990/12/27,0.1,3.5,-3.2
1990/12/28,-1.8,3.4,-7.1
1990/12/29,-0.3,6.1,-4.4
1990/12/30,-0.6,7.0,-5.8
1990/12/31,0.9,7.7,-6.3
1991/1/1,3.5,6.4,1.7
1991/1/2,4.6,9.0,2.2
1991/1/3,3.6,9.2,-0.1
1991/1/4,0.0,1.4,-0.7
1991/1/5,0.9,4.3,-1.4
1991/1/6,-0.8,1.8,-3.3
1991/1/7,0.8,5.5,-2.6
1991/1/8,1.3,5.5,-3.0
1991/1/9,-0.2,7.3,-6.6
1991/1/10,0.8,5.9,-5.2
1991/1/11,3.5,8.6,-1.6
1991/1/12,2.4,8.6,-0.5
1991/1/13,2.1,6.4,-0.4
1991/1/14,1.5,7.5,-2.8
1991/1/15,-0.2,6.4,-3.6
1991/1/16,1.0,7.8,-4.1
1991/1/17,0.2,3.1,-3.2
1991/1/18,0.0,4.9,-5.0
1991/1/19,-0.5,8.8,-7.6
1991/1/20,1.8,12.4,-5.3
1991/1/21,-0.5,1.5,-2.8
1991/1/22,2.8,6.1,-0.2
1991/1/23,-0.1,4.9,-4.6
1991/1/24,-1.1,6.2,-8.1
1991/1/25,3.9,9.0,0.3
1991/1/26,2.0,7.9,-2.4
1991/1/27,-0.2,7.7,-6.2
1991/1/28,-0.7,5.8,-5.8
1991/1/29,-1.0,7.0,-6.5
1991/1/30,-0.9,7.3,-7.4
1991/1/31,-0.9,7.4,-7.6
1991/2/1,-0.3,7.2,-7.4
1991/2/2,-0.5,5.4,-5.9
1991/2/3,-0.6,8.4,-8.0
1991/2/4,0.9,7.8,-3.5
1991/2/5,1.1,5.7,-4.1
1991/2/6,-0.4,7.8,-8.5
1991/2/7,1.2,9.9,-5.3
1991/2/8,-1.1,5.5,-5.9
1991/2/9,0.3,10.0,-8.0
1991/2/10,-1.2,0.9,-4.2
1991/2/11,4.3,11.2,-0.2
1991/2/12,3.6,9.1,-1.0
1991/2/13,2.6,7.5,-2.7
1991/2/14,4.7,12.9,-2.2
1991/2/15,5.3,9.7,1.8
1991/2/16,5.1,8.9,1.6
1991/2/17,1.1,5.1,-3.5
1991/2/18,-1.5,3.0,-5.9
1991/2/19,-0.6,3.8,-3.5
1991/2/20,-2.1,4.7,-6.8
1991/2/21,-1.1,3.4,-4.0
1991/2/22,-0.7,4.7,-3.9
1991/2/23,-2.8,0.2,-4.9
1991/2/24,-3.4,1.4,-6.4
1991/2/25,-2.2,3.6,-6.9
1991/2/26,-0.5,10.0,-9.3
1991/2/27,3.4,14.1,-6.3
1991/2/28,5.5,9.9,2.1
1991/3/1,2.5,6.0,-0.1
1991/3/2,2.9,9.3,-1.2
1991/3/3,2.1,9.3,-3.5
1991/3/4,4.0,12.9,-5.6
1991/3/5,10.0,20.2,2.5
1991/3/6,10.3,20.2,3.6
1991/3/7,6.9,17.0,0.2
1991/3/8,2.8,4.3,1.4
1991/3/9,9.3,14.7,3.7
1991/3/10,7.4,16.0,-0.2
1991/3/11,4.2,5.4,3.0
1991/3/12,7.0,13.6,2.3
1991/3/13,7.5,15.7,-0.3
1991/3/14,4.0,9.8,-0.4
1991/3/15,2.8,10.5,-3.7
1991/3/16,2.6,3.9,0.6
1991/3/17,4.1,9.9,-0.3
1991/3/18,5.2,15.1,-2.7
1991/3/19,8.2,18.8,-1.2
1991/3/20,10.3,15.0,5.3
1991/3/21,9.0,14.6,4.8
1991/3/22,4.9,6.1,3.8
1991/3/23,7.4,12.4,4.4
1991/3/24,12.6,21.6,5.0
1991/3/25,10.3,11.9,8.9
1991/3/26,13.2,20.9,7.4
1991/3/27,10.9,13.2,8.9
1991/3/28,10.7,13.8,6.5
1991/3/29,9.4,16.4,5.3
1991/3/30,9.5,14.3,5.4
1991/3/31,7.8,12.2,5.1
