ダウンロードした時刻：2019/10/10 15:34:24

,函館,函館,函館
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1988/12/1,2.4,6.3,-0.1
1988/12/2,2.0,4.9,-1.8
1988/12/3,6.3,10.5,2.7
1988/12/4,6.7,9.8,2.0
1988/12/5,2.6,8.8,-2.9
1988/12/6,0.1,4.0,-4.8
1988/12/7,7.4,9.8,3.3
1988/12/8,9.5,12.4,6.1
1988/12/9,6.3,13.7,1.2
1988/12/10,-1.5,1.4,-3.7
1988/12/11,-1.8,0.4,-3.7
1988/12/12,1.2,4.9,-3.4
1988/12/13,3.9,7.5,-0.8
1988/12/14,5.7,9.1,1.8
1988/12/15,0.2,3.3,-1.2
1988/12/16,-1.2,2.0,-4.1
1988/12/17,-2.0,1.6,-5.9
1988/12/18,0.0,2.8,-1.6
1988/12/19,0.0,2.9,-2.2
1988/12/20,0.2,4.9,-2.8
1988/12/21,-4.7,-2.4,-8.5
1988/12/22,-5.3,-2.0,-7.1
1988/12/23,-0.7,2.1,-6.0
1988/12/24,-0.1,2.8,-2.6
1988/12/25,-2.4,0.8,-5.1
1988/12/26,-4.0,-1.6,-5.4
1988/12/27,-1.2,1.2,-4.4
1988/12/28,-5.9,-1.1,-9.0
1988/12/29,-5.4,-2.0,-9.7
1988/12/30,-2.1,0.5,-6.6
1988/12/31,1.9,5.2,-0.9
1989/1/1,1.8,5.7,-0.5
1989/1/2,0.7,4.0,-1.9
1989/1/3,1.4,4.2,-3.6
1989/1/4,-1.7,2.3,-5.9
1989/1/5,-0.6,1.3,-2.6
1989/1/6,-0.5,3.4,-4.7
1989/1/7,1.8,6.3,-6.0
1989/1/8,3.7,7.3,-1.2
1989/1/9,0.9,3.6,-3.8
1989/1/10,3.9,6.0,2.1
1989/1/11,1.2,3.8,-1.0
1989/1/12,-2.6,-0.2,-7.1
1989/1/13,-3.1,0.8,-8.4
1989/1/14,-5.0,-0.7,-9.7
1989/1/15,-5.0,-1.0,-12.5
1989/1/16,0.1,3.9,-2.2
1989/1/17,-2.0,2.4,-5.4
1989/1/18,0.5,5.2,-5.5
1989/1/19,2.9,6.8,-0.6
1989/1/20,0.7,4.1,-1.4
1989/1/21,0.7,5.8,-3.3
1989/1/22,-5.3,-2.0,-8.6
1989/1/23,-3.6,-0.3,-9.6
1989/1/24,-0.5,2.3,-3.9
1989/1/25,-3.0,1.2,-6.1
1989/1/26,1.1,4.1,-6.4
1989/1/27,0.0,2.9,-3.2
1989/1/28,-4.4,-1.9,-7.3
1989/1/29,-3.8,-1.6,-7.1
1989/1/30,-1.5,2.2,-4.0
1989/1/31,1.8,7.1,-4.6
1989/2/1,-1.2,2.0,-5.3
1989/2/2,-4.6,-0.3,-8.4
1989/2/3,-4.8,0.4,-9.6
1989/2/4,-4.1,-0.2,-8.8
1989/2/5,0.0,1.4,-4.6
1989/2/6,0.7,4.1,-2.7
1989/2/7,-0.8,4.5,-6.7
1989/2/8,2.0,5.9,-2.7
1989/2/9,2.0,6.6,-0.5
1989/2/10,-0.4,2.6,-3.6
1989/2/11,-1.8,3.3,-7.2
1989/2/12,-1.0,2.8,-4.2
1989/2/13,0.1,3.4,-1.4
1989/2/14,0.6,5.1,-3.3
1989/2/15,3.3,8.7,-4.0
1989/2/16,4.0,8.8,-2.1
1989/2/17,-1.1,3.0,-3.8
1989/2/18,-1.8,1.4,-5.2
1989/2/19,-1.3,4.2,-6.4
1989/2/20,1.4,4.3,-2.5
1989/2/21,-1.6,2.0,-5.6
1989/2/22,-3.8,-0.4,-6.0
1989/2/23,-1.2,2.7,-6.4
1989/2/24,2.1,6.2,-2.8
1989/2/25,1.0,3.9,-2.7
1989/2/26,-0.7,2.9,-4.5
1989/2/27,-0.3,3.8,-6.3
1989/2/28,6.6,10.0,2.9
1989/3/1,2.8,7.9,0.3
1989/3/2,1.7,6.0,-1.6
1989/3/3,2.1,4.4,-1.5
1989/3/4,4.8,8.6,2.2
1989/3/5,1.8,4.3,0.2
1989/3/6,1.0,6.4,-2.5
1989/3/7,-0.4,3.9,-4.5
1989/3/8,-2.1,2.4,-5.1
1989/3/9,-0.5,3.8,-3.8
1989/3/10,2.4,6.6,-4.4
1989/3/11,3.1,7.7,0.0
1989/3/12,4.3,9.3,-0.5
1989/3/13,4.7,7.2,1.0
1989/3/14,5.5,8.3,2.9
1989/3/15,4.0,7.1,2.2
1989/3/16,3.1,7.9,0.3
1989/3/17,1.5,4.3,-0.4
1989/3/18,2.3,5.1,0.3
1989/3/19,4.1,8.8,0.8
1989/3/20,5.5,9.7,1.8
1989/3/21,2.9,4.8,1.2
1989/3/22,2.2,5.3,1.2
1989/3/23,4.2,8.6,-0.2
1989/3/24,3.9,6.4,1.8
1989/3/25,2.9,5.4,0.7
1989/3/26,4.7,9.6,0.5
1989/3/27,4.7,10.9,-1.0
1989/3/28,4.0,10.1,0.0
1989/3/29,2.5,7.2,-2.0
1989/3/30,5.9,10.1,-0.5
1989/3/31,8.5,14.3,0.9
