ダウンロードした時刻：2017/07/24 15:40:40

,敦賀,敦賀,敦賀
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1995/1/1,4.4,7.6,2.6
1995/1/2,4.7,6.6,0.5
1995/1/3,5.7,8.6,-0.2
1995/1/4,8.6,9.7,6.8
1995/1/5,5.9,8.9,1.6
1995/1/6,2.6,4.6,0.5
1995/1/7,5.1,7.9,1.2
1995/1/8,6.8,11.8,1.6
1995/1/9,10.1,13.9,6.7
1995/1/10,4.0,7.5,1.7
1995/1/11,3.7,5.5,1.3
1995/1/12,3.9,6.1,1.5
1995/1/13,1.5,2.8,0.5
1995/1/14,0.5,2.8,-0.8
1995/1/15,1.8,3.1,0.6
1995/1/16,2.2,4.3,0.5
1995/1/17,2.3,5.8,-1.8
1995/1/18,3.4,6.6,1.0
1995/1/19,2.7,3.5,0.3
1995/1/20,3.6,9.7,-0.5
1995/1/21,6.1,11.0,3.0
1995/1/22,7.0,10.5,4.2
1995/1/23,6.7,9.6,5.1
1995/1/24,5.4,8.3,4.1
1995/1/25,4.7,7.7,1.1
1995/1/26,3.3,6.9,0.4
1995/1/27,2.4,5.4,0.7
1995/1/28,2.6,8.1,0.4
1995/1/29,1.4,3.5,0.2
1995/1/30,0.9,2.5,-0.6
1995/1/31,1.5,3.9,0.0
1995/2/1,2.0,4.5,0.0
1995/2/2,2.4,5.4,0.6
1995/2/3,3.3,5.5,0.5
1995/2/4,2.7,6.7,-1.3
1995/2/5,2.4,4.8,0.3
1995/2/6,2.8,5.0,0.4
1995/2/7,3.4,6.5,0.5
1995/2/8,5.5,11.0,2.7
1995/2/9,6.2,10.5,2.5
1995/2/10,3.8,5.6,2.4
1995/2/11,4.2,9.5,-0.8
1995/2/12,7.4,11.1,4.8
1995/2/13,7.3,10.5,5.1
1995/2/14,5.7,9.4,1.0
1995/2/15,4.6,9.0,0.8
1995/2/16,4.0,7.6,1.0
1995/2/17,3.4,6.6,0.9
1995/2/18,4.3,8.9,0.8
1995/2/19,5.6,10.1,0.1
1995/2/20,5.1,7.3,2.6
1995/2/21,3.6,5.7,1.7
1995/2/22,4.4,7.1,1.0
1995/2/23,4.2,9.7,-1.3
1995/2/24,6.0,9.1,2.7
1995/2/25,4.9,9.4,0.8
1995/2/26,7.0,11.5,2.5
1995/2/27,5.3,8.7,1.9
1995/2/28,6.1,12.0,-0.3
1995/3/1,5.8,9.1,4.2
1995/3/2,4.3,7.0,0.4
1995/3/3,4.5,9.5,-1.0
1995/3/4,4.6,7.7,1.1
1995/3/5,4.1,7.9,0.6
1995/3/6,5.5,10.6,1.7
1995/3/7,7.7,13.1,2.6
1995/3/8,6.8,12.1,2.8
1995/3/9,7.2,12.2,1.9
1995/3/10,8.7,10.7,5.3
1995/3/11,6.4,7.8,4.4
1995/3/12,7.2,11.7,5.0
1995/3/13,7.3,9.6,5.0
1995/3/14,7.7,10.9,4.8
1995/3/15,7.9,12.4,1.6
1995/3/16,12.3,15.7,10.8
1995/3/17,12.6,17.2,6.9
1995/3/18,6.7,8.9,3.7
1995/3/19,5.2,9.5,2.5
1995/3/20,8.0,13.6,1.0
1995/3/21,12.7,17.8,8.1
1995/3/22,10.6,12.7,6.3
1995/3/23,10.1,14.1,5.6
1995/3/24,14.3,17.7,11.6
1995/3/25,7.9,11.6,5.0
1995/3/26,6.5,10.3,2.1
1995/3/27,9.1,15.6,2.1
1995/3/28,7.0,10.8,3.7
1995/3/29,9.8,15.4,2.8
1995/3/30,11.9,14.5,10.1
1995/3/31,10.8,12.4,7.5
1995/4/1,7.9,11.0,5.3
1995/4/2,6.1,10.1,1.8
1995/4/3,6.1,10.3,0.9
1995/4/4,8.4,14.4,1.5
1995/4/5,13.3,19.1,5.2
1995/4/6,15.0,19.6,11.3
1995/4/7,12.8,16.3,7.0
1995/4/8,14.1,20.6,5.6
1995/4/9,14.3,17.1,11.8
1995/4/10,11.2,14.3,7.9
1995/4/11,9.6,13.6,5.4
1995/4/12,10.3,12.9,8.1
1995/4/13,11.0,16.5,5.5
1995/4/14,11.7,13.5,9.5
1995/4/15,12.6,15.2,10.6
1995/4/16,14.5,17.9,11.3
1995/4/17,13.7,17.6,10.3
1995/4/18,15.9,20.9,9.6
1995/4/19,12.4,15.6,8.6
1995/4/20,11.3,15.4,6.5
1995/4/21,15.0,20.8,5.9
1995/4/22,16.8,19.8,13.7
1995/4/23,17.0,22.5,13.1
1995/4/24,14.4,17.8,8.7
1995/4/25,15.4,16.7,14.5
1995/4/26,14.5,16.1,12.5
1995/4/27,14.0,17.8,9.2
1995/4/28,17.0,18.8,15.7
1995/4/29,17.8,21.1,15.8
1995/4/30,16.1,19.6,15.1
1995/5/1,18.4,19.8,15.3
