ダウンロードした時刻：2019/10/10 16:01:29

,館山,館山,館山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1999/12/1,10.6,16.3,4.4
1999/12/2,10.4,11.3,8.9
1999/12/3,8.8,14.1,2.3
1999/12/4,9.8,15.7,1.1
1999/12/5,15.5,19.7,11.0
1999/12/6,13.6,17.4,10.6
1999/12/7,9.9,14.3,3.9
1999/12/8,8.9,15.1,2.2
1999/12/9,12.2,17.5,4.7
1999/12/10,11.4,17.2,3.8
1999/12/11,14.5,18.7,8.0
1999/12/12,7.9,11.5,2.9
1999/12/13,7.7,14.4,0.8
1999/12/14,6.1,13.5,1.4
1999/12/15,6.0,14.4,0.5
1999/12/16,6.3,13.6,0.1
1999/12/17,14.1,16.5,6.1
1999/12/18,9.3,12.7,6.6
1999/12/19,6.7,11.3,3.1
1999/12/20,8.6,11.1,6.9
1999/12/21,7.1,11.7,0.1
1999/12/22,3.4,11.6,-2.2
1999/12/23,3.7,12.5,-2.9
1999/12/24,8.3,13.8,0.1
1999/12/25,11.9,15.2,8.5
1999/12/26,5.9,12.2,0.9
1999/12/27,4.5,12.2,-1.8
1999/12/28,9.6,14.6,2.5
1999/12/29,9.3,16.9,2.6
1999/12/30,9.4,15.3,3.0
1999/12/31,9.6,13.5,4.0
2000/1/1,7.8,14.5,1.1
2000/1/2,5.9,11.2,0.3
2000/1/3,8.9,17.2,1.1
2000/1/4,7.2,15.0,1.5
2000/1/5,7.5,14.0,0.3
2000/1/6,11.2,16.2,6.8
2000/1/7,16.3,19.9,10.4
2000/1/8,11.1,15.6,5.8
2000/1/9,8.7,14.7,2.3
2000/1/10,10.3,14.9,7.1
2000/1/11,8.1,13.0,4.0
2000/1/12,5.5,6.8,3.6
2000/1/13,8.9,12.8,5.0
2000/1/14,12.3,17.4,7.5
2000/1/15,8.3,11.6,3.8
2000/1/16,7.5,11.1,1.7
2000/1/17,6.4,7.8,4.9
2000/1/18,8.3,12.8,4.6
2000/1/19,6.9,10.2,2.9
2000/1/20,9.0,12.0,3.0
2000/1/21,4.6,8.2,0.3
2000/1/22,4.4,9.5,-4.2
2000/1/23,11.1,13.9,7.9
2000/1/24,10.9,14.8,5.4
2000/1/25,5.3,8.7,2.0
2000/1/26,4.2,8.9,0.5
2000/1/27,2.8,5.2,0.9
2000/1/28,2.3,9.2,-3.1
2000/1/29,3.8,11.8,-3.6
2000/1/30,11.5,15.2,1.8
2000/1/31,7.3,11.2,4.3
2000/2/1,5.3,10.0,0.9
2000/2/2,5.6,11.3,0.0
2000/2/3,5.3,12.6,-0.4
2000/2/4,7.7,12.6,2.8
2000/2/5,5.0,11.7,-1.9
2000/2/6,7.3,12.8,0.5
2000/2/7,8.7,14.4,4.0
2000/2/8,8.9,13.6,3.9
2000/2/9,7.4,12.3,0.0
2000/2/10,2.5,10.6,-4.3
2000/2/11,5.8,12.3,-2.6
2000/2/12,5.8,14.4,-0.6
2000/2/13,6.0,13.2,-1.1
2000/2/14,9.2,12.8,4.3
2000/2/15,7.7,12.2,1.0
2000/2/16,2.1,7.1,-2.6
2000/2/17,1.3,8.2,-5.0
2000/2/18,3.1,9.9,-3.4
2000/2/19,4.2,8.4,-2.7
2000/2/20,4.9,7.6,4.0
2000/2/21,5.1,11.0,-2.3
2000/2/22,3.1,9.0,-4.2
2000/2/23,5.6,11.2,-1.6
2000/2/24,8.1,12.5,1.9
2000/2/25,3.5,9.1,-0.8
2000/2/26,3.3,7.7,-3.0
2000/2/27,5.0,11.9,-1.7
2000/2/28,5.8,11.5,-2.4
2000/2/29,4.7,8.9,1.3
2000/3/1,4.5,11.3,-2.3
2000/3/2,5.9,12.8,0.3
2000/3/3,8.0,16.2,-1.4
2000/3/4,12.6,18.5,6.3
2000/3/5,12.8,16.7,10.0
2000/3/6,9.4,12.9,4.2
2000/3/7,10.5,17.3,1.8
2000/3/8,8.3,13.1,3.9
2000/3/9,6.5,12.7,1.5
2000/3/10,5.4,11.1,-1.6
2000/3/11,7.5,11.3,2.3
2000/3/12,5.6,8.8,3.2
2000/3/13,8.7,16.1,2.3
2000/3/14,7.5,11.9,3.7
2000/3/15,7.3,12.3,0.1
2000/3/16,7.9,13.1,4.2
2000/3/17,9.9,16.2,3.3
2000/3/18,9.8,14.6,0.1
2000/3/19,13.8,15.7,11.1
2000/3/20,11.0,15.4,5.7
2000/3/21,7.9,11.9,3.0
2000/3/22,8.9,15.8,2.1
2000/3/23,9.9,15.6,0.6
2000/3/24,13.8,17.8,8.5
2000/3/25,10.4,14.3,8.4
2000/3/26,9.4,13.5,2.1
2000/3/27,7.5,15.1,-1.4
2000/3/28,11.9,18.5,4.3
2000/3/29,14.6,17.6,11.8
2000/3/30,11.4,17.5,5.5
2000/3/31,11.5,16.6,3.1
