ダウンロードした時刻：2019/10/10 15:45:56

,長野,長野,長野
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1983/12/1,3.3,6.2,0.7
1983/12/2,3.5,10.3,-2.0
1983/12/3,1.8,5.3,0.0
1983/12/4,0.9,4.1,-2.0
1983/12/5,1.8,6.6,-3.4
1983/12/6,0.9,5.3,-2.0
1983/12/7,1.2,6.6,-4.1
1983/12/8,2.6,7.5,-2.8
1983/12/9,3.9,9.1,-0.8
1983/12/10,5.2,10.7,0.2
1983/12/11,4.9,9.4,0.1
1983/12/12,0.8,3.8,-1.7
1983/12/13,1.1,6.6,-4.3
1983/12/14,1.0,2.5,-0.8
1983/12/15,1.8,6.2,-2.6
1983/12/16,-0.6,1.7,-2.3
1983/12/17,-2.1,-0.3,-3.0
1983/12/18,-2.7,0.9,-5.6
1983/12/19,-1.8,3.2,-7.0
1983/12/20,-1.6,1.4,-3.4
1983/12/21,-1.9,3.3,-6.8
1983/12/22,2.3,8.3,-3.8
1983/12/23,1.6,7.3,-2.5
1983/12/24,-0.8,2.5,-4.0
1983/12/25,-2.1,0.6,-5.9
1983/12/26,-3.7,0.2,-6.6
1983/12/27,-3.6,1.4,-7.0
1983/12/28,-3.2,2.7,-8.5
1983/12/29,-2.0,2.4,-5.4
1983/12/30,-2.0,3.4,-6.3
1983/12/31,-1.8,3.7,-7.3
1984/1/1,-1.1,4.0,-5.1
1984/1/2,-0.6,4.4,-3.0
1984/1/3,-1.1,3.5,-5.4
1984/1/4,-0.6,2.2,-3.9
1984/1/5,-3.4,-0.1,-5.6
1984/1/6,-2.9,1.5,-6.1
1984/1/7,-3.5,-0.3,-6.6
1984/1/8,-5.5,-0.6,-10.3
1984/1/9,-3.0,1.6,-9.5
1984/1/10,0.8,4.8,-2.0
1984/1/11,-2.6,0.1,-4.4
1984/1/12,-3.5,0.0,-7.1
1984/1/13,-2.2,2.9,-5.3
1984/1/14,-1.4,4.0,-6.5
1984/1/15,-1.0,6.1,-5.8
1984/1/16,-4.4,-1.8,-6.3
1984/1/17,-4.9,-3.0,-6.6
1984/1/18,-4.4,0.0,-9.0
1984/1/19,-4.4,-2.7,-6.1
1984/1/20,-4.4,-1.0,-6.7
1984/1/21,-2.7,2.0,-10.0
1984/1/22,-0.4,1.2,-1.7
1984/1/23,-1.6,2.2,-3.8
1984/1/24,-3.7,-1.0,-7.2
1984/1/25,-3.6,1.4,-8.1
1984/1/26,-3.8,-0.7,-6.1
1984/1/27,-3.7,-0.5,-6.9
1984/1/28,-2.4,-0.4,-3.9
1984/1/29,-4.4,-0.8,-7.5
1984/1/30,-5.8,-1.1,-10.7
1984/1/31,-4.6,-1.7,-8.1
1984/2/1,-1.1,4.0,-4.8
1984/2/2,-1.3,7.0,-7.7
1984/2/3,-5.0,-1.6,-7.5
1984/2/4,-7.7,-3.8,-10.3
1984/2/5,-5.8,-1.4,-11.0
1984/2/6,-5.6,-3.6,-7.5
1984/2/7,-7.1,-4.7,-8.6
1984/2/8,-6.5,-3.8,-9.0
1984/2/9,-5.3,-2.9,-7.5
1984/2/10,-4.4,-1.2,-7.2
1984/2/11,-4.9,0.2,-9.3
1984/2/12,-3.6,2.1,-10.9
1984/2/13,-0.7,2.9,-2.5
1984/2/14,-1.6,3.0,-5.1
1984/2/15,-3.5,0.1,-5.9
1984/2/16,-5.6,-2.6,-9.0
1984/2/17,-4.6,-2.3,-6.6
1984/2/18,-4.1,-1.4,-7.4
1984/2/19,-4.6,-1.4,-8.7
1984/2/20,-3.0,2.7,-7.6
1984/2/21,-1.4,3.3,-5.3
1984/2/22,-1.1,3.2,-6.8
1984/2/23,0.8,3.2,0.0
1984/2/24,0.4,3.2,-0.6
1984/2/25,-0.1,3.2,-2.1
1984/2/26,-0.1,1.6,-1.6
1984/2/27,-1.5,1.6,-4.5
1984/2/28,-4.2,-3.0,-5.7
1984/2/29,-4.1,-1.1,-6.1
1984/3/1,-3.7,1.0,-7.4
1984/3/2,-1.7,5.5,-9.1
1984/3/3,-1.3,2.6,-3.7
1984/3/4,-1.4,3.8,-4.4
1984/3/5,-3.0,2.0,-7.3
1984/3/6,-2.0,3.2,-5.5
1984/3/7,-2.2,2.3,-6.7
1984/3/8,-2.2,2.4,-6.1
1984/3/9,-1.4,2.8,-4.9
1984/3/10,-0.6,1.3,-3.6
1984/3/11,-2.4,0.2,-4.2
1984/3/12,-2.7,0.4,-6.6
1984/3/13,-3.5,0.2,-7.6
1984/3/14,-2.5,1.8,-6.0
1984/3/15,-0.5,5.1,-8.6
1984/3/16,2.7,4.8,1.0
1984/3/17,2.0,7.5,-0.8
1984/3/18,0.6,5.5,-2.2
1984/3/19,-0.1,1.5,-1.4
1984/3/20,-0.1,2.0,-1.3
1984/3/21,-1.7,1.9,-3.4
1984/3/22,-3.1,1.4,-5.9
1984/3/23,-1.8,2.8,-6.3
1984/3/24,2.2,7.1,-3.5
1984/3/25,4.4,9.0,0.3
1984/3/26,0.3,6.1,-3.6
1984/3/27,1.7,8.6,-4.6
1984/3/28,2.1,6.3,-0.8
1984/3/29,5.1,14.9,-2.8
1984/3/30,8.2,17.0,0.7
1984/3/31,4.6,9.0,1.7
