ダウンロードした時刻：2019/10/10 15:46:45

,高田,高田,高田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1983/12/1,5.1,7.0,3.8
1983/12/2,9.7,16.5,5.1
1983/12/3,6.6,12.7,2.9
1983/12/4,4.6,6.1,2.6
1983/12/5,4.4,11.1,1.7
1983/12/6,3.1,5.7,1.0
1983/12/7,5.0,9.8,1.6
1983/12/8,5.6,8.8,1.7
1983/12/9,7.1,11.6,4.1
1983/12/10,8.7,14.2,3.9
1983/12/11,7.5,12.2,2.0
1983/12/12,3.3,6.1,1.8
1983/12/13,7.7,11.6,1.4
1983/12/14,3.7,10.8,0.2
1983/12/15,2.6,7.7,0.0
1983/12/16,0.4,2.0,-0.1
1983/12/17,-0.5,0.0,-1.2
1983/12/18,0.0,2.2,-1.9
1983/12/19,0.1,2.9,-4.2
1983/12/20,1.6,3.0,0.1
1983/12/21,1.6,6.4,-1.4
1983/12/22,4.9,9.6,1.0
1983/12/23,3.4,8.0,0.8
1983/12/24,0.5,3.8,-2.5
1983/12/25,0.5,3.0,-3.3
1983/12/26,-0.2,1.0,-1.3
1983/12/27,-1.1,2.5,-5.0
1983/12/28,-0.7,5.0,-6.4
1983/12/29,0.8,3.7,-1.8
1983/12/30,0.4,5.1,-3.8
1983/12/31,0.3,6.5,-6.9
1984/1/1,0.8,2.3,-0.1
1984/1/2,0.7,2.1,-0.4
1984/1/3,1.6,5.8,-2.1
1984/1/4,2.1,4.9,0.2
1984/1/5,-0.3,1.1,-1.9
1984/1/6,0.4,2.8,-1.0
1984/1/7,-0.1,1.1,-1.4
1984/1/8,-0.6,4.8,-4.2
1984/1/9,1.1,3.7,-1.7
1984/1/10,3.2,6.7,0.6
1984/1/11,0.5,2.0,-1.0
1984/1/12,-1.0,1.0,-4.2
1984/1/13,0.7,3.8,-1.8
1984/1/14,2.8,7.5,-1.4
1984/1/15,3.0,10.5,-1.0
1984/1/16,-1.7,-0.1,-3.2
1984/1/17,-0.8,0.1,-2.2
1984/1/18,-0.8,3.0,-2.3
1984/1/19,-1.3,0.2,-3.1
1984/1/20,-1.5,0.5,-3.7
1984/1/21,-0.7,4.0,-4.7
1984/1/22,1.6,2.7,-1.1
1984/1/23,1.0,2.6,-0.4
1984/1/24,-0.6,1.0,-2.8
1984/1/25,-1.0,1.8,-4.2
1984/1/26,-0.6,1.0,-1.9
1984/1/27,0.1,1.6,-1.0
1984/1/28,-0.9,0.7,-2.3
1984/1/29,-0.8,1.8,-3.2
1984/1/30,-2.0,1.6,-6.2
1984/1/31,-1.1,1.2,-6.8
1984/2/1,1.2,6.5,-4.0
1984/2/2,1.1,5.5,-4.4
1984/2/3,-2.5,0.3,-4.3
1984/2/4,-3.3,-0.5,-6.0
1984/2/5,-2.1,1.1,-5.8
1984/2/6,-3.6,-0.4,-4.6
1984/2/7,-2.9,-0.9,-4.8
1984/2/8,-2.4,-0.2,-4.4
1984/2/9,-1.3,1.7,-2.8
1984/2/10,-1.0,1.9,-3.2
1984/2/11,-0.1,3.0,-2.2
1984/2/12,0.1,4.6,-4.7
1984/2/13,1.2,4.3,-0.3
1984/2/14,-0.5,1.4,-1.7
1984/2/15,-2.0,0.4,-5.6
1984/2/16,-2.2,-0.2,-5.5
1984/2/17,-2.1,-0.3,-4.5
1984/2/18,-0.7,0.9,-2.9
1984/2/19,0.5,2.8,-1.4
1984/2/20,0.5,5.1,-4.4
1984/2/21,1.2,5.1,-2.1
1984/2/22,0.7,4.7,-3.2
1984/2/23,2.5,5.9,-2.1
1984/2/24,2.4,4.2,0.8
1984/2/25,1.4,4.1,0.0
1984/2/26,3.0,4.7,-0.5
1984/2/27,1.8,4.2,-0.7
1984/2/28,-0.2,1.7,-2.0
1984/2/29,-2.0,0.1,-3.5
1984/3/1,-1.0,2.2,-3.6
1984/3/2,1.1,7.5,-7.3
1984/3/3,2.4,5.7,-1.1
1984/3/4,0.6,5.4,-2.1
1984/3/5,-1.5,2.0,-5.7
1984/3/6,-0.2,3.7,-3.3
1984/3/7,0.1,4.7,-3.2
1984/3/8,-1.0,1.5,-4.5
1984/3/9,0.3,4.3,-3.5
1984/3/10,0.9,5.0,-4.7
1984/3/11,1.1,3.0,-0.6
1984/3/12,1.5,5.8,-2.7
1984/3/13,0.5,3.3,-3.3
1984/3/14,0.3,4.7,-3.5
1984/3/15,0.9,6.5,-5.7
1984/3/16,4.4,9.5,0.3
1984/3/17,5.0,8.2,1.9
1984/3/18,2.1,5.2,0.4
1984/3/19,1.6,5.0,0.4
1984/3/20,1.6,3.3,0.4
1984/3/21,1.6,4.1,-0.7
1984/3/22,0.4,3.6,-1.8
1984/3/23,0.5,3.9,-1.7
1984/3/24,4.6,9.5,-2.5
1984/3/25,6.1,9.4,0.5
1984/3/26,0.2,8.9,-2.5
1984/3/27,2.2,6.4,-3.0
1984/3/28,2.5,6.7,-1.7
1984/3/29,7.0,12.6,-1.8
1984/3/30,9.2,16.3,0.9
1984/3/31,4.1,7.4,1.9
