ダウンロードした時刻：2019/10/10 15:55:02

,飯田,飯田,飯田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2002/12/1,6.4,7.7,5.0
2002/12/2,5.7,11.9,2.0
2002/12/3,6.0,13.7,0.1
2002/12/4,5.9,7.3,4.7
2002/12/5,7.7,13.8,3.9
2002/12/6,6.2,11.1,3.2
2002/12/7,4.3,6.5,2.9
2002/12/8,3.4,5.4,0.1
2002/12/9,0.8,3.1,-0.1
2002/12/10,0.5,3.9,-1.3
2002/12/11,-0.4,1.0,-2.3
2002/12/12,1.3,4.5,-1.8
2002/12/13,0.4,5.5,-3.7
2002/12/14,-1.6,5.3,-6.4
2002/12/15,-1.3,5.6,-6.3
2002/12/16,3.6,12.6,-4.7
2002/12/17,6.6,11.0,-0.1
2002/12/18,3.6,11.6,-1.1
2002/12/19,3.6,6.4,1.0
2002/12/20,3.3,8.7,-0.2
2002/12/21,1.5,2.9,0.3
2002/12/22,4.3,8.0,2.2
2002/12/23,3.2,8.2,-0.2
2002/12/24,4.8,10.4,-0.1
2002/12/25,4.8,8.7,1.1
2002/12/26,0.6,4.0,-2.2
2002/12/27,-0.3,4.2,-4.6
2002/12/28,-0.8,5.9,-6.3
2002/12/29,2.1,7.7,-2.9
2002/12/30,-0.2,7.4,-5.8
2002/12/31,1.7,9.5,-3.3
2003/1/1,2.5,7.7,-1.9
2003/1/2,0.7,5.5,-3.5
2003/1/3,0.6,7.3,-3.5
2003/1/4,2.3,4.7,-1.4
2003/1/5,-3.3,-1.4,-4.2
2003/1/6,-3.1,3.4,-8.1
2003/1/7,-3.1,4.3,-8.8
2003/1/8,-1.7,5.9,-6.9
2003/1/9,-1.6,7.5,-8.0
2003/1/10,0.7,8.3,-5.3
2003/1/11,1.9,8.7,-2.3
2003/1/12,0.8,9.6,-4.8
2003/1/13,1.6,9.5,-4.2
2003/1/14,1.5,8.3,-3.8
2003/1/15,-1.1,2.1,-5.7
2003/1/16,-1.8,6.5,-8.9
2003/1/17,5.1,11.0,-1.6
2003/1/18,2.7,9.6,-1.2
2003/1/19,-0.6,1.5,-3.3
2003/1/20,1.9,6.5,-1.4
2003/1/21,0.8,4.8,-3.5
2003/1/22,-0.6,4.5,-6.5
2003/1/23,-0.2,1.0,-1.9
2003/1/24,0.5,3.7,-2.5
2003/1/25,-1.6,5.4,-7.5
2003/1/26,0.1,5.4,-5.8
2003/1/27,2.3,7.1,0.6
2003/1/28,2.2,7.4,-1.5
2003/1/29,-3.8,-0.6,-7.4
2003/1/30,-2.9,1.7,-7.5
2003/1/31,-0.8,4.5,-5.8
2003/2/1,-0.7,5.7,-5.6
2003/2/2,-1.2,1.8,-3.8
2003/2/3,0.7,7.0,-2.6
2003/2/4,-0.1,7.3,-4.9
2003/2/5,0.1,5.9,-3.1
2003/2/6,0.3,7.1,-4.8
2003/2/7,1.1,11.3,-6.8
2003/2/8,3.6,12.5,-3.9
2003/2/9,6.8,14.2,2.9
2003/2/10,5.9,10.4,2.8
2003/2/11,6.3,9.5,3.6
2003/2/12,2.9,8.4,-2.0
2003/2/13,1.0,6.7,-3.7
2003/2/14,1.5,8.8,-4.1
2003/2/15,2.7,11.7,-4.1
2003/2/16,1.1,3.8,-0.9
2003/2/17,1.1,7.8,-4.2
2003/2/18,1.7,7.6,-2.0
2003/2/19,3.1,9.7,-2.1
2003/2/20,2.6,9.1,-2.2
2003/2/21,3.0,9.5,-2.5
2003/2/22,1.9,4.7,-0.6
2003/2/23,4.3,7.5,2.2
2003/2/24,1.2,3.1,-0.6
2003/2/25,1.7,8.5,-3.9
2003/2/26,3.1,9.3,-3.5
2003/2/27,3.9,10.0,-1.3
2003/2/28,2.5,11.2,-4.5
2003/3/1,3.4,5.3,1.0
2003/3/2,7.5,13.8,2.3
2003/3/3,5.5,9.5,0.9
2003/3/4,0.1,3.4,-3.7
2003/3/5,-0.1,8.0,-6.2
2003/3/6,2.7,9.9,-2.4
2003/3/7,3.3,5.8,1.7
2003/3/8,5.3,10.3,0.8
2003/3/9,2.4,8.1,-1.5
2003/3/10,0.9,7.2,-4.2
2003/3/11,0.2,7.4,-4.4
2003/3/12,0.8,10.1,-5.7
2003/3/13,2.2,10.8,-3.9
2003/3/14,3.8,11.4,-2.4
2003/3/15,2.8,4.7,1.4
2003/3/16,4.3,12.3,-0.7
2003/3/17,4.7,8.3,0.8
2003/3/18,4.3,12.2,-1.0
2003/3/19,2.9,9.1,-1.9
2003/3/20,3.5,12.0,-2.8
2003/3/21,4.3,12.9,-2.4
2003/3/22,2.4,5.2,0.3
2003/3/23,5.7,15.6,-2.7
2003/3/24,8.2,17.3,-0.3
2003/3/25,7.5,11.4,5.7
2003/3/26,9.4,17.2,3.3
2003/3/27,9.4,16.9,1.9
2003/3/28,9.1,15.2,3.3
2003/3/29,6.4,12.1,1.2
2003/3/30,6.6,15.0,-2.1
2003/3/31,9.3,17.7,1.9
