É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2019/10/10 15:32:45

,éDñy,éDñy,éDñy
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
2014/12/1,8.8,11.3,6.8
2014/12/2,0.1,8.5,-2.0
2014/12/3,-1.3,0.1,-2.3
2014/12/4,-1.4,1.9,-3.6
2014/12/5,-2.4,0.0,-4.2
2014/12/6,-3.5,-0.8,-5.1
2014/12/7,-1.9,1.5,-5.3
2014/12/8,-1.6,1.9,-5.1
2014/12/9,-2.0,0.7,-4.5
2014/12/10,-0.9,1.0,-3.4
2014/12/11,1.6,5.1,-1.3
2014/12/12,-1.8,-0.3,-3.9
2014/12/13,-4.8,-3.1,-7.2
2014/12/14,-4.8,-2.1,-7.5
2014/12/15,-3.7,-1.8,-7.6
2014/12/16,-1.2,2.5,-7.4
2014/12/17,-0.6,2.4,-2.7
2014/12/18,1.0,2.6,-1.3
2014/12/19,-0.2,1.4,-3.0
2014/12/20,3.7,7.2,-1.6
2014/12/21,-2.5,6.8,-6.3
2014/12/22,-6.5,-5.4,-7.8
2014/12/23,-3.3,-0.2,-8.0
2014/12/24,-2.4,-0.7,-7.0
2014/12/25,-5.0,-2.4,-8.2
2014/12/26,-4.4,-1.5,-8.2
2014/12/27,-2.0,1.5,-7.2
2014/12/28,1.2,4.3,-2.6
2014/12/29,1.7,5.6,-1.2
2014/12/30,0.2,1.8,-1.5
2014/12/31,-1.2,1.6,-4.1
2015/1/1,-4.0,-1.3,-6.4
2015/1/2,-5.5,-1.6,-9.2
2015/1/3,-5.0,-2.4,-9.4
2015/1/4,-2.7,0.2,-5.7
2015/1/5,-2.4,1.4,-6.4
2015/1/6,1.1,5.3,-5.3
2015/1/7,-3.4,0.9,-8.6
2015/1/8,0.7,1.8,-0.2
2015/1/9,0.7,2.5,-1.4
2015/1/10,-0.9,1.5,-2.5
2015/1/11,0.2,2.0,-1.3
2015/1/12,1.0,2.2,-0.1
2015/1/13,-0.1,2.3,-4.5
2015/1/14,-1.1,4.9,-5.9
2015/1/15,-0.4,2.9,-4.1
2015/1/16,-1.3,0.7,-2.9
2015/1/17,-3.9,0.0,-6.3
2015/1/18,-4.9,-3.2,-7.4
2015/1/19,-3.0,-0.8,-6.2
2015/1/20,-3.8,-1.2,-6.9
2015/1/21,-2.2,1.7,-6.5
2015/1/22,0.1,2.9,-3.0
2015/1/23,0.2,1.5,-0.7
2015/1/24,-0.6,1.0,-2.3
2015/1/25,-1.1,1.6,-4.6
2015/1/26,1.9,3.7,-1.8
2015/1/27,0.9,4.7,-4.9
2015/1/28,-4.9,-2.6,-7.1
2015/1/29,-2.9,-0.2,-5.5
2015/1/30,-0.4,2.2,-3.4
2015/1/31,-0.3,3.1,-3.0
2015/2/1,-1.7,-0.2,-3.0
2015/2/2,-2.1,-1.2,-3.3
2015/2/3,-4.4,-2.3,-6.5
2015/2/4,-5.9,-2.1,-9.7
2015/2/5,-5.2,-2.1,-7.4
2015/2/6,-4.1,0.6,-10.1
2015/2/7,0.2,3.6,-4.2
2015/2/8,2.4,3.7,1.6
2015/2/9,-4.9,3.7,-8.2
2015/2/10,-6.7,-4.7,-7.8
2015/2/11,-2.7,0.7,-7.7
2015/2/12,-1.5,2.6,-5.3
2015/2/13,-2.7,-0.4,-6.0
2015/2/14,-0.9,1.6,-2.0
2015/2/15,0.6,2.0,-1.9
2015/2/16,1.8,2.3,1.2
2015/2/17,1.9,4.8,-1.6
2015/2/18,1.7,2.7,-1.0
2015/2/19,0.8,3.9,-2.8
2015/2/20,0.3,3.1,-3.0
2015/2/21,-0.1,3.3,-3.8
2015/2/22,1.8,3.2,-0.8
2015/2/23,4.3,7.6,0.6
2015/2/24,0.7,2.8,-1.1
2015/2/25,-0.3,1.3,-2.3
2015/2/26,0.6,3.9,-3.7
2015/2/27,2.3,5.4,0.7
2015/2/28,0.3,2.5,-2.5
2015/3/1,-0.3,2.0,-4.5
2015/3/2,1.5,4.1,-0.2
2015/3/3,2.3,5.1,-1.2
2015/3/4,1.0,2.2,-0.2
2015/3/5,0.8,2.3,-0.6
2015/3/6,1.4,4.8,-2.3
2015/3/7,1.5,2.3,0.2
2015/3/8,3.2,7.1,-1.0
2015/3/9,4.7,6.9,-0.1
2015/3/10,3.6,7.5,0.7
2015/3/11,0.5,2.9,-1.1
2015/3/12,0.8,2.7,-0.6
2015/3/13,0.9,3.5,-0.8
2015/3/14,2.2,4.9,0.2
2015/3/15,2.9,5.7,-1.0
2015/3/16,6.0,9.9,2.0
2015/3/17,6.7,11.8,3.5
2015/3/18,5.3,7.7,2.6
2015/3/19,4.7,9.7,0.6
2015/3/20,3.9,7.5,0.3
2015/3/21,5.0,10.1,-0.5
2015/3/22,5.4,8.8,2.7
2015/3/23,2.1,5.2,-0.5
2015/3/24,1.6,3.5,-0.7
2015/3/25,2.8,4.9,1.4
2015/3/26,5.4,10.3,-0.9
2015/3/27,8.3,14.9,2.4
2015/3/28,10.0,16.0,3.9
2015/3/29,8.6,16.3,5.6
2015/3/30,8.5,12.2,5.3
2015/3/31,7.7,12.0,5.2
