ダウンロードした時刻：2019/10/10 16:15:48

,松山,松山,松山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2015/12/1,12.0,17.5,8.3
2015/12/2,12.4,17.9,6.9
2015/12/3,11.1,14.4,7.4
2015/12/4,9.9,12.5,7.6
2015/12/5,10.7,13.4,9.0
2015/12/6,10.8,14.0,8.3
2015/12/7,10.7,16.7,6.8
2015/12/8,9.6,15.7,5.7
2015/12/9,10.6,16.9,4.9
2015/12/10,12.7,14.5,11.0
2015/12/11,15.1,17.7,11.5
2015/12/12,11.4,14.3,8.0
2015/12/13,10.8,14.9,7.1
2015/12/14,11.8,17.8,7.3
2015/12/15,13.1,14.5,11.2
2015/12/16,10.9,13.9,7.5
2015/12/17,6.3,8.8,3.0
2015/12/18,6.0,11.2,1.3
2015/12/19,7.4,13.2,3.4
2015/12/20,8.2,13.6,3.0
2015/12/21,11.0,14.9,8.8
2015/12/22,11.0,16.1,7.5
2015/12/23,10.3,12.0,8.5
2015/12/24,11.7,16.6,8.0
2015/12/25,10.7,14.6,5.4
2015/12/26,8.4,12.5,3.9
2015/12/27,9.4,13.6,6.1
2015/12/28,8.2,11.8,4.3
2015/12/29,5.3,9.6,2.6
2015/12/30,5.6,11.6,1.8
2015/12/31,6.5,10.1,4.0
2016/1/1,6.3,12.1,2.3
2016/1/2,9.9,15.3,3.7
2016/1/3,12.3,17.0,9.7
2016/1/4,11.5,15.7,7.7
2016/1/5,9.2,12.4,6.9
2016/1/6,8.8,11.3,6.5
2016/1/7,8.8,11.9,6.2
2016/1/8,8.0,9.2,6.6
2016/1/9,6.7,10.2,2.6
2016/1/10,6.8,11.8,3.6
2016/1/11,7.7,11.6,3.8
2016/1/12,7.6,11.8,4.6
2016/1/13,5.1,7.2,2.1
2016/1/14,5.5,9.2,2.2
2016/1/15,4.5,9.1,1.6
2016/1/16,5.2,11.6,0.1
2016/1/17,6.3,9.3,2.4
2016/1/18,7.3,11.4,1.6
2016/1/19,2.4,3.3,1.0
2016/1/20,3.4,6.3,1.0
2016/1/21,4.5,8.0,0.3
2016/1/22,6.2,10.5,3.3
2016/1/23,4.6,9.5,2.7
2016/1/24,-0.7,2.8,-2.4
2016/1/25,1.9,5.8,-1.0
2016/1/26,4.4,7.8,1.5
2016/1/27,7.5,10.1,4.5
2016/1/28,8.0,11.1,4.2
2016/1/29,9.7,10.8,8.7
2016/1/30,8.9,10.7,5.1
2016/1/31,7.5,12.5,3.1
2016/2/1,7.2,10.0,5.5
2016/2/2,6.0,9.5,2.7
2016/2/3,5.5,10.6,1.4
2016/2/4,5.8,9.8,2.0
2016/2/5,6.1,10.9,2.8
2016/2/6,5.2,9.5,2.3
2016/2/7,4.4,9.6,1.2
2016/2/8,5.5,9.8,-0.1
2016/2/9,9.2,12.4,3.8
2016/2/10,6.3,13.2,1.5
2016/2/11,7.7,13.9,1.7
2016/2/12,11.7,17.2,5.2
2016/2/13,13.1,15.1,11.5
2016/2/14,12.6,18.8,8.1
2016/2/15,5.3,8.2,2.8
2016/2/16,4.5,6.9,2.4
2016/2/17,6.2,9.8,2.1
2016/2/18,5.6,11.4,0.2
2016/2/19,9.6,14.4,3.8
2016/2/20,8.4,9.9,7.3
2016/2/21,7.2,10.6,3.9
2016/2/22,6.3,10.5,1.5
2016/2/23,6.9,9.5,5.1
2016/2/24,6.6,10.4,3.2
2016/2/25,5.1,8.5,1.6
2016/2/26,4.6,9.8,-0.8
2016/2/27,8.4,15.4,2.8
2016/2/28,11.1,16.6,5.4
2016/2/29,7.5,15.5,1.9
2016/3/1,3.7,7.4,0.5
2016/3/2,6.0,11.2,1.0
2016/3/3,9.1,15.4,3.0
2016/3/4,11.4,17.7,7.5
2016/3/5,15.2,21.9,7.8
2016/3/6,16.9,21.5,14.0
2016/3/7,16.1,21.6,11.6
2016/3/8,14.1,17.2,11.2
2016/3/9,10.4,14.1,8.2
2016/3/10,9.0,13.2,7.3
2016/3/11,8.1,12.8,5.9
2016/3/12,7.3,11.9,3.5
2016/3/13,7.6,12.1,3.5
2016/3/14,7.8,12.0,6.0
2016/3/15,8.3,14.2,3.4
2016/3/16,10.5,16.0,5.7
2016/3/17,13.2,19.3,6.8
2016/3/18,12.6,15.8,10.8
2016/3/19,13.3,15.1,10.7
2016/3/20,11.2,16.8,7.4
2016/3/21,9.7,15.9,5.1
2016/3/22,10.4,16.6,4.4
2016/3/23,12.7,17.6,7.4
2016/3/24,10.5,15.1,6.1
2016/3/25,8.6,13.7,4.2
2016/3/26,9.0,15.2,2.8
2016/3/27,9.6,13.6,6.0
2016/3/28,10.6,15.1,6.5
2016/3/29,12.2,16.9,6.3
2016/3/30,15.3,19.8,9.9
2016/3/31,15.1,20.0,11.7
