ダウンロードした時刻：2019/10/10 15:34:43

,函館,函館,函館
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2003/12/1,6.2,11.4,1.1
2003/12/2,7.4,10.0,4.1
2003/12/3,2.0,4.9,-1.8
2003/12/4,-2.3,0.0,-3.8
2003/12/5,-0.7,2.0,-2.7
2003/12/6,3.7,7.1,-1.9
2003/12/7,-0.4,7.5,-3.7
2003/12/8,-2.0,0.1,-3.9
2003/12/9,-3.7,-2.0,-5.8
2003/12/10,-1.2,0.3,-3.1
2003/12/11,-0.2,4.6,-5.6
2003/12/12,2.6,5.5,-1.6
2003/12/13,1.5,6.9,-2.6
2003/12/14,3.3,6.8,-1.7
2003/12/15,4.1,8.8,0.3
2003/12/16,2.4,4.7,1.1
2003/12/17,3.5,7.1,0.9
2003/12/18,5.0,7.0,1.3
2003/12/19,2.1,4.6,0.7
2003/12/20,1.7,4.3,0.0
2003/12/21,2.3,6.0,-1.4
2003/12/22,5.2,8.0,1.2
2003/12/23,4.3,7.3,1.2
2003/12/24,4.0,7.8,-0.3
2003/12/25,4.5,8.3,0.5
2003/12/26,-1.0,1.5,-4.4
2003/12/27,-3.8,0.0,-6.6
2003/12/28,0.4,4.6,-6.6
2003/12/29,4.1,7.9,0.6
2003/12/30,-1.7,0.8,-4.9
2003/12/31,2.7,5.0,0.0
2004/1/1,1.0,3.2,-1.9
2004/1/2,0.2,3.9,-2.6
2004/1/3,-0.7,2.4,-2.7
2004/1/4,-2.7,-0.1,-5.7
2004/1/5,-3.3,1.6,-6.4
2004/1/6,-3.8,0.7,-6.7
2004/1/7,-1.5,2.2,-7.1
2004/1/8,0.4,3.1,-1.7
2004/1/9,-1.6,1.7,-4.5
2004/1/10,1.0,6.3,-3.9
2004/1/11,-2.1,1.7,-7.4
2004/1/12,-0.8,2.5,-5.0
2004/1/13,2.6,4.2,1.1
2004/1/14,-1.5,2.4,-3.9
2004/1/15,-1.5,0.9,-4.4
2004/1/16,0.2,3.1,-2.2
2004/1/17,-1.5,3.1,-5.3
2004/1/18,-1.8,3.1,-5.8
2004/1/19,0.9,2.2,-3.4
2004/1/20,0.8,2.7,-0.8
2004/1/21,2.9,6.1,0.0
2004/1/22,-1.1,3.2,-4.8
2004/1/23,-4.5,-2.5,-6.5
2004/1/24,-1.7,1.9,-5.9
2004/1/25,-3.2,0.6,-7.4
2004/1/26,-3.2,1.1,-7.9
2004/1/27,-4.2,-0.8,-7.7
2004/1/28,-4.5,-2.1,-7.6
2004/1/29,-4.1,0.5,-9.6
2004/1/30,-1.8,1.9,-5.5
2004/1/31,-1.1,3.0,-6.5
2004/2/1,-0.9,2.8,-5.2
2004/2/2,1.6,3.4,-1.9
2004/2/3,-0.2,2.8,-4.0
2004/2/4,-4.2,-1.2,-7.3
2004/2/5,-3.0,-0.4,-5.7
2004/2/6,-4.1,-0.1,-7.6
2004/2/7,-4.4,-1.0,-6.6
2004/2/8,-4.2,-0.2,-8.1
2004/2/9,-5.3,-2.4,-9.6
2004/2/10,-3.3,0.0,-10.5
2004/2/11,1.1,3.8,-1.5
2004/2/12,-0.3,3.0,-3.5
2004/2/13,0.8,4.4,-3.0
2004/2/14,4.0,7.1,-0.1
2004/2/15,3.9,7.9,0.7
2004/2/16,1.9,4.9,-0.8
2004/2/17,0.5,2.7,-1.5
2004/2/18,-1.4,1.5,-4.6
2004/2/19,-2.7,1.6,-7.2
2004/2/20,-0.3,4.5,-7.2
2004/2/21,5.4,7.6,2.2
2004/2/22,5.3,9.1,2.4
2004/2/23,1.1,8.9,-4.4
2004/2/24,1.7,5.5,-5.2
2004/2/25,4.3,7.3,0.7
2004/2/26,1.1,7.0,-4.5
2004/2/27,-4.4,-2.1,-6.5
2004/2/28,2.7,7.7,-3.0
2004/2/29,2.9,8.0,-4.1
2004/3/1,-4.2,-1.6,-6.1
2004/3/2,-4.6,-1.8,-6.0
2004/3/3,-6.0,-3.7,-7.8
2004/3/4,-4.5,0.4,-9.2
2004/3/5,-5.0,-1.9,-7.7
2004/3/6,-3.5,-1.2,-8.9
2004/3/7,-2.6,0.9,-7.2
2004/3/8,-1.3,1.4,-4.7
2004/3/9,3.5,7.1,-0.6
2004/3/10,6.6,11.1,-0.6
2004/3/11,5.0,12.3,0.4
2004/3/12,2.6,5.4,0.0
2004/3/13,0.8,3.1,-1.6
2004/3/14,-0.9,2.2,-3.5
2004/3/15,0.8,4.0,-1.9
2004/3/16,3.1,7.9,-2.0
2004/3/17,7.4,15.8,1.5
2004/3/18,0.0,3.7,-2.5
2004/3/19,0.4,4.2,-4.4
2004/3/20,3.7,9.1,-1.1
2004/3/21,2.4,8.1,-2.7
2004/3/22,1.5,6.9,-3.8
2004/3/23,3.1,8.6,-3.0
2004/3/24,5.0,11.4,-1.6
2004/3/25,5.8,9.5,4.3
2004/3/26,4.5,7.8,2.8
2004/3/27,4.4,8.9,0.2
2004/3/28,5.8,12.9,-1.0
2004/3/29,7.9,13.7,2.0
2004/3/30,9.4,11.3,5.7
2004/3/31,5.9,10.5,3.2
