ダウンロードした時刻：2019/10/10 15:36:45

,秋田,秋田,秋田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2017/12/1,1.2,2.4,-0.1
2017/12/2,1.9,5.3,0.2
2017/12/3,3.8,11.2,0.8
2017/12/4,4.6,6.0,3.1
2017/12/5,2.7,7.8,-0.8
2017/12/6,0.4,1.8,-1.3
2017/12/7,0.8,3.1,-1.5
2017/12/8,1.5,6.2,-1.0
2017/12/9,0.8,4.0,-1.3
2017/12/10,2.7,4.6,0.3
2017/12/11,5.4,9.9,-0.5
2017/12/12,0.2,1.6,-1.7
2017/12/13,0.7,2.5,-1.0
2017/12/14,1.9,4.2,-0.3
2017/12/15,1.7,3.3,0.7
2017/12/16,2.7,7.4,0.1
2017/12/17,-0.2,1.1,-2.2
2017/12/18,1.6,6.0,-1.3
2017/12/19,0.6,3.7,-1.8
2017/12/20,0.2,2.0,-1.7
2017/12/21,0.0,2.9,-3.9
2017/12/22,2.0,3.4,-0.3
2017/12/23,4.8,8.9,2.6
2017/12/24,4.0,6.8,0.9
2017/12/25,4.1,9.7,0.9
2017/12/26,-1.0,1.8,-3.5
2017/12/27,-2.6,-1.1,-4.4
2017/12/28,-0.3,1.3,-2.2
2017/12/29,0.7,2.6,-2.1
2017/12/30,0.1,2.5,-2.0
2017/12/31,1.1,4.9,-1.8
2018/1/1,4.5,6.7,1.8
2018/1/2,2.0,4.5,-0.6
2018/1/3,0.8,4.3,-3.6
2018/1/4,1.0,3.0,-0.2
2018/1/5,0.5,2.1,-0.9
2018/1/6,2.2,4.2,-0.9
2018/1/7,2.3,4.5,-1.2
2018/1/8,2.0,4.5,-1.1
2018/1/9,4.3,9.5,2.4
2018/1/10,1.2,2.9,-1.9
2018/1/11,-1.7,0.4,-3.4
2018/1/12,-1.6,2.2,-4.7
2018/1/13,0.1,2.1,-2.1
2018/1/14,-0.8,1.7,-4.4
2018/1/15,2.0,6.2,-1.5
2018/1/16,4.1,8.4,2.6
2018/1/17,5.2,8.7,3.6
2018/1/18,3.7,6.2,1.2
2018/1/19,1.8,4.2,-1.5
2018/1/20,-0.1,4.2,-3.9
2018/1/21,-0.9,0.6,-2.4
2018/1/22,-2.7,-0.1,-7.2
2018/1/23,0.4,5.2,-3.0
2018/1/24,-5.5,-1.8,-7.6
2018/1/25,-4.0,-1.7,-7.9
2018/1/26,-4.3,-3.3,-5.6
2018/1/27,-2.5,0.0,-4.3
2018/1/28,-0.1,2.3,-1.4
2018/1/29,-2.3,1.1,-4.5
2018/1/30,-3.0,-0.8,-4.9
2018/1/31,-1.0,1.1,-2.9
2018/2/1,-1.7,1.2,-6.4
2018/2/2,-3.5,3.2,-9.7
2018/2/3,0.4,6.0,-5.6
2018/2/4,1.7,3.8,0.0
2018/2/5,0.5,1.8,-1.6
2018/2/6,1.7,3.8,0.0
2018/2/7,-0.4,0.8,-2.0
2018/2/8,-1.0,2.5,-4.1
2018/2/9,0.5,2.6,-2.0
2018/2/10,3.1,6.8,0.7
2018/2/11,-0.3,2.1,-4.1
2018/2/12,-4.1,-2.5,-5.5
2018/2/13,-3.1,-0.6,-5.3
2018/2/14,1.4,7.0,-2.8
2018/2/15,-0.1,5.6,-2.2
2018/2/16,-0.4,2.2,-2.5
2018/2/17,-1.6,2.2,-4.0
2018/2/18,-3.1,-1.4,-4.3
2018/2/19,-0.9,1.3,-4.3
2018/2/20,-0.7,2.3,-4.0
2018/2/21,-1.8,1.0,-5.2
2018/2/22,-2.8,1.3,-6.4
2018/2/23,-1.2,3.3,-6.3
2018/2/24,-1.9,0.2,-3.6
2018/2/25,-2.7,0.4,-4.5
2018/2/26,-1.9,1.6,-5.2
2018/2/27,-1.4,2.0,-5.8
2018/2/28,1.2,4.7,-4.0
2018/3/1,4.9,8.5,2.4
2018/3/2,0.3,3.0,-1.7
2018/3/3,3.7,8.1,0.5
2018/3/4,5.6,11.9,0.3
2018/3/5,2.2,4.9,0.1
2018/3/6,-0.3,2.6,-3.4
2018/3/7,-0.6,2.7,-3.7
2018/3/8,6.1,9.7,0.9
2018/3/9,6.2,11.2,2.1
2018/3/10,2.2,3.7,1.3
2018/3/11,3.1,6.8,0.0
2018/3/12,2.3,4.7,0.3
2018/3/13,6.6,13.4,-0.5
2018/3/14,10.2,12.5,7.2
2018/3/15,11.1,17.5,4.6
2018/3/16,3.0,9.5,0.3
2018/3/17,1.5,4.8,-0.8
2018/3/18,3.6,9.1,-2.0
2018/3/19,6.0,11.4,0.1
2018/3/20,1.5,4.9,-1.2
2018/3/21,2.7,6.1,-3.1
2018/3/22,4.0,5.6,2.2
2018/3/23,4.8,9.3,1.6
2018/3/24,6.1,10.2,2.8
2018/3/25,8.7,12.2,3.5
2018/3/26,10.9,13.3,9.2
2018/3/27,10.8,18.3,4.3
2018/3/28,12.2,18.6,4.4
2018/3/29,11.1,14.4,6.4
2018/3/30,6.4,10.2,0.7
2018/3/31,5.6,10.7,-1.2
