ダウンロードした時刻：2019/10/10 16:01:09

,館山,館山,館山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1983/12/1,9.4,16.1,2.6
1983/12/2,10.5,15.4,1.9
1983/12/3,11.6,17.8,6.5
1983/12/4,8.5,12.8,5.0
1983/12/5,10.5,14.7,3.8
1983/12/6,6.7,12.5,0.6
1983/12/7,6.3,13.0,0.3
1983/12/8,6.6,13.3,1.3
1983/12/9,6.9,14.7,1.0
1983/12/10,12.3,15.5,3.7
1983/12/11,13.4,16.4,9.2
1983/12/12,7.7,12.6,1.1
1983/12/13,9.1,13.4,0.7
1983/12/14,13.0,17.7,7.2
1983/12/15,8.7,11.8,1.7
1983/12/16,5.4,10.6,0.5
1983/12/17,5.8,11.8,-1.4
1983/12/18,2.7,8.3,-3.0
1983/12/19,4.8,9.8,-3.4
1983/12/20,4.7,9.9,-0.9
1983/12/21,2.5,10.1,-3.8
1983/12/22,10.2,14.5,0.7
1983/12/23,11.0,15.3,5.0
1983/12/24,3.8,6.4,-0.3
1983/12/25,6.7,10.0,3.6
1983/12/26,2.9,8.4,-2.7
1983/12/27,1.4,8.4,-3.1
1983/12/28,2.5,9.8,-4.3
1983/12/29,3.3,9.8,-1.9
1983/12/30,3.4,6.7,-1.5
1983/12/31,3.2,8.4,-1.6
1984/1/1,2.7,10.9,-3.2
1984/1/2,3.4,11.1,-2.3
1984/1/3,4.2,12.5,-1.7
1984/1/4,6.2,11.9,0.8
1984/1/5,3.7,8.8,-1.7
1984/1/6,4.1,9.1,-0.3
1984/1/7,3.6,10.1,-2.1
1984/1/8,3.3,9.1,-1.6
1984/1/9,5.3,11.2,-2.7
1984/1/10,7.2,11.7,-1.5
1984/1/11,6.5,10.9,2.7
1984/1/12,2.0,6.5,-3.0
1984/1/13,2.9,11.0,-4.1
1984/1/14,4.0,10.6,-1.7
1984/1/15,8.6,13.5,-1.5
1984/1/16,3.1,9.2,0.2
1984/1/17,3.3,7.9,0.1
1984/1/18,2.6,7.2,-0.9
1984/1/19,1.0,3.3,0.0
1984/1/20,0.4,4.6,-3.4
1984/1/21,1.7,3.7,-3.6
1984/1/22,2.8,5.7,0.4
1984/1/23,4.0,9.8,-1.9
1984/1/24,4.0,8.6,1.3
1984/1/25,4.4,8.0,-1.8
1984/1/26,3.6,7.8,-3.1
1984/1/27,4.0,8.8,-1.5
1984/1/28,1.9,8.2,-3.7
1984/1/29,3.1,7.5,-0.8
1984/1/30,2.9,7.7,-3.5
1984/1/31,3.0,4.2,1.8
1984/2/1,4.8,10.7,0.7
1984/2/2,7.7,12.6,-0.6
1984/2/3,4.9,9.6,-0.6
1984/2/4,1.1,3.9,-1.7
1984/2/5,3.6,7.9,-1.3
1984/2/6,2.4,6.3,-0.7
1984/2/7,-1.6,4.0,-5.6
1984/2/8,1.2,5.6,-6.4
1984/2/9,1.8,6.8,-4.2
1984/2/10,1.1,7.5,-5.4
1984/2/11,1.3,7.9,-3.5
1984/2/12,3.0,8.5,-3.1
1984/2/13,3.4,6.0,2.0
1984/2/14,4.1,9.5,-0.7
1984/2/15,3.0,6.0,-0.8
1984/2/16,1.4,6.8,-5.0
1984/2/17,1.1,6.6,-2.8
1984/2/18,2.3,5.7,-0.5
1984/2/19,3.4,8.4,-0.7
1984/2/20,3.8,9.4,-0.1
1984/2/21,4.3,10.1,-2.3
1984/2/22,5.7,11.1,-0.3
1984/2/23,3.7,5.0,2.4
1984/2/24,6.4,10.7,1.5
1984/2/25,4.8,7.9,1.5
1984/2/26,5.0,10.5,2.5
1984/2/27,7.1,11.5,2.6
1984/2/28,4.3,8.4,-1.3
1984/2/29,5.6,9.5,-1.7
1984/3/1,3.4,7.6,-3.6
1984/3/2,7.6,10.7,3.4
1984/3/3,7.3,11.9,3.1
1984/3/4,3.3,8.5,-0.5
1984/3/5,3.8,8.8,-0.9
1984/3/6,4.5,10.6,-2.5
1984/3/7,3.9,9.6,-1.9
1984/3/8,5.5,10.0,0.2
1984/3/9,4.8,10.9,-1.0
1984/3/10,4.9,9.0,1.6
1984/3/11,5.3,10.1,-1.2
1984/3/12,6.1,11.9,-3.2
1984/3/13,4.5,8.6,-1.0
1984/3/14,1.4,4.6,0.4
1984/3/15,4.4,8.0,1.1
1984/3/16,3.9,4.8,2.8
1984/3/17,7.9,13.9,1.0
1984/3/18,8.6,12.9,3.5
1984/3/19,3.4,5.5,1.2
1984/3/20,3.2,4.7,1.4
1984/3/21,4.8,10.2,-0.8
1984/3/22,4.1,9.6,-2.1
1984/3/23,4.6,9.9,1.1
1984/3/24,8.1,10.7,3.9
1984/3/25,9.0,14.5,4.7
1984/3/26,9.6,13.6,4.3
1984/3/27,9.6,14.9,1.8
1984/3/28,3.8,9.4,-0.7
1984/3/29,10.9,15.2,-1.2
1984/3/30,14.7,18.7,11.8
1984/3/31,11.8,19.3,4.6
