ダウンロードした時刻：2019/10/10 16:22:08

,大分,大分,大分
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1988/12/1,7.9,15.2,1.6
1988/12/2,8.0,14.4,3.0
1988/12/3,9.1,15.7,3.5
1988/12/4,9.1,14.4,3.4
1988/12/5,6.2,10.0,2.8
1988/12/6,4.8,11.9,-0.8
1988/12/7,7.4,15.6,0.0
1988/12/8,11.2,18.9,3.4
1988/12/9,9.8,13.8,5.3
1988/12/10,7.1,10.8,4.5
1988/12/11,6.5,11.1,3.2
1988/12/12,6.6,14.1,0.4
1988/12/13,7.6,14.7,1.6
1988/12/14,8.7,15.5,3.3
1988/12/15,5.2,9.4,1.3
1988/12/16,2.4,5.4,0.9
1988/12/17,4.2,9.7,-0.2
1988/12/18,5.3,11.9,-1.3
1988/12/19,11.4,18.5,5.1
1988/12/20,9.4,16.7,2.7
1988/12/21,10.4,15.2,6.8
1988/12/22,6.6,12.9,1.0
1988/12/23,6.2,12.3,0.9
1988/12/24,8.7,13.3,3.0
1988/12/25,8.7,12.2,5.7
1988/12/26,6.0,11.6,1.0
1988/12/27,6.7,13.7,0.3
1988/12/28,7.9,10.8,3.7
1988/12/29,6.7,8.5,5.5
1988/12/30,7.5,12.3,3.8
1988/12/31,8.6,12.1,4.4
1989/1/1,7.2,11.0,2.0
1989/1/2,4.8,11.3,-0.3
1989/1/3,7.5,13.8,1.1
1989/1/4,7.1,12.3,2.8
1989/1/5,4.8,9.9,1.1
1989/1/6,7.2,12.4,0.3
1989/1/7,12.6,16.9,8.3
1989/1/8,14.7,17.8,11.7
1989/1/9,12.2,13.7,10.5
1989/1/10,10.1,14.4,5.7
1989/1/11,9.6,12.0,6.2
1989/1/12,10.4,12.4,8.1
1989/1/13,8.3,11.0,4.5
1989/1/14,7.7,8.9,5.2
1989/1/15,5.5,8.4,1.6
1989/1/16,6.5,11.4,1.6
1989/1/17,7.1,12.0,3.4
1989/1/18,10.7,16.9,5.7
1989/1/19,15.1,19.1,11.7
1989/1/20,13.2,17.5,10.6
1989/1/21,10.9,13.4,7.5
1989/1/22,7.7,10.4,5.3
1989/1/23,9.3,12.2,7.5
1989/1/24,7.0,9.5,3.4
1989/1/25,5.8,11.0,0.8
1989/1/26,7.0,9.4,4.5
1989/1/27,4.6,10.0,1.4
1989/1/28,3.2,5.7,1.1
1989/1/29,3.9,7.5,-0.1
1989/1/30,4.9,10.1,-1.1
1989/1/31,7.2,11.7,0.5
1989/2/1,7.0,10.2,3.8
1989/2/2,3.3,7.5,0.5
1989/2/3,4.3,8.8,-0.8
1989/2/4,4.7,10.1,0.2
1989/2/5,4.9,10.7,-0.5
1989/2/6,7.5,13.3,2.1
1989/2/7,6.8,11.2,1.3
1989/2/8,9.1,11.0,7.6
1989/2/9,9.4,10.9,8.0
1989/2/10,5.8,8.6,3.0
1989/2/11,6.0,10.4,1.7
1989/2/12,5.9,11.2,0.3
1989/2/13,6.0,10.4,1.2
1989/2/14,5.3,10.3,0.4
1989/2/15,9.4,14.7,0.3
1989/2/16,14.0,17.9,10.5
1989/2/17,12.0,14.1,10.5
1989/2/18,10.1,13.5,7.7
1989/2/19,7.6,11.1,3.5
1989/2/20,8.4,14.8,1.2
1989/2/21,9.3,10.6,8.2
1989/2/22,9.9,13.4,6.2
1989/2/23,8.1,9.5,6.7
1989/2/24,8.6,9.8,6.7
1989/2/25,11.3,13.8,9.3
1989/2/26,8.1,11.2,2.7
1989/2/27,7.2,12.2,0.2
1989/2/28,12.7,19.6,6.4
1989/3/1,12.3,15.7,8.7
1989/3/2,9.6,12.2,4.4
1989/3/3,14.0,18.1,10.8
1989/3/4,12.8,18.5,9.2
1989/3/5,8.2,12.2,4.0
1989/3/6,6.1,10.5,2.5
1989/3/7,5.1,9.1,1.8
1989/3/8,5.6,9.9,1.3
1989/3/9,5.5,10.9,0.1
1989/3/10,5.8,12.2,-1.0
1989/3/11,8.2,14.4,0.8
1989/3/12,10.3,17.1,2.2
1989/3/13,11.1,12.0,10.1
1989/3/14,13.1,20.1,7.5
1989/3/15,11.4,16.4,6.1
1989/3/16,9.7,14.0,2.6
1989/3/17,9.0,12.5,6.4
1989/3/18,7.9,12.6,1.3
1989/3/19,8.4,13.7,4.7
1989/3/20,9.2,14.3,3.2
1989/3/21,10.1,15.8,3.4
1989/3/22,9.9,14.5,4.8
1989/3/23,8.4,12.1,2.4
1989/3/24,12.2,16.8,7.9
1989/3/25,11.0,13.6,8.3
1989/3/26,8.4,10.8,5.4
1989/3/27,9.9,12.7,7.8
1989/3/28,9.0,12.8,6.4
1989/3/29,9.8,15.4,3.7
1989/3/30,11.9,18.3,3.4
1989/3/31,14.8,21.2,11.3
