ダウンロードした時刻：2019/10/10 15:40:27

,福島,福島,福島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1982/12/1,10.3,13.3,7.8
1982/12/2,8.0,12.1,5.5
1982/12/3,8.0,13.1,5.3
1982/12/4,8.2,15.3,3.8
1982/12/5,9.6,15.1,3.8
1982/12/6,2.6,8.3,0.6
1982/12/7,4.2,7.4,-1.9
1982/12/8,3.7,6.0,0.4
1982/12/9,4.6,8.6,-1.2
1982/12/10,6.8,13.0,2.3
1982/12/11,8.7,15.4,0.3
1982/12/12,9.4,13.3,3.8
1982/12/13,3.5,5.0,1.3
1982/12/14,3.2,8.3,0.0
1982/12/15,3.7,9.6,-1.4
1982/12/16,6.2,12.1,2.0
1982/12/17,6.1,9.9,2.2
1982/12/18,4.1,7.4,1.6
1982/12/19,1.8,7.1,-2.2
1982/12/20,4.2,11.5,-3.7
1982/12/21,6.5,12.1,2.4
1982/12/22,5.0,6.8,3.5
1982/12/23,7.3,11.0,4.6
1982/12/24,5.9,8.5,4.1
1982/12/25,3.8,5.8,0.9
1982/12/26,0.9,5.6,-1.1
1982/12/27,5.6,8.7,2.0
1982/12/28,3.1,6.3,-0.9
1982/12/29,4.0,11.9,-1.9
1982/12/30,3.6,6.6,1.6
1982/12/31,1.0,3.2,-0.7
1983/1/1,1.6,3.8,-0.3
1983/1/2,1.5,5.2,-1.7
1983/1/3,1.4,5.5,-3.5
1983/1/4,2.9,7.7,-1.4
1983/1/5,1.4,5.6,-3.5
1983/1/6,4.6,9.4,-0.6
1983/1/7,2.6,8.6,-2.8
1983/1/8,6.2,12.7,1.8
1983/1/9,1.2,3.3,0.0
1983/1/10,-1.6,0.5,-3.4
1983/1/11,-1.0,1.2,-3.8
1983/1/12,0.9,4.0,-4.3
1983/1/13,1.9,4.0,-0.3
1983/1/14,0.3,2.9,-2.0
1983/1/15,1.3,3.7,-0.5
1983/1/16,0.9,4.8,-1.7
1983/1/17,2.2,6.2,-2.0
1983/1/18,0.0,0.5,-1.2
1983/1/19,1.2,4.3,-2.3
1983/1/20,-0.8,2.8,-2.6
1983/1/21,-1.7,3.1,-4.6
1983/1/22,-3.5,-0.2,-6.3
1983/1/23,-1.9,3.0,-7.2
1983/1/24,1.2,5.7,-4.9
1983/1/25,3.3,9.1,-2.9
1983/1/26,4.6,7.0,1.9
1983/1/27,4.6,8.1,1.2
1983/1/28,5.1,11.5,-0.2
1983/1/29,7.1,14.0,-1.3
1983/1/30,4.1,8.1,1.0
1983/1/31,1.1,3.2,-1.2
1983/2/1,2.0,7.9,-3.8
1983/2/2,0.9,2.8,0.4
1983/2/3,1.9,5.1,-0.4
1983/2/4,0.8,4.2,-2.4
1983/2/5,1.8,9.0,-4.2
1983/2/6,2.1,5.2,-0.9
1983/2/7,1.5,5.0,-0.3
1983/2/8,0.3,4.8,-2.7
1983/2/9,0.4,4.3,-2.4
1983/2/10,-1.0,2.2,-2.8
1983/2/11,-0.8,2.9,-4.1
1983/2/12,-1.8,3.0,-4.3
1983/2/13,-4.5,-1.2,-7.3
1983/2/14,-1.9,1.5,-4.2
1983/2/15,1.2,8.1,-5.0
1983/2/16,2.0,4.8,-0.4
1983/2/17,-0.2,0.6,-2.1
1983/2/18,1.1,2.3,0.3
1983/2/19,2.4,4.5,0.9
1983/2/20,1.2,5.0,-1.9
1983/2/21,-0.4,3.2,-2.2
1983/2/22,0.1,3.9,-3.0
1983/2/23,1.4,7.2,-4.4
1983/2/24,0.4,2.6,-1.3
1983/2/25,0.4,5.6,-3.8
1983/2/26,-0.3,4.1,-2.8
1983/2/27,0.9,3.3,-2.9
1983/2/28,5.0,8.9,0.2
1983/3/1,7.2,11.3,3.3
1983/3/2,1.1,4.5,0.2
1983/3/3,5.3,9.2,0.9
1983/3/4,3.4,10.8,0.8
1983/3/5,2.0,5.9,-1.2
1983/3/6,2.2,9.6,-3.4
1983/3/7,1.5,6.0,-1.3
1983/3/8,1.5,5.0,-0.9
1983/3/9,2.8,8.0,-1.2
1983/3/10,0.1,2.2,-2.3
1983/3/11,6.1,11.5,0.7
1983/3/12,5.6,12.6,-2.0
1983/3/13,2.9,5.6,0.3
1983/3/14,1.9,3.8,0.3
1983/3/15,3.4,8.0,-2.0
1983/3/16,4.5,12.4,-2.1
1983/3/17,4.4,9.2,2.3
1983/3/18,1.8,5.3,-1.4
1983/3/19,3.4,8.0,0.1
1983/3/20,5.1,15.1,-2.7
1983/3/21,4.8,9.9,0.0
1983/3/22,9.7,15.4,4.6
1983/3/23,9.2,17.0,2.5
1983/3/24,6.9,8.4,5.1
1983/3/25,6.5,11.5,2.3
1983/3/26,5.5,10.4,0.9
1983/3/27,6.0,9.1,2.1
1983/3/28,7.7,14.3,3.8
1983/3/29,6.8,13.4,0.5
1983/3/30,6.6,11.7,3.0
1983/3/31,6.4,13.4,0.1
