ダウンロードした時刻：2019/10/10 15:41:07

,福島,福島,福島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2013/12/1,7.1,12.0,4.0
2013/12/2,6.8,13.7,2.5
2013/12/3,6.6,12.6,1.3
2013/12/4,7.0,12.4,3.3
2013/12/5,6.3,13.4,1.1
2013/12/6,8.5,12.3,6.2
2013/12/7,5.0,7.5,3.3
2013/12/8,4.3,7.1,0.8
2013/12/9,5.0,10.8,-0.8
2013/12/10,6.8,13.4,3.7
2013/12/11,7.9,10.7,5.3
2013/12/12,3.7,6.7,0.8
2013/12/13,4.1,10.4,-1.0
2013/12/14,1.8,5.4,-0.9
2013/12/15,0.9,3.1,-0.5
2013/12/16,4.0,6.7,-0.1
2013/12/17,5.6,8.8,1.8
2013/12/18,2.5,5.3,-0.7
2013/12/19,4.1,5.8,2.8
2013/12/20,2.7,5.3,0.4
2013/12/21,1.9,4.2,0.2
2013/12/22,2.5,4.7,0.4
2013/12/23,3.8,6.3,1.6
2013/12/24,2.1,5.3,0.3
2013/12/25,2.7,7.4,-0.4
2013/12/26,2.2,7.4,-2.1
2013/12/27,3.9,5.6,0.9
2013/12/28,1.0,5.1,-1.7
2013/12/29,1.8,5.1,-1.5
2013/12/30,4.8,9.0,0.8
2013/12/31,4.8,7.1,3.4
2014/1/1,5.0,10.2,0.3
2014/1/2,2.1,4.3,0.3
2014/1/3,2.8,8.2,-3.2
2014/1/4,3.0,4.9,0.3
2014/1/5,1.6,5.0,-0.7
2014/1/6,0.5,3.9,-4.1
2014/1/7,2.1,8.1,-2.6
2014/1/8,3.3,7.9,-1.7
2014/1/9,2.4,6.2,-1.9
2014/1/10,-1.5,1.0,-3.2
2014/1/11,0.1,2.5,-2.9
2014/1/12,1.8,7.8,-2.7
2014/1/13,-0.6,1.8,-2.3
2014/1/14,-0.6,2.8,-3.5
2014/1/15,-0.4,5.2,-5.1
2014/1/16,1.6,4.7,-2.0
2014/1/17,1.3,4.3,-1.3
2014/1/18,0.9,6.1,-3.5
2014/1/19,0.3,2.7,-1.1
2014/1/20,1.4,6.8,-4.4
2014/1/21,2.0,7.7,-2.2
2014/1/22,1.4,4.3,-0.6
2014/1/23,1.0,4.8,-2.3
2014/1/24,0.8,9.6,-5.3
2014/1/25,5.8,14.2,-0.8
2014/1/26,3.9,8.3,-2.3
2014/1/27,-0.4,3.9,-3.5
2014/1/28,2.2,12.0,-5.5
2014/1/29,1.8,5.6,-1.3
2014/1/30,4.5,10.3,-2.2
2014/1/31,2.2,10.2,0.2
2014/2/1,3.0,8.3,-1.9
2014/2/2,5.0,10.1,1.9
2014/2/3,9.4,17.4,3.3
2014/2/4,1.0,6.0,-2.8
2014/2/5,-3.9,-1.7,-6.0
2014/2/6,-1.5,1.0,-4.1
2014/2/7,-0.8,1.4,-3.1
2014/2/8,-3.0,-1.0,-4.7
2014/2/9,1.4,5.0,-1.1
2014/2/10,0.2,3.8,-3.3
2014/2/11,0.4,4.0,-3.5
2014/2/12,0.4,4.6,-4.8
2014/2/13,1.5,4.7,-2.4
2014/2/14,-1.3,2.5,-4.8
2014/2/15,1.0,4.0,-1.9
2014/2/16,3.5,6.3,-0.4
2014/2/17,1.8,4.5,0.5
2014/2/18,0.1,2.3,-1.4
2014/2/19,0.5,3.2,-1.6
2014/2/20,0.6,5.4,-3.7
2014/2/21,-0.1,3.1,-3.2
2014/2/22,0.0,3.6,-3.5
2014/2/23,0.1,5.6,-4.8
2014/2/24,1.0,7.3,-4.7
2014/2/25,2.9,8.0,-3.9
2014/2/26,5.9,11.2,0.6
2014/2/27,4.7,9.2,-0.7
2014/2/28,7.7,11.5,3.8
2014/3/1,4.9,8.6,2.7
2014/3/2,2.7,4.3,0.9
2014/3/3,2.6,6.4,0.6
2014/3/4,4.4,10.0,-0.9
2014/3/5,4.4,7.0,2.3
2014/3/6,0.1,5.0,-2.9
2014/3/7,-0.4,3.7,-3.4
2014/3/8,0.7,4.4,-3.1
2014/3/9,3.8,9.4,-1.1
2014/3/10,0.6,4.2,-1.3
2014/3/11,2.8,7.0,-1.0
2014/3/12,5.3,9.8,2.0
2014/3/13,3.8,4.9,1.6
2014/3/14,5.3,8.8,2.8
2014/3/15,4.2,8.2,0.1
2014/3/16,5.4,12.4,-0.7
2014/3/17,7.4,13.2,2.1
2014/3/18,7.9,14.4,2.1
2014/3/19,7.3,11.2,5.3
2014/3/20,3.6,6.4,0.6
2014/3/21,4.3,8.5,1.5
2014/3/22,6.0,10.2,2.6
2014/3/23,7.3,12.0,3.5
2014/3/24,9.9,17.3,1.4
2014/3/25,14.2,19.5,8.0
2014/3/26,12.8,18.8,8.3
2014/3/27,11.0,15.7,7.8
2014/3/28,12.5,20.8,5.4
2014/3/29,12.8,23.0,5.8
2014/3/30,9.2,12.0,7.1
2014/3/31,9.7,12.9,7.3
