ダウンロードした時刻：2019/10/10 16:03:44

,松江,松江,松江
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2003/12/1,12.7,14.0,11.6
2003/12/2,12.1,15.8,9.0
2003/12/3,9.5,15.5,5.7
2003/12/4,9.0,13.9,5.2
2003/12/5,9.6,15.7,4.8
2003/12/6,12.3,18.3,9.8
2003/12/7,7.4,11.9,5.5
2003/12/8,7.1,9.3,5.1
2003/12/9,8.4,11.2,6.1
2003/12/10,7.0,12.3,2.7
2003/12/11,7.1,8.6,4.6
2003/12/12,6.5,8.8,3.4
2003/12/13,4.6,8.0,3.3
2003/12/14,6.2,9.4,3.5
2003/12/15,6.5,9.5,3.1
2003/12/16,5.9,9.0,3.7
2003/12/17,7.2,11.6,4.1
2003/12/18,6.2,7.4,4.7
2003/12/19,3.2,7.5,-0.1
2003/12/20,1.9,3.9,0.1
2003/12/21,3.9,7.3,1.2
2003/12/22,8.3,11.8,5.5
2003/12/23,9.6,14.3,4.8
2003/12/24,9.7,12.1,5.4
2003/12/25,9.6,17.1,2.3
2003/12/26,6.5,10.3,2.2
2003/12/27,2.6,6.2,0.3
2003/12/28,5.4,11.5,0.7
2003/12/29,7.7,11.5,2.6
2003/12/30,9.1,12.7,6.8
2003/12/31,7.4,8.4,6.7
2004/1/1,7.8,10.9,4.7
2004/1/2,6.1,9.8,3.1
2004/1/3,7.6,11.1,4.3
2004/1/4,7.4,12.4,4.6
2004/1/5,5.7,11.5,2.1
2004/1/6,5.7,10.8,2.0
2004/1/7,6.7,11.8,1.9
2004/1/8,4.5,6.8,1.6
2004/1/9,3.3,8.3,-1.5
2004/1/10,5.6,10.2,-0.1
2004/1/11,4.5,5.7,3.3
2004/1/12,5.8,9.2,1.9
2004/1/13,3.1,6.7,0.2
2004/1/14,2.6,4.4,0.9
2004/1/15,2.8,7.6,0.9
2004/1/16,3.3,4.2,2.0
2004/1/17,4.0,8.4,1.8
2004/1/18,5.7,11.0,0.6
2004/1/19,4.7,6.9,3.6
2004/1/20,4.5,8.6,2.0
2004/1/21,0.3,3.4,-2.7
2004/1/22,-2.7,0.9,-5.4
2004/1/23,1.6,3.6,-0.1
2004/1/24,2.2,5.8,0.3
2004/1/25,1.1,3.6,0.0
2004/1/26,1.9,5.4,0.0
2004/1/27,2.4,6.2,0.6
2004/1/28,4.0,9.4,-1.7
2004/1/29,5.0,10.4,1.0
2004/1/30,6.1,10.9,1.9
2004/1/31,5.5,10.3,1.6
2004/2/1,5.5,13.3,-0.8
2004/2/2,6.3,8.2,4.9
2004/2/3,4.5,7.2,2.8
2004/2/4,2.8,6.2,0.1
2004/2/5,1.2,3.1,-0.2
2004/2/6,1.4,4.6,-0.6
2004/2/7,1.7,4.7,-0.4
2004/2/8,4.9,8.2,2.0
2004/2/9,4.2,7.9,1.2
2004/2/10,4.0,9.5,-1.0
2004/2/11,6.1,12.5,0.3
2004/2/12,5.7,11.9,2.1
2004/2/13,4.9,12.8,-0.6
2004/2/14,7.6,13.1,2.2
2004/2/15,7.2,10.1,4.6
2004/2/16,5.2,10.0,0.9
2004/2/17,6.0,13.2,-0.4
2004/2/18,6.3,14.3,0.0
2004/2/19,7.5,17.9,-0.4
2004/2/20,8.0,16.9,1.5
2004/2/21,12.1,22.6,3.2
2004/2/22,15.9,24.2,8.3
2004/2/23,5.8,8.4,1.6
2004/2/24,6.8,13.6,-0.6
2004/2/25,11.3,15.5,7.6
2004/2/26,8.1,12.2,5.4
2004/2/27,5.6,10.0,2.3
2004/2/28,7.6,15.4,-0.6
2004/2/29,10.3,13.1,7.1
2004/3/1,6.2,8.3,3.4
2004/3/2,4.8,8.8,1.5
2004/3/3,3.1,7.1,-0.8
2004/3/4,1.4,3.6,-1.0
2004/3/5,3.8,10.4,-2.7
2004/3/6,2.8,6.8,-0.3
2004/3/7,1.2,4.9,-0.3
2004/3/8,4.0,8.4,-0.8
2004/3/9,8.9,13.6,4.6
2004/3/10,13.1,20.9,2.4
2004/3/11,12.0,17.8,6.0
2004/3/12,7.5,12.8,3.2
2004/3/13,7.4,15.4,1.1
2004/3/14,8.7,17.5,1.0
2004/3/15,8.7,14.8,3.8
2004/3/16,12.2,22.3,2.9
2004/3/17,16.6,23.4,9.4
2004/3/18,7.1,9.9,4.7
2004/3/19,6.6,12.9,1.4
2004/3/20,7.3,14.3,3.5
2004/3/21,8.0,13.4,2.8
2004/3/22,6.7,9.5,4.9
2004/3/23,8.7,13.4,3.7
2004/3/24,10.3,18.0,4.1
2004/3/25,9.1,11.7,6.0
2004/3/26,8.5,13.7,3.7
2004/3/27,7.9,14.3,1.5
2004/3/28,10.9,22.0,2.7
2004/3/29,14.2,24.5,4.6
2004/3/30,13.2,14.6,10.7
2004/3/31,11.1,15.3,5.4
