ダウンロードした時刻：2017/07/24 15:46:59

,大分,大分,大分
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1999/1/1,7.1,10.8,1.9
1999/1/2,8.1,13.4,2.6
1999/1/3,8.7,13.1,4.4
1999/1/4,7.5,13.2,2.2
1999/1/5,7.1,13.5,1.4
1999/1/6,8.6,15.3,2.6
1999/1/7,8.0,11.2,3.4
1999/1/8,2.5,3.8,0.5
1999/1/9,2.2,4.4,0.7
1999/1/10,4.7,8.8,0.5
1999/1/11,5.8,9.3,3.5
1999/1/12,5.7,9.3,3.0
1999/1/13,6.4,11.2,1.7
1999/1/14,7.0,12.8,0.5
1999/1/15,5.9,8.0,2.4
1999/1/16,5.8,10.3,1.1
1999/1/17,5.0,9.4,1.6
1999/1/18,6.4,13.1,0.0
1999/1/19,9.9,18.4,5.8
1999/1/20,8.0,13.9,2.7
1999/1/21,5.6,9.0,0.6
1999/1/22,4.5,12.6,-2.2
1999/1/23,7.3,13.9,0.8
1999/1/24,8.2,10.9,4.6
1999/1/25,8.4,15.0,3.2
1999/1/26,8.8,12.8,3.3
1999/1/27,6.3,12.2,0.4
1999/1/28,8.1,14.9,2.8
1999/1/29,6.5,12.6,1.8
1999/1/30,5.4,11.0,-0.4
1999/1/31,6.3,11.1,1.6
1999/2/1,7.1,10.3,4.1
1999/2/2,7.1,11.6,2.5
1999/2/3,1.4,4.2,-1.0
1999/2/4,2.4,6.4,-1.3
1999/2/5,5.6,9.0,2.6
1999/2/6,5.3,10.7,0.7
1999/2/7,7.4,14.9,0.2
1999/2/8,8.2,15.3,2.0
1999/2/9,7.9,15.3,1.7
1999/2/10,10.2,14.0,4.6
1999/2/11,7.5,10.2,5.6
1999/2/12,5.0,9.0,2.2
1999/2/13,3.7,8.2,0.3
1999/2/14,4.3,10.4,-1.8
1999/2/15,5.2,11.3,0.8
1999/2/16,6.6,13.4,-0.3
1999/2/17,8.5,15.1,1.5
1999/2/18,10.4,12.4,7.9
1999/2/19,7.0,10.6,3.0
1999/2/20,5.4,10.3,1.3
1999/2/21,4.7,9.1,1.6
1999/2/22,5.2,12.6,-1.6
1999/2/23,8.0,13.4,2.4
1999/2/24,9.4,14.7,5.8
1999/2/25,11.2,15.0,6.6
1999/2/26,9.1,12.1,4.4
1999/2/27,10.1,14.3,5.8
1999/2/28,7.5,12.2,3.2
1999/3/1,9.3,17.6,3.4
1999/3/2,11.0,18.9,4.2
1999/3/3,11.8,16.9,8.0
1999/3/4,9.1,11.2,5.9
1999/3/5,15.8,25.4,9.8
1999/3/6,12.1,15.6,8.3
1999/3/7,9.9,11.5,8.2
1999/3/8,10.5,13.7,8.1
1999/3/9,8.1,9.6,6.1
1999/3/10,8.2,11.3,4.2
1999/3/11,9.6,14.1,7.4
1999/3/12,8.0,10.6,4.2
1999/3/13,9.4,12.3,5.8
1999/3/14,11.8,13.1,9.8
1999/3/15,14.5,22.2,11.4
1999/3/16,13.1,18.6,8.6
1999/3/17,11.7,18.5,5.2
1999/3/18,16.4,21.5,11.1
1999/3/19,14.6,18.7,9.8
1999/3/20,8.1,9.9,5.1
1999/3/21,9.5,11.6,7.8
1999/3/22,6.6,10.2,2.7
1999/3/23,6.0,11.2,0.0
1999/3/24,8.8,13.2,3.4
1999/3/25,12.1,13.6,10.9
1999/3/26,13.3,16.7,11.0
1999/3/27,11.9,14.5,8.8
1999/3/28,10.4,15.4,4.2
1999/3/29,8.5,11.2,5.7
1999/3/30,7.4,8.7,5.6
1999/3/31,11.0,16.7,7.5
1999/4/1,15.5,24.4,5.4
1999/4/2,14.2,19.0,10.3
1999/4/3,11.4,15.1,8.5
1999/4/4,11.1,15.9,7.6
1999/4/5,10.7,16.8,5.6
1999/4/6,13.5,21.2,6.3
1999/4/7,11.0,15.5,7.4
1999/4/8,9.7,15.3,3.4
1999/4/9,11.5,15.1,6.8
1999/4/10,16.0,20.1,14.2
1999/4/11,15.8,20.2,12.1
1999/4/12,15.7,20.2,11.0
1999/4/13,15.4,19.6,11.6
1999/4/14,13.7,20.9,8.4
1999/4/15,11.9,18.8,5.4
1999/4/16,15.0,21.3,9.7
1999/4/17,14.4,19.1,12.2
1999/4/18,13.1,13.6,12.3
1999/4/19,13.7,14.6,13.1
1999/4/20,17.0,22.1,13.5
1999/4/21,16.2,20.9,10.9
1999/4/22,16.1,17.5,14.1
1999/4/23,16.1,17.6,14.3
1999/4/24,17.0,22.5,14.3
1999/4/25,16.8,21.3,14.0
1999/4/26,17.7,22.8,12.3
1999/4/27,18.4,26.7,11.1
1999/4/28,15.5,19.1,12.4
1999/4/29,14.6,19.4,10.3
1999/4/30,13.7,20.3,6.9
1999/5/1,15.3,23.0,8.1
