ダウンロードした時刻：2019/10/10 16:20:28

,長崎,長崎,長崎
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1988/12/1,8.8,14.5,3.8
1988/12/2,10.7,15.6,6.4
1988/12/3,10.5,14.6,8.2
1988/12/4,10.3,14.2,6.8
1988/12/5,6.2,10.6,3.7
1988/12/6,7.2,12.8,2.6
1988/12/7,11.8,15.8,7.7
1988/12/8,15.2,19.8,11.2
1988/12/9,9.2,15.2,7.3
1988/12/10,7.6,9.3,6.0
1988/12/11,7.1,8.5,4.5
1988/12/12,9.1,14.2,4.1
1988/12/13,10.5,16.2,6.3
1988/12/14,9.5,13.7,7.3
1988/12/15,5.9,7.4,2.9
1988/12/16,3.0,6.7,0.9
1988/12/17,5.8,9.3,1.7
1988/12/18,8.7,12.2,5.8
1988/12/19,12.0,16.6,8.6
1988/12/20,10.4,14.8,7.0
1988/12/21,9.9,13.5,5.6
1988/12/22,7.6,13.8,3.2
1988/12/23,8.4,14.4,3.8
1988/12/24,10.8,15.4,5.6
1988/12/25,8.2,11.8,4.7
1988/12/26,7.0,11.7,2.5
1988/12/27,7.6,10.5,4.0
1988/12/28,7.6,10.4,3.7
1988/12/29,8.1,12.5,3.6
1988/12/30,9.5,13.7,6.0
1988/12/31,10.4,13.2,7.9
1989/1/1,7.3,9.8,3.8
1989/1/2,7.4,12.5,1.3
1989/1/3,8.8,11.3,5.1
1989/1/4,7.8,12.4,3.1
1989/1/5,8.3,13.4,4.9
1989/1/6,10.1,14.1,4.9
1989/1/7,15.7,18.6,11.8
1989/1/8,15.9,17.8,13.3
1989/1/9,13.6,17.0,10.7
1989/1/10,12.6,17.6,8.9
1989/1/11,14.0,17.1,10.6
1989/1/12,11.1,13.7,8.6
1989/1/13,8.2,9.5,7.4
1989/1/14,7.4,8.7,6.1
1989/1/15,7.1,10.2,3.7
1989/1/16,8.1,12.1,4.1
1989/1/17,9.1,15.1,4.7
1989/1/18,14.0,18.4,8.4
1989/1/19,16.7,19.3,14.4
1989/1/20,11.9,15.4,9.7
1989/1/21,10.3,13.7,7.0
1989/1/22,9.1,10.3,8.1
1989/1/23,10.1,12.4,8.3
1989/1/24,7.7,10.4,4.0
1989/1/25,7.5,11.6,3.4
1989/1/26,9.5,13.1,7.0
1989/1/27,3.7,9.6,1.6
1989/1/28,2.7,5.6,1.4
1989/1/29,5.3,9.8,1.3
1989/1/30,7.2,12.3,1.6
1989/1/31,9.8,12.5,7.6
1989/2/1,6.6,9.6,4.8
1989/2/2,3.7,5.7,2.3
1989/2/3,4.0,8.2,-0.1
1989/2/4,6.7,11.5,2.2
1989/2/5,8.1,13.5,3.0
1989/2/6,10.4,14.8,7.5
1989/2/7,10.7,15.3,7.0
1989/2/8,10.2,12.6,7.8
1989/2/9,8.7,10.5,7.9
1989/2/10,5.3,8.9,3.3
1989/2/11,6.4,9.5,3.2
1989/2/12,7.1,11.2,4.0
1989/2/13,6.7,10.3,4.4
1989/2/14,8.3,13.5,3.8
1989/2/15,11.5,14.5,7.0
1989/2/16,15.9,18.1,12.7
1989/2/17,12.2,15.4,10.7
1989/2/18,10.4,12.7,8.0
1989/2/19,8.7,12.5,5.7
1989/2/20,9.8,14.9,4.2
1989/2/21,8.4,10.1,7.7
1989/2/22,9.2,13.2,4.9
1989/2/23,11.1,13.0,9.1
1989/2/24,11.9,13.2,10.4
1989/2/25,10.9,13.9,7.7
1989/2/26,8.8,12.0,5.6
1989/2/27,10.2,16.1,3.0
1989/2/28,15.8,20.2,12.3
1989/3/1,13.1,16.2,10.2
1989/3/2,11.5,14.2,9.3
1989/3/3,17.6,23.1,10.9
1989/3/4,12.1,19.3,9.2
1989/3/5,8.0,9.5,7.0
1989/3/6,6.5,8.4,5.5
1989/3/7,4.5,6.3,1.6
1989/3/8,4.6,7.2,1.7
1989/3/9,6.0,10.8,2.1
1989/3/10,7.1,12.6,2.0
1989/3/11,9.1,13.8,3.9
1989/3/12,12.3,16.6,5.9
1989/3/13,14.0,16.6,11.6
1989/3/14,12.5,16.1,9.2
1989/3/15,10.7,14.8,7.7
1989/3/16,11.2,15.0,5.9
1989/3/17,9.6,12.5,6.6
1989/3/18,10.3,15.5,5.8
1989/3/19,11.6,15.6,9.4
1989/3/20,11.2,16.8,7.9
1989/3/21,10.6,15.8,5.7
1989/3/22,10.6,15.4,6.9
1989/3/23,12.1,16.4,8.3
1989/3/24,12.7,14.6,11.5
1989/3/25,11.3,13.7,9.3
1989/3/26,10.5,13.2,7.5
1989/3/27,11.0,15.3,8.8
1989/3/28,9.8,13.7,6.5
1989/3/29,11.1,15.0,6.0
1989/3/30,13.6,17.7,7.5
1989/3/31,14.9,18.7,11.8
