ダウンロードした時刻：2019/10/10 16:18:05

,徳島,徳島,徳島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1981/12/1,9.0,15.5,3.3
1981/12/2,4.2,6.9,2.7
1981/12/3,6.0,9.8,2.6
1981/12/4,6.1,11.6,2.4
1981/12/5,7.9,14.4,1.5
1981/12/6,8.9,13.2,5.4
1981/12/7,9.1,13.0,5.4
1981/12/8,8.5,12.9,5.9
1981/12/9,9.2,12.1,5.8
1981/12/10,8.0,12.2,3.8
1981/12/11,6.6,11.0,0.7
1981/12/12,10.6,14.8,5.0
1981/12/13,8.2,11.0,6.0
1981/12/14,4.9,7.9,2.9
1981/12/15,4.2,7.1,2.1
1981/12/16,6.1,11.1,2.1
1981/12/17,6.7,11.3,3.3
1981/12/18,7.1,11.2,2.8
1981/12/19,7.5,8.8,5.8
1981/12/20,7.1,10.1,3.5
1981/12/21,8.7,14.2,4.5
1981/12/22,7.7,13.4,3.6
1981/12/23,9.6,14.6,3.8
1981/12/24,7.8,10.6,5.2
1981/12/25,5.1,9.5,0.6
1981/12/26,6.5,12.4,0.3
1981/12/27,9.1,14.9,3.6
1981/12/28,9.6,14.6,5.2
1981/12/29,11.4,13.7,7.2
1981/12/30,8.2,11.7,6.3
1981/12/31,7.4,10.9,4.8
1982/1/1,7.7,11.1,4.0
1982/1/2,6.8,10.6,3.3
1982/1/3,5.7,10.4,0.2
1982/1/4,11.4,15.6,4.4
1982/1/5,9.3,12.8,6.1
1982/1/6,6.1,9.4,3.2
1982/1/7,4.7,7.3,1.8
1982/1/8,2.8,7.4,0.2
1982/1/9,6.2,10.6,-0.4
1982/1/10,6.3,10.9,2.2
1982/1/11,8.1,13.0,0.5
1982/1/12,10.8,17.2,7.2
1982/1/13,5.0,8.3,2.0
1982/1/14,4.4,8.5,1.0
1982/1/15,4.5,9.8,0.4
1982/1/16,3.2,7.8,0.9
1982/1/17,1.7,6.2,-1.3
1982/1/18,3.4,11.5,-2.2
1982/1/19,1.9,4.2,-0.3
1982/1/20,3.5,6.8,0.8
1982/1/21,5.7,11.0,-0.4
1982/1/22,8.4,12.9,3.3
1982/1/23,7.7,10.9,4.9
1982/1/24,5.5,7.9,1.9
1982/1/25,6.9,9.6,4.9
1982/1/26,5.4,9.7,2.4
1982/1/27,6.6,10.8,2.4
1982/1/28,2.5,4.5,-0.2
1982/1/29,0.4,3.2,-1.7
1982/1/30,2.3,5.8,-1.0
1982/1/31,3.4,7.0,-0.8
1982/2/1,5.2,8.6,1.9
1982/2/2,3.2,6.9,-0.2
1982/2/3,4.2,8.9,-1.7
1982/2/4,5.0,6.0,3.9
1982/2/5,4.4,7.1,2.8
1982/2/6,4.3,8.5,1.4
1982/2/7,2.5,5.6,0.0
1982/2/8,3.6,7.4,1.7
1982/2/9,4.4,8.7,0.2
1982/2/10,5.3,8.5,2.6
1982/2/11,5.0,10.4,-0.8
1982/2/12,7.0,10.5,4.5
1982/2/13,6.8,10.6,2.9
1982/2/14,4.3,8.5,1.7
1982/2/15,3.9,8.7,0.3
1982/2/16,5.3,10.9,-1.7
1982/2/17,4.1,7.1,2.2
1982/2/18,7.9,12.0,3.1
1982/2/19,10.6,15.3,4.7
1982/2/20,12.7,16.1,10.6
1982/2/21,9.5,10.8,7.3
1982/2/22,8.2,12.0,5.1
1982/2/23,8.1,11.5,5.1
1982/2/24,5.3,7.2,4.0
1982/2/25,5.3,9.7,1.9
1982/2/26,4.8,8.5,1.4
1982/2/27,4.5,9.1,-1.0
1982/2/28,6.6,10.0,2.3
1982/3/1,6.8,9.9,4.3
1982/3/2,6.1,9.3,3.4
1982/3/3,5.8,10.3,2.8
1982/3/4,8.6,14.9,0.3
1982/3/5,14.3,17.7,9.4
1982/3/6,10.5,15.1,6.7
1982/3/7,6.2,9.2,3.9
1982/3/8,6.4,9.5,3.3
1982/3/9,7.3,13.8,1.7
1982/3/10,8.1,13.6,3.1
1982/3/11,9.4,14.8,3.6
1982/3/12,8.7,11.6,4.6
1982/3/13,11.7,16.6,8.5
1982/3/14,11.8,16.1,6.1
1982/3/15,14.6,17.3,12.9
1982/3/16,16.2,21.5,13.0
1982/3/17,11.4,14.3,9.2
1982/3/18,10.3,15.0,6.8
1982/3/19,8.2,10.3,5.4
1982/3/20,11.2,15.4,7.4
1982/3/21,12.7,16.0,9.5
1982/3/22,11.4,18.5,6.1
1982/3/23,13.9,18.4,7.9
1982/3/24,9.5,13.9,5.3
1982/3/25,6.0,9.6,4.1
1982/3/26,6.4,10.6,2.0
1982/3/27,7.3,12.0,3.6
1982/3/28,8.7,14.6,2.7
1982/3/29,9.3,15.0,2.7
1982/3/30,13.6,21.4,5.1
1982/3/31,13.0,16.5,9.4
