É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2017/07/24 15:40:18

,åFíJ,åFíJ,åFíJ
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
1991/1/1,5.7,9.6,2.7
1991/1/2,6.5,10.8,2.1
1991/1/3,7.5,12.3,3.5
1991/1/4,4.7,11.9,-0.3
1991/1/5,5.1,10.3,1.1
1991/1/6,3.5,8.6,-0.1
1991/1/7,2.9,9.0,-2.1
1991/1/8,3.6,11.3,-1.1
1991/1/9,3.8,9.5,-1.8
1991/1/10,5.2,12.9,-1.6
1991/1/11,6.8,11.2,3.8
1991/1/12,2.8,5.1,1.0
1991/1/13,4.8,11.5,0.5
1991/1/14,5.2,9.6,1.9
1991/1/15,3.2,9.6,-0.6
1991/1/16,3.5,10.6,-2.7
1991/1/17,4.7,9.1,0.2
1991/1/18,3.5,7.5,-1.3
1991/1/19,6.3,12.7,1.8
1991/1/20,4.7,11.8,-1.0
1991/1/21,2.8,7.1,-0.5
1991/1/22,5.6,10.4,2.2
1991/1/23,2.8,6.3,-0.1
1991/1/24,2.1,7.5,-4.2
1991/1/25,6.6,14.9,0.4
1991/1/26,5.3,9.8,2.2
1991/1/27,4.7,10.0,1.4
1991/1/28,2.7,7.3,-0.9
1991/1/29,3.5,9.8,-1.8
1991/1/30,3.9,8.8,-0.3
1991/1/31,4.7,10.9,-0.2
1991/2/1,4.6,11.8,-0.7
1991/2/2,3.4,9.0,-1.4
1991/2/3,3.4,9.6,-3.4
1991/2/4,4.7,12.0,-0.3
1991/2/5,3.1,8.6,-1.2
1991/2/6,4.5,11.0,-1.4
1991/2/7,5.2,10.8,0.5
1991/2/8,2.0,8.4,-2.2
1991/2/9,4.6,10.3,-0.4
1991/2/10,2.8,5.9,0.3
1991/2/11,9.3,14.8,0.6
1991/2/12,5.9,12.2,1.3
1991/2/13,5.7,10.3,2.6
1991/2/14,5.6,12.4,-1.7
1991/2/15,5.8,10.4,4.3
1991/2/16,9.1,12.7,5.2
1991/2/17,4.3,7.0,1.0
1991/2/18,3.0,6.8,-0.2
1991/2/19,2.9,9.5,-1.1
1991/2/20,2.5,7.1,-1.7
1991/2/21,3.5,10.1,-2.8
1991/2/22,4.1,9.5,-1.1
1991/2/23,2.6,6.8,-1.3
1991/2/24,1.1,7.7,-4.3
1991/2/25,2.2,8.5,-3.5
1991/2/26,5.3,12.7,-2.6
1991/2/27,6.4,13.7,-0.5
1991/2/28,9.7,18.0,1.9
1991/3/1,6.3,8.6,4.3
1991/3/2,5.5,9.8,2.4
1991/3/3,5.7,11.0,1.3
1991/3/4,5.7,12.8,-2.4
1991/3/5,10.2,18.6,3.9
1991/3/6,11.1,18.4,4.8
1991/3/7,10.3,15.9,5.6
1991/3/8,4.0,5.9,2.3
1991/3/9,7.8,13.7,2.2
1991/3/10,10.1,15.2,5.9
1991/3/11,3.7,8.6,1.1
1991/3/12,7.7,13.8,3.7
1991/3/13,8.1,13.7,3.4
1991/3/14,4.8,9.2,0.2
1991/3/15,4.4,9.5,-0.2
1991/3/16,4.3,7.1,2.5
1991/3/17,7.4,14.3,0.2
1991/3/18,8.2,13.7,4.0
1991/3/19,10.6,18.4,2.8
1991/3/20,13.3,21.2,4.3
1991/3/21,11.1,17.1,6.9
1991/3/22,6.0,8.3,3.9
1991/3/23,10.8,17.7,4.6
1991/3/24,15.5,20.8,11.4
1991/3/25,10.3,13.4,9.7
1991/3/26,13.2,20.1,6.5
1991/3/27,8.4,11.9,6.8
1991/3/28,8.9,11.6,7.0
1991/3/29,10.0,14.5,6.1
1991/3/30,10.6,14.0,7.7
1991/3/31,9.7,13.8,5.4
1991/4/1,5.4,5.8,4.4
1991/4/2,6.5,10.1,4.0
1991/4/3,9.3,15.4,4.5
1991/4/4,10.5,18.6,3.0
1991/4/5,12.7,19.9,6.5
1991/4/6,14.2,20.8,7.7
1991/4/7,13.4,15.3,12.1
1991/4/8,12.2,13.8,11.1
1991/4/9,17.3,25.3,11.1
1991/4/10,13.1,14.1,11.2
1991/4/11,16.4,19.8,13.0
1991/4/12,15.3,19.7,12.2
1991/4/13,13.5,14.8,12.0
1991/4/14,15.9,23.0,12.5
1991/4/15,14.2,17.5,11.6
1991/4/16,17.4,24.8,9.7
1991/4/17,17.9,25.1,13.0
1991/4/18,17.9,25.8,12.5
1991/4/19,14.3,20.6,9.8
1991/4/20,14.8,20.3,9.1
1991/4/21,15.3,20.9,11.8
1991/4/22,15.3,22.5,9.3
1991/4/23,15.8,22.0,10.2
1991/4/24,16.5,22.3,13.0
1991/4/25,12.5,14.1,10.9
1991/4/26,18.7,24.2,13.4
1991/4/27,17.3,23.5,13.1
1991/4/28,16.8,22.6,11.3
1991/4/29,15.8,20.6,12.6
1991/4/30,15.7,19.7,11.0
1991/5/1,13.8,18.4,8.7
