ダウンロードした時刻：2019/10/10 16:01:07

,館山,館山,館山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1981/12/1,8.2,12.5,5.1
1981/12/2,8.3,12.3,4.9
1981/12/3,4.9,11.1,-0.8
1981/12/4,6.8,13.7,-1.7
1981/12/5,12.0,16.5,4.5
1981/12/6,8.1,13.1,2.5
1981/12/7,8.9,13.5,3.4
1981/12/8,8.2,12.8,4.4
1981/12/9,6.1,13.2,0.6
1981/12/10,5.6,12.7,-0.8
1981/12/11,5.0,13.0,-1.2
1981/12/12,8.4,13.9,2.7
1981/12/13,8.9,12.6,5.0
1981/12/14,4.5,9.8,-1.8
1981/12/15,1.4,9.2,-3.2
1981/12/16,3.2,11.9,-3.6
1981/12/17,4.1,13.1,-1.3
1981/12/18,3.7,12.3,-2.1
1981/12/19,11.0,17.9,-0.5
1981/12/20,9.4,15.5,0.7
1981/12/21,5.3,13.3,-0.3
1981/12/22,9.7,14.9,0.8
1981/12/23,14.1,16.6,11.0
1981/12/24,9.6,14.1,2.4
1981/12/25,4.9,11.7,0.0
1981/12/26,4.8,12.4,-1.8
1981/12/27,10.2,15.2,2.0
1981/12/28,8.1,16.9,0.6
1981/12/29,12.2,17.3,2.7
1981/12/30,10.2,16.6,6.4
1981/12/31,6.2,8.3,3.9
1982/1/1,5.7,12.8,1.2
1982/1/2,4.8,12.4,-0.6
1982/1/3,4.1,11.0,-1.4
1982/1/4,11.3,16.1,3.7
1982/1/5,13.0,18.0,8.0
1982/1/6,6.4,9.4,3.7
1982/1/7,4.1,11.0,0.1
1982/1/8,3.6,8.3,-3.1
1982/1/9,7.8,12.5,-1.4
1982/1/10,7.4,12.8,1.6
1982/1/11,7.1,12.7,1.5
1982/1/12,11.9,17.4,1.0
1982/1/13,11.3,14.4,6.4
1982/1/14,6.1,10.2,0.7
1982/1/15,5.7,10.8,-0.1
1982/1/16,4.5,8.9,0.4
1982/1/17,3.0,7.9,-1.8
1982/1/18,5.8,10.5,-3.4
1982/1/19,6.9,9.5,3.7
1982/1/20,3.0,8.1,-1.5
1982/1/21,4.3,11.8,-3.2
1982/1/22,6.8,14.4,-1.8
1982/1/23,9.4,14.4,3.8
1982/1/24,7.9,12.6,-1.6
1982/1/25,6.5,12.2,-0.8
1982/1/26,5.3,9.9,-0.9
1982/1/27,4.9,10.0,0.8
1982/1/28,3.9,9.7,-1.1
1982/1/29,2.6,7.4,-0.5
1982/1/30,0.7,6.7,-5.3
1982/1/31,4.0,8.6,-3.7
1982/2/1,7.4,11.5,1.8
1982/2/2,2.9,8.6,-2.2
1982/2/3,3.6,9.5,-2.5
1982/2/4,5.4,11.6,-0.3
1982/2/5,3.6,6.6,1.6
1982/2/6,5.1,9.8,-2.8
1982/2/7,2.1,7.2,-2.7
1982/2/8,1.1,7.2,-3.8
1982/2/9,3.6,7.6,-4.4
1982/2/10,3.6,8.6,-2.6
1982/2/11,3.2,9.9,-4.4
1982/2/12,6.6,11.7,2.6
1982/2/13,6.6,10.1,4.8
1982/2/14,4.4,9.7,-0.8
1982/2/15,4.7,9.9,-0.2
1982/2/16,4.9,12.0,-2.1
1982/2/17,5.6,9.2,2.2
1982/2/18,6.5,12.2,2.8
1982/2/19,8.9,12.6,3.5
1982/2/20,12.7,17.0,9.2
1982/2/21,9.2,12.3,6.2
1982/2/22,7.6,13.0,2.3
1982/2/23,7.4,11.8,4.2
1982/2/24,3.9,7.4,2.3
1982/2/25,4.4,9.1,1.2
1982/2/26,3.7,8.6,-1.5
1982/2/27,5.3,10.1,-2.9
1982/2/28,7.9,14.0,-0.5
1982/3/1,7.1,9.2,6.1
1982/3/2,5.2,11.0,1.3
1982/3/3,4.9,10.9,-0.9
1982/3/4,8.7,13.5,-0.6
1982/3/5,15.0,17.0,10.6
1982/3/6,9.8,15.5,7.3
1982/3/7,6.8,10.8,3.7
1982/3/8,4.7,9.7,0.4
1982/3/9,5.4,12.4,-1.1
1982/3/10,8.4,13.8,0.0
1982/3/11,8.9,17.0,0.9
1982/3/12,10.2,15.5,2.5
1982/3/13,10.9,17.1,7.0
1982/3/14,9.4,13.4,6.4
1982/3/15,14.6,18.8,7.8
1982/3/16,16.5,21.5,13.2
1982/3/17,11.5,14.1,7.7
1982/3/18,9.0,13.0,5.1
1982/3/19,8.6,12.1,3.9
1982/3/20,11.3,12.7,9.3
1982/3/21,11.1,15.1,7.4
1982/3/22,10.8,18.9,2.9
1982/3/23,13.6,18.8,4.8
1982/3/24,14.5,19.8,7.8
1982/3/25,7.4,11.2,4.9
1982/3/26,7.5,11.7,3.5
1982/3/27,7.1,13.1,3.1
1982/3/28,8.0,13.7,3.2
1982/3/29,7.3,13.1,-0.8
1982/3/30,14.9,18.7,6.2
1982/3/31,15.6,17.8,9.6
