ダウンロードした時刻：2019/10/10 15:38:48

,山形,山形,山形
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1981/12/1,-0.6,0.2,-1.2
1981/12/2,0.4,3.0,-2.2
1981/12/3,-0.1,2.5,-2.3
1981/12/4,4.2,9.9,-2.9
1981/12/5,4.6,11.4,0.2
1981/12/6,2.2,6.9,-2.4
1981/12/7,2.0,4.5,-1.1
1981/12/8,2.8,6.4,1.0
1981/12/9,2.2,4.4,0.6
1981/12/10,1.5,4.4,0.1
1981/12/11,1.2,6.3,-3.0
1981/12/12,4.3,10.0,-1.0
1981/12/13,-1.2,3.1,-3.1
1981/12/14,-3.0,-1.6,-4.0
1981/12/15,-0.9,1.2,-4.7
1981/12/16,1.2,4.3,-0.8
1981/12/17,1.6,5.4,-1.7
1981/12/18,3.2,6.5,0.5
1981/12/19,1.0,4.1,-2.6
1981/12/20,1.9,4.3,0.4
1981/12/21,4.5,6.8,1.6
1981/12/22,5.5,11.4,-0.3
1981/12/23,8.2,12.5,5.4
1981/12/24,-0.3,6.2,-1.9
1981/12/25,0.1,4.3,-4.5
1981/12/26,3.1,8.5,-1.1
1981/12/27,4.4,10.0,1.0
1981/12/28,3.5,9.1,-0.1
1981/12/29,5.7,12.1,-0.5
1981/12/30,2.4,5.4,-0.1
1981/12/31,-0.2,2.0,-2.4
1982/1/1,1.6,6.2,-0.8
1982/1/2,-1.0,0.7,-2.2
1982/1/3,-1.1,3.7,-4.5
1982/1/4,0.6,5.6,-4.8
1982/1/5,3.0,7.7,1.1
1982/1/6,0.9,3.2,-0.7
1982/1/7,-2.3,1.1,-4.5
1982/1/8,-2.3,2.7,-6.1
1982/1/9,-0.5,2.8,-4.9
1982/1/10,-0.2,2.9,-4.2
1982/1/11,-2.5,2.8,-7.6
1982/1/12,0.1,3.1,-4.6
1982/1/13,1.6,6.6,-0.7
1982/1/14,-2.7,0.0,-4.1
1982/1/15,-2.3,0.2,-4.2
1982/1/16,-4.9,-2.0,-7.7
1982/1/17,-4.3,0.1,-7.3
1982/1/18,-3.2,0.5,-8.4
1982/1/19,-3.0,-0.6,-5.1
1982/1/20,-2.4,0.0,-6.1
1982/1/21,2.8,5.4,-0.6
1982/1/22,2.5,5.7,-1.2
1982/1/23,-0.7,2.6,-3.1
1982/1/24,0.2,4.6,-3.3
1982/1/25,0.0,3.4,-3.6
1982/1/26,0.2,2.3,-1.6
1982/1/27,-0.1,3.5,-2.6
1982/1/28,-1.1,1.9,-3.5
1982/1/29,-2.7,-1.4,-5.0
1982/1/30,-3.4,-1.0,-6.5
1982/1/31,-0.4,2.9,-4.5
1982/2/1,-2.0,0.4,-5.4
1982/2/2,-2.5,-0.3,-6.8
1982/2/3,1.3,5.1,-5.1
1982/2/4,-1.7,1.4,-5.1
1982/2/5,-4.1,-1.7,-5.6
1982/2/6,-3.9,-0.2,-7.2
1982/2/7,-5.4,-3.0,-7.2
1982/2/8,-4.8,-2.9,-8.6
1982/2/9,-4.1,-2.0,-6.8
1982/2/10,-2.7,-0.1,-4.6
1982/2/11,-0.9,2.4,-2.6
1982/2/12,-1.8,1.6,-5.0
1982/2/13,-2.8,1.9,-8.8
1982/2/14,-1.6,2.7,-4.6
1982/2/15,-1.6,1.1,-5.6
1982/2/16,-1.1,3.0,-6.0
1982/2/17,-1.9,1.6,-5.5
1982/2/18,0.9,5.0,-4.0
1982/2/19,1.9,5.5,-1.2
1982/2/20,3.1,5.9,1.1
1982/2/21,3.8,7.7,0.4
1982/2/22,2.0,5.8,-0.2
1982/2/23,0.1,3.8,-2.6
1982/2/24,-0.5,3.3,-3.9
1982/2/25,-2.3,1.2,-5.7
1982/2/26,-3.3,-0.7,-5.6
1982/2/27,1.4,6.0,-2.6
1982/2/28,3.0,8.9,-3.0
1982/3/1,0.9,2.3,0.2
1982/3/2,1.0,5.3,-1.5
1982/3/3,0.6,3.3,-2.6
1982/3/4,5.1,9.9,-2.0
1982/3/5,5.6,9.7,2.7
1982/3/6,2.1,6.5,-1.7
1982/3/7,-1.6,1.1,-2.9
1982/3/8,1.6,6.0,-2.7
1982/3/9,1.4,5.9,-1.6
1982/3/10,4.9,11.5,-3.6
1982/3/11,5.2,11.1,1.0
1982/3/12,5.9,13.2,-1.5
1982/3/13,5.3,12.4,0.2
1982/3/14,3.9,11.4,-2.9
1982/3/15,5.8,9.6,0.1
1982/3/16,9.5,14.7,3.0
1982/3/17,3.5,7.6,0.1
1982/3/18,1.7,6.4,-0.9
1982/3/19,3.6,8.8,-0.9
1982/3/20,1.3,3.2,-1.7
1982/3/21,4.2,6.7,2.3
1982/3/22,5.8,12.6,-0.5
1982/3/23,6.3,14.5,-2.0
1982/3/24,3.8,7.7,-1.3
1982/3/25,-0.1,2.2,-1.6
1982/3/26,0.1,3.5,-3.2
1982/3/27,0.4,4.5,-2.0
1982/3/28,1.8,7.1,-3.2
1982/3/29,4.0,11.1,-2.9
1982/3/30,7.1,19.2,-2.2
1982/3/31,6.0,7.4,3.1
