ダウンロードした時刻：2019/10/10 16:13:46

,潮岬,潮岬,潮岬
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1988/12/1,10.3,14.0,6.9
1988/12/2,11.2,14.8,8.7
1988/12/3,11.5,15.3,8.4
1988/12/4,12.8,15.1,11.7
1988/12/5,9.9,13.7,5.2
1988/12/6,8.4,12.6,5.3
1988/12/7,10.7,15.0,6.4
1988/12/8,11.7,16.3,7.6
1988/12/9,12.5,18.5,6.1
1988/12/10,7.0,9.3,5.2
1988/12/11,8.9,12.0,6.9
1988/12/12,9.5,14.0,6.3
1988/12/13,9.2,12.7,7.4
1988/12/14,12.3,16.4,6.7
1988/12/15,6.8,11.0,3.9
1988/12/16,4.3,5.7,3.0
1988/12/17,6.3,9.1,3.6
1988/12/18,7.9,11.7,3.2
1988/12/19,12.3,15.7,5.6
1988/12/20,12.8,16.0,9.3
1988/12/21,11.9,14.7,9.5
1988/12/22,8.6,12.3,5.6
1988/12/23,9.4,13.9,4.2
1988/12/24,12.0,15.1,8.4
1988/12/25,9.3,13.5,3.6
1988/12/26,6.7,11.2,2.3
1988/12/27,8.7,12.2,4.4
1988/12/28,7.9,11.1,4.0
1988/12/29,6.5,10.3,2.7
1988/12/30,8.5,14.2,4.6
1988/12/31,9.5,12.0,5.9
1989/1/1,9.4,14.9,4.7
1989/1/2,9.1,13.5,3.4
1989/1/3,10.7,14.4,8.2
1989/1/4,7.7,11.5,4.1
1989/1/5,6.0,9.8,1.6
1989/1/6,9.1,13.8,4.3
1989/1/7,12.7,16.0,9.5
1989/1/8,16.7,19.3,13.7
1989/1/9,12.4,14.2,10.0
1989/1/10,12.8,17.1,9.3
1989/1/11,12.2,14.1,11.3
1989/1/12,12.3,15.5,8.8
1989/1/13,8.8,12.5,5.6
1989/1/14,7.4,9.3,6.2
1989/1/15,7.1,8.8,5.7
1989/1/16,8.2,12.8,5.5
1989/1/17,9.6,13.4,5.4
1989/1/18,11.3,13.1,9.3
1989/1/19,16.6,19.9,12.1
1989/1/20,17.0,19.8,12.6
1989/1/21,11.2,15.4,7.2
1989/1/22,9.4,12.0,5.7
1989/1/23,11.5,13.3,9.5
1989/1/24,9.4,14.0,5.6
1989/1/25,8.2,12.1,4.0
1989/1/26,8.7,10.1,7.5
1989/1/27,7.5,11.8,2.9
1989/1/28,3.4,6.5,1.6
1989/1/29,4.9,9.4,0.7
1989/1/30,8.0,12.9,3.0
1989/1/31,11.3,15.0,7.6
1989/2/1,9.5,15.3,4.7
1989/2/2,5.1,8.1,3.2
1989/2/3,4.9,8.1,2.3
1989/2/4,5.3,9.8,1.8
1989/2/5,7.7,11.1,2.8
1989/2/6,9.8,13.4,5.6
1989/2/7,9.0,12.8,5.1
1989/2/8,12.0,15.4,9.4
1989/2/9,13.8,17.7,9.1
1989/2/10,8.0,10.5,4.7
1989/2/11,5.8,9.4,3.1
1989/2/12,8.0,12.2,4.4
1989/2/13,7.5,12.2,3.9
1989/2/14,7.8,12.5,2.4
1989/2/15,10.4,14.6,7.4
1989/2/16,16.5,18.7,10.0
1989/2/17,16.9,18.8,14.1
1989/2/18,12.5,14.9,9.7
1989/2/19,10.4,14.2,8.4
1989/2/20,11.7,15.6,8.4
1989/2/21,12.6,13.8,11.3
1989/2/22,11.6,15.7,8.1
1989/2/23,9.4,11.9,7.4
1989/2/24,11.1,12.0,9.7
1989/2/25,14.6,19.3,11.7
1989/2/26,10.0,18.1,4.7
1989/2/27,9.7,14.2,4.2
1989/2/28,15.7,19.3,10.2
1989/3/1,13.7,17.8,7.7
1989/3/2,11.2,13.3,7.3
1989/3/3,13.1,17.7,10.2
1989/3/4,17.3,19.7,13.7
1989/3/5,10.9,13.9,7.9
1989/3/6,9.3,13.6,6.5
1989/3/7,7.6,11.2,4.5
1989/3/8,7.6,12.6,4.5
1989/3/9,7.3,11.8,3.0
1989/3/10,8.6,12.7,3.9
1989/3/11,10.0,14.0,4.5
1989/3/12,12.8,16.7,6.8
1989/3/13,12.3,15.0,10.6
1989/3/14,14.9,18.8,12.4
1989/3/15,12.6,16.1,9.1
1989/3/16,10.0,13.5,5.4
1989/3/17,8.5,13.1,5.4
1989/3/18,8.3,13.0,4.8
1989/3/19,9.5,15.4,4.7
1989/3/20,10.7,15.0,7.2
1989/3/21,10.8,14.9,6.7
1989/3/22,10.1,15.0,6.2
1989/3/23,10.3,14.3,6.1
1989/3/24,13.4,18.0,10.2
1989/3/25,12.8,17.9,8.2
1989/3/26,11.1,14.3,6.6
1989/3/27,11.9,14.2,9.6
1989/3/28,11.4,15.0,7.6
1989/3/29,11.1,14.7,6.5
1989/3/30,13.5,16.7,7.7
1989/3/31,14.5,16.3,12.0
