ダウンロードした時刻：2017/07/24 15:47:28

,延岡,延岡,延岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1988/1/1,8.4,15.8,1.6
1988/1/2,10.9,15.9,5.9
1988/1/3,9.6,17.2,5.6
1988/1/4,10.0,15.3,5.7
1988/1/5,9.0,11.7,5.8
1988/1/6,7.3,12.5,2.5
1988/1/7,8.5,11.6,2.9
1988/1/8,10.4,15.3,7.0
1988/1/9,8.0,11.4,4.2
1988/1/10,3.8,9.5,-1.4
1988/1/11,2.2,10.6,-3.9
1988/1/12,4.0,10.2,-1.6
1988/1/13,5.3,14.9,-1.5
1988/1/14,8.5,18.2,0.5
1988/1/15,10.6,15.3,7.7
1988/1/16,10.6,17.8,5.8
1988/1/17,8.0,12.5,4.0
1988/1/18,6.6,10.1,2.6
1988/1/19,5.1,11.3,1.5
1988/1/20,6.2,15.2,-0.4
1988/1/21,9.9,14.5,5.3
1988/1/22,13.2,19.2,7.9
1988/1/23,5.2,12.6,1.0
1988/1/24,2.9,7.3,-1.1
1988/1/25,5.0,10.3,-0.9
1988/1/26,7.3,13.0,4.0
1988/1/27,7.0,14.1,1.7
1988/1/28,6.5,15.3,-0.3
1988/1/29,10.7,18.8,5.4
1988/1/30,9.0,15.6,3.4
1988/1/31,6.6,11.0,1.9
1988/2/1,4.0,11.5,-3.5
1988/2/2,6.9,12.6,2.5
1988/2/3,1.7,5.9,-2.4
1988/2/4,3.0,11.3,-4.3
1988/2/5,12.3,23.4,1.5
1988/2/6,9.2,14.5,3.7
1988/2/7,3.1,7.5,-0.8
1988/2/8,3.9,10.2,-1.3
1988/2/9,4.6,10.4,-1.3
1988/2/10,5.3,12.2,0.3
1988/2/11,3.5,10.0,-2.3
1988/2/12,6.1,14.5,0.3
1988/2/13,7.1,13.8,-0.1
1988/2/14,6.3,10.8,1.1
1988/2/15,4.9,11.8,-1.3
1988/2/16,5.5,12.7,-0.9
1988/2/17,5.7,12.0,2.8
1988/2/18,2.9,8.8,-1.6
1988/2/19,3.1,10.6,-5.2
1988/2/20,6.6,11.3,2.5
1988/2/21,8.1,13.3,1.6
1988/2/22,7.2,11.8,0.3
1988/2/23,11.6,18.0,9.2
1988/2/24,11.7,15.0,10.1
1988/2/25,10.2,16.8,5.9
1988/2/26,6.6,7.3,6.0
1988/2/27,6.8,7.7,5.7
1988/2/28,10.1,15.5,5.3
1988/2/29,8.5,9.9,6.9
1988/3/1,9.9,11.9,8.1
1988/3/2,9.8,13.3,7.0
1988/3/3,5.4,9.7,0.8
1988/3/4,2.8,7.8,-3.0
1988/3/5,4.4,9.0,0.3
1988/3/6,6.2,10.4,0.2
1988/3/7,4.0,8.9,-1.7
1988/3/8,4.9,10.7,-1.7
1988/3/9,7.5,14.6,0.8
1988/3/10,7.9,15.8,0.9
1988/3/11,11.7,19.5,3.2
1988/3/12,14.0,18.0,7.3
1988/3/13,11.7,18.3,4.4
1988/3/14,13.5,15.0,11.7
1988/3/15,12.4,16.4,8.4
1988/3/16,5.1,8.4,3.3
1988/3/17,6.7,7.7,4.5
1988/3/18,9.6,15.6,4.7
1988/3/19,11.0,17.0,4.2
1988/3/20,11.0,17.0,6.8
1988/3/21,11.1,16.8,7.0
1988/3/22,13.5,17.5,10.0
1988/3/23,10.3,17.0,4.8
1988/3/24,9.8,17.1,2.7
1988/3/25,11.1,13.8,8.6
1988/3/26,11.5,14.9,9.7
1988/3/27,9.1,15.7,2.8
1988/3/28,8.8,14.0,5.2
1988/3/29,9.6,12.7,6.0
1988/3/30,8.5,10.3,6.9
1988/3/31,11.5,18.2,5.9
1988/4/1,11.9,17.3,5.1
1988/4/2,11.4,12.2,10.1
1988/4/3,14.7,21.5,9.0
1988/4/4,11.6,15.8,8.3
1988/4/5,15.1,22.0,7.4
1988/4/6,15.1,20.3,10.8
1988/4/7,9.5,14.3,8.3
1988/4/8,9.0,15.1,3.2
1988/4/9,8.5,17.0,0.3
1988/4/10,11.1,18.0,3.3
1988/4/11,14.1,20.9,6.1
1988/4/12,15.3,18.0,10.8
1988/4/13,16.2,21.9,12.1
1988/4/14,15.5,23.4,10.2
1988/4/15,12.8,19.5,5.4
1988/4/16,13.9,22.2,5.7
1988/4/17,14.5,19.5,10.3
1988/4/18,14.9,20.8,10.7
1988/4/19,14.4,20.4,8.1
1988/4/20,16.7,21.9,10.1
1988/4/21,16.9,19.2,15.3
1988/4/22,15.1,19.2,11.2
1988/4/23,13.3,20.7,7.6
1988/4/24,13.9,20.2,9.1
1988/4/25,14.0,21.6,6.3
1988/4/26,15.4,22.0,8.5
1988/4/27,14.8,17.5,12.2
1988/4/28,16.5,20.8,12.8
1988/4/29,19.2,24.4,15.8
1988/4/30,18.3,24.2,11.4
1988/5/1,18.9,23.1,13.9
