ダウンロードした時刻：2019/10/10 15:43:46

,新潟,新潟,新潟
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1999/12/1,8.1,9.9,6.5
1999/12/2,8.9,12.3,6.7
1999/12/3,6.0,8.2,4.0
1999/12/4,8.3,12.9,3.6
1999/12/5,9.0,12.9,6.9
1999/12/6,8.5,12.9,6.2
1999/12/7,5.8,7.7,3.5
1999/12/8,7.3,10.7,4.7
1999/12/9,8.0,12.7,2.5
1999/12/10,10.1,13.7,7.6
1999/12/11,7.3,12.9,4.3
1999/12/12,4.0,5.2,0.7
1999/12/13,4.1,7.3,0.7
1999/12/14,4.0,6.1,2.2
1999/12/15,2.5,4.6,0.9
1999/12/16,4.6,9.5,1.0
1999/12/17,6.1,10.6,2.2
1999/12/18,1.8,3.7,0.4
1999/12/19,0.7,2.1,0.2
1999/12/20,2.0,4.1,0.5
1999/12/21,3.1,6.9,0.5
1999/12/22,1.9,4.7,1.0
1999/12/23,3.7,7.1,1.7
1999/12/24,3.4,7.1,0.1
1999/12/25,5.4,7.9,0.4
1999/12/26,4.4,7.1,0.9
1999/12/27,4.5,7.4,2.2
1999/12/28,4.9,11.6,0.3
1999/12/29,6.9,11.4,2.8
1999/12/30,3.7,6.4,1.5
1999/12/31,5.3,9.2,-0.9
2000/1/1,6.0,8.8,4.0
2000/1/2,4.8,7.4,1.3
2000/1/3,7.0,10.1,4.7
2000/1/4,6.8,8.3,5.0
2000/1/5,6.1,9.8,3.8
2000/1/6,8.7,12.3,2.3
2000/1/7,8.2,11.5,4.9
2000/1/8,6.2,8.4,4.0
2000/1/9,6.6,8.9,4.5
2000/1/10,6.7,10.9,5.0
2000/1/11,4.1,6.5,2.8
2000/1/12,4.3,6.7,1.1
2000/1/13,7.6,10.0,5.4
2000/1/14,8.4,10.9,5.8
2000/1/15,5.0,7.8,2.9
2000/1/16,5.0,8.5,2.0
2000/1/17,6.0,9.5,4.0
2000/1/18,4.0,5.8,2.4
2000/1/19,4.8,10.9,-1.1
2000/1/20,3.9,6.4,1.5
2000/1/21,0.7,3.0,-1.1
2000/1/22,1.4,4.5,-0.5
2000/1/23,2.0,5.3,-1.5
2000/1/24,3.7,5.6,1.0
2000/1/25,-0.1,1.1,-1.6
2000/1/26,0.6,3.4,-1.9
2000/1/27,-0.9,1.8,-2.0
2000/1/28,1.0,5.0,-1.5
2000/1/29,3.4,8.0,0.2
2000/1/30,3.2,8.7,-0.6
2000/1/31,2.7,4.7,0.3
2000/2/1,2.2,5.8,0.5
2000/2/2,2.1,4.6,0.3
2000/2/3,3.3,6.5,2.0
2000/2/4,2.4,5.1,0.9
2000/2/5,4.0,7.6,1.3
2000/2/6,3.4,6.6,-0.4
2000/2/7,5.8,9.5,2.8
2000/2/8,3.6,8.5,1.5
2000/2/9,2.5,5.3,0.4
2000/2/10,2.5,5.8,0.1
2000/2/11,0.9,3.4,-0.9
2000/2/12,4.2,7.1,0.9
2000/2/13,3.7,6.3,1.8
2000/2/14,4.8,9.9,0.7
2000/2/15,1.1,5.4,-1.8
2000/2/16,-0.5,2.2,-1.9
2000/2/17,1.4,4.4,-0.9
2000/2/18,2.0,5.4,0.4
2000/2/19,2.3,5.1,0.1
2000/2/20,3.1,6.7,0.2
2000/2/21,0.8,3.7,-1.4
2000/2/22,0.3,2.7,-1.7
2000/2/23,2.4,5.1,0.2
2000/2/24,0.3,3.8,-2.8
2000/2/25,-0.1,2.2,-2.5
2000/2/26,1.5,5.0,-2.4
2000/2/27,2.3,6.1,-0.5
2000/2/28,0.8,2.7,-1.9
2000/2/29,0.8,3.2,-1.2
2000/3/1,2.1,5.1,-0.4
2000/3/2,4.4,10.5,-1.5
2000/3/3,7.9,12.9,3.7
2000/3/4,6.8,11.6,2.3
2000/3/5,6.9,10.0,3.3
2000/3/6,5.0,9.1,-0.3
2000/3/7,3.7,7.0,1.4
2000/3/8,1.9,4.9,0.4
2000/3/9,0.6,3.5,-1.1
2000/3/10,1.0,5.3,-1.2
2000/3/11,3.7,9.1,-1.5
2000/3/12,4.8,9.4,0.8
2000/3/13,3.1,7.7,-0.7
2000/3/14,2.0,3.7,0.1
2000/3/15,4.7,8.2,1.9
2000/3/16,5.2,7.6,1.7
2000/3/17,4.9,7.0,3.0
2000/3/18,7.4,13.1,1.6
2000/3/19,9.2,17.7,3.0
2000/3/20,5.6,8.7,2.9
2000/3/21,4.8,7.8,0.5
2000/3/22,4.7,7.8,1.4
2000/3/23,7.8,15.1,0.4
2000/3/24,6.4,9.8,2.0
2000/3/25,4.0,8.7,1.3
2000/3/26,3.0,5.5,0.7
2000/3/27,6.0,10.5,1.5
2000/3/28,11.7,17.3,3.7
2000/3/29,9.9,14.6,5.9
2000/3/30,8.0,11.0,5.8
2000/3/31,10.0,16.5,4.7
