ダウンロードした時刻：2019/10/10 16:24:37

,延岡,延岡,延岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1988/12/1,8.4,16.7,2.3
1988/12/2,8.6,17.6,2.4
1988/12/3,10.1,18.3,4.6
1988/12/4,9.7,16.6,5.2
1988/12/5,6.1,10.4,-1.4
1988/12/6,4.5,14.0,-3.4
1988/12/7,7.9,18.0,0.5
1988/12/8,11.6,20.9,5.3
1988/12/9,9.2,14.5,2.3
1988/12/10,5.3,11.4,-0.3
1988/12/11,6.3,14.2,0.2
1988/12/12,6.8,15.9,0.7
1988/12/13,8.5,17.7,2.6
1988/12/14,10.4,17.9,4.4
1988/12/15,6.2,9.9,2.6
1988/12/16,2.4,5.0,-0.8
1988/12/17,4.1,11.6,-1.9
1988/12/18,5.9,14.9,-0.7
1988/12/19,10.8,17.9,4.4
1988/12/20,11.6,19.1,5.0
1988/12/21,11.6,17.8,2.7
1988/12/22,6.6,14.8,-0.5
1988/12/23,7.5,15.3,1.6
1988/12/24,9.9,15.3,3.9
1988/12/25,9.8,15.0,6.0
1988/12/26,5.5,14.1,-2.2
1988/12/27,7.9,15.3,0.8
1988/12/28,6.8,14.8,1.0
1988/12/29,5.6,12.7,0.3
1988/12/30,8.2,15.3,0.6
1988/12/31,9.8,14.1,5.4
1989/1/1,8.6,14.1,0.8
1989/1/2,5.0,14.8,-1.8
1989/1/3,8.0,15.8,2.6
1989/1/4,7.4,15.2,-0.5
1989/1/5,5.6,14.8,0.2
1989/1/6,8.5,15.7,0.7
1989/1/7,12.3,14.7,10.0
1989/1/8,15.6,21.5,12.3
1989/1/9,12.5,14.4,8.5
1989/1/10,10.4,18.2,4.6
1989/1/11,10.3,12.7,7.3
1989/1/12,11.8,14.3,5.7
1989/1/13,7.9,11.5,3.1
1989/1/14,8.1,10.0,5.8
1989/1/15,6.2,13.5,0.4
1989/1/16,7.5,14.9,0.7
1989/1/17,9.2,15.5,4.6
1989/1/18,12.0,17.2,8.3
1989/1/19,16.4,21.2,12.2
1989/1/20,13.7,17.6,9.0
1989/1/21,10.3,16.0,4.2
1989/1/22,7.4,10.5,5.6
1989/1/23,10.8,15.6,7.5
1989/1/24,8.6,13.4,2.9
1989/1/25,6.4,13.4,0.9
1989/1/26,7.4,11.3,4.5
1989/1/27,4.8,9.8,0.5
1989/1/28,2.7,9.5,-2.6
1989/1/29,3.1,10.9,-2.9
1989/1/30,5.9,13.9,-1.4
1989/1/31,9.7,13.7,4.5
1989/2/1,7.6,11.3,2.2
1989/2/2,2.8,7.7,-1.7
1989/2/3,3.8,11.4,-2.1
1989/2/4,5.4,13.0,-0.3
1989/2/5,5.6,13.7,-0.7
1989/2/6,6.1,11.7,3.2
1989/2/7,7.5,15.2,0.5
1989/2/8,10.8,13.0,8.0
1989/2/9,10.3,12.9,7.5
1989/2/10,6.1,9.7,2.5
1989/2/11,6.5,13.8,0.0
1989/2/12,7.3,14.6,-0.3
1989/2/13,6.5,12.4,1.6
1989/2/14,6.0,14.8,-0.9
1989/2/15,7.1,10.4,0.9
1989/2/16,13.0,16.5,9.3
1989/2/17,14.2,19.2,11.8
1989/2/18,12.4,17.5,9.1
1989/2/19,8.6,14.1,2.6
1989/2/20,10.7,17.9,3.2
1989/2/21,10.5,11.8,8.9
1989/2/22,11.0,16.8,5.8
1989/2/23,9.0,11.0,7.9
1989/2/24,11.4,12.7,9.4
1989/2/25,14.6,23.6,9.8
1989/2/26,9.2,14.2,3.2
1989/2/27,8.2,16.3,0.4
1989/2/28,13.8,21.3,7.7
1989/3/1,13.5,19.3,8.9
1989/3/2,12.1,15.4,8.0
1989/3/3,17.8,22.3,11.9
1989/3/4,14.8,18.6,10.2
1989/3/5,9.3,15.5,4.2
1989/3/6,6.8,13.2,1.0
1989/3/7,5.1,9.4,2.0
1989/3/8,5.8,11.3,0.9
1989/3/9,6.3,14.3,-1.8
1989/3/10,5.8,15.5,-2.1
1989/3/11,8.5,18.0,0.9
1989/3/12,11.6,18.6,3.1
1989/3/13,13.7,17.8,10.9
1989/3/14,14.8,21.4,9.6
1989/3/15,12.7,20.2,7.9
1989/3/16,10.8,17.2,2.7
1989/3/17,9.8,15.2,4.2
1989/3/18,9.3,16.7,0.0
1989/3/19,10.0,16.2,6.0
1989/3/20,10.6,16.7,4.2
1989/3/21,10.0,18.7,0.3
1989/3/22,10.3,16.3,2.5
1989/3/23,9.0,15.9,1.3
1989/3/24,12.6,17.4,7.7
1989/3/25,10.9,14.4,5.3
1989/3/26,9.7,13.9,4.5
1989/3/27,11.0,16.7,7.3
1989/3/28,9.7,14.4,4.4
1989/3/29,9.8,18.9,2.0
1989/3/30,11.6,18.7,3.5
1989/3/31,14.0,22.1,9.3
