ダウンロードした時刻：2017/07/24 15:36:32

,江差,江差,江差
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1999/1/1,-2.2,-0.9,-3.9
1999/1/2,-2.7,-1.2,-4.1
1999/1/3,-1.2,0.4,-3.7
1999/1/4,-0.9,1.2,-4.0
1999/1/5,2.7,5.3,0.3
1999/1/6,0.8,4.9,-2.4
1999/1/7,-3.4,-0.2,-6.0
1999/1/8,-7.2,-4.5,-8.6
1999/1/9,-5.2,-3.4,-7.1
1999/1/10,-4.2,-2.6,-5.5
1999/1/11,0.4,2.8,-3.5
1999/1/12,1.2,2.8,-0.7
1999/1/13,-0.4,1.1,-2.3
1999/1/14,-0.6,1.8,-2.5
1999/1/15,0.3,2.0,-1.5
1999/1/16,-0.6,2.2,-3.3
1999/1/17,-1.2,1.3,-3.4
1999/1/18,3.8,6.4,1.2
1999/1/19,4.6,7.6,0.4
1999/1/20,0.5,4.9,-3.1
1999/1/21,-2.2,-0.5,-3.8
1999/1/22,0.3,2.4,-1.1
1999/1/23,1.3,4.1,-0.6
1999/1/24,-0.3,2.2,-3.9
1999/1/25,2.7,7.3,-3.6
1999/1/26,1.8,6.2,-1.0
1999/1/27,1.2,2.8,-0.3
1999/1/28,-2.8,1.9,-6.5
1999/1/29,-6.4,-4.6,-8.5
1999/1/30,-4.3,-2.3,-8.2
1999/1/31,-1.5,0.9,-3.6
1999/2/1,-1.6,0.8,-3.5
1999/2/2,-4.2,-1.7,-6.6
1999/2/3,-5.7,-3.1,-9.0
1999/2/4,-2.5,0.7,-9.6
1999/2/5,-0.8,0.7,-3.7
1999/2/6,-2.5,0.1,-4.5
1999/2/7,1.0,3.3,-0.7
1999/2/8,-2.7,2.7,-6.7
1999/2/9,-0.7,3.0,-3.4
1999/2/10,-3.0,0.1,-4.3
1999/2/11,-1.1,1.3,-3.0
1999/2/12,-3.4,-0.7,-5.1
1999/2/13,-3.7,-0.5,-6.0
1999/2/14,-3.5,-2.1,-5.5
1999/2/15,0.1,4.1,-3.4
1999/2/16,5.4,6.7,3.0
1999/2/17,7.5,8.8,5.8
1999/2/18,2.2,7.4,-3.6
1999/2/19,-3.3,-1.8,-4.9
1999/2/20,-3.9,-2.9,-5.3
1999/2/21,-3.2,-0.7,-5.1
1999/2/22,0.2,2.0,-2.2
1999/2/23,-0.3,1.4,-1.8
1999/2/24,0.8,2.9,-4.3
1999/2/25,2.8,4.8,1.0
1999/2/26,4.9,6.7,3.1
1999/2/27,1.4,6.7,-5.4
1999/2/28,-2.1,2.0,-5.3
1999/3/1,2.7,5.9,0.7
1999/3/2,2.5,5.2,-0.2
1999/3/3,3.9,7.0,0.0
1999/3/4,0.9,3.0,-1.6
1999/3/5,2.9,7.4,-1.9
1999/3/6,-1.1,2.6,-2.8
1999/3/7,-0.9,2.1,-4.3
1999/3/8,-1.1,1.3,-2.7
1999/3/9,-1.9,0.5,-5.3
1999/3/10,-0.8,4.3,-6.0
1999/3/11,-2.2,-0.5,-4.9
1999/3/12,-2.1,0.2,-4.3
1999/3/13,2.9,6.9,-3.1
1999/3/14,7.6,9.7,5.7
1999/3/15,5.3,8.5,3.4
1999/3/16,4.8,8.8,2.1
1999/3/17,4.3,6.7,1.2
1999/3/18,6.8,11.7,0.9
1999/3/19,2.2,5.3,-0.1
1999/3/20,-0.2,2.8,-2.8
1999/3/21,-1.3,1.8,-3.8
1999/3/22,0.5,3.4,-0.9
1999/3/23,0.7,4.0,-2.3
1999/3/24,5.7,8.1,1.8
1999/3/25,4.8,9.8,0.1
1999/3/26,6.1,11.9,1.9
1999/3/27,3.8,5.8,0.7
1999/3/28,-1.1,1.5,-3.8
1999/3/29,-2.2,0.0,-4.8
1999/3/30,0.8,3.2,-2.4
1999/3/31,3.2,8.5,-2.6
1999/4/1,7.6,9.6,4.4
1999/4/2,3.4,6.6,0.7
1999/4/3,0.7,2.7,-1.4
1999/4/4,3.5,6.0,-0.1
1999/4/5,3.7,7.7,-0.1
1999/4/6,1.9,5.4,-1.2
1999/4/7,0.9,3.0,-0.6
1999/4/8,2.3,4.5,0.2
1999/4/9,6.4,10.5,-0.8
1999/4/10,7.4,9.6,3.1
1999/4/11,9.8,17.3,3.0
1999/4/12,11.3,17.8,7.6
1999/4/13,10.3,13.1,8.1
1999/4/14,6.4,9.2,4.9
1999/4/15,6.4,8.6,4.5
1999/4/16,9.5,14.0,4.0
1999/4/17,6.1,8.9,2.8
1999/4/18,8.9,16.8,1.4
1999/4/19,11.6,19.4,5.1
1999/4/20,9.0,12.0,3.2
1999/4/21,7.0,11.3,1.2
1999/4/22,8.0,12.8,2.1
1999/4/23,12.4,18.2,5.5
1999/4/24,14.3,22.0,9.7
1999/4/25,14.0,21.1,8.5
1999/4/26,13.3,16.9,8.9
1999/4/27,10.0,11.4,8.8
1999/4/28,8.4,10.9,5.0
1999/4/29,7.2,10.2,2.3
1999/4/30,10.4,13.3,7.6
1999/5/1,12.4,15.6,9.1
