ダウンロードした時刻：2019/10/10 16:08:01

,京都,京都,京都
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2013/12/1,7.7,14.2,2.6
2013/12/2,8.5,14.9,3.0
2013/12/3,8.3,14.3,3.8
2013/12/4,8.5,14.7,3.6
2013/12/5,8.9,15.0,4.6
2013/12/6,9.4,15.6,5.1
2013/12/7,8.7,13.6,4.6
2013/12/8,7.1,11.1,3.8
2013/12/9,7.9,12.5,1.9
2013/12/10,9.6,12.4,6.6
2013/12/11,7.2,11.8,3.7
2013/12/12,4.9,8.9,1.9
2013/12/13,3.8,11.0,0.3
2013/12/14,4.4,8.9,0.0
2013/12/15,5.6,9.7,3.6
2013/12/16,6.0,8.8,4.3
2013/12/17,6.7,9.7,4.0
2013/12/18,6.5,7.6,5.2
2013/12/19,7.9,9.8,6.3
2013/12/20,5.1,7.3,2.5
2013/12/21,5.0,6.7,3.6
2013/12/22,4.6,7.0,2.4
2013/12/23,5.6,9.8,3.6
2013/12/24,5.8,9.1,4.2
2013/12/25,6.1,10.4,3.5
2013/12/26,6.2,9.3,3.8
2013/12/27,5.1,7.5,1.8
2013/12/28,2.3,6.2,0.8
2013/12/29,2.4,6.9,-0.6
2013/12/30,3.2,8.7,-1.6
2013/12/31,5.7,11.7,1.4
2014/1/1,7.1,12.1,3.4
2014/1/2,5.6,8.6,2.3
2014/1/3,5.2,10.9,0.6
2014/1/4,4.8,9.1,2.7
2014/1/5,3.1,5.9,0.1
2014/1/6,3.3,7.7,0.0
2014/1/7,4.4,9.9,-0.8
2014/1/8,6.3,7.3,5.4
2014/1/9,5.4,9.8,0.9
2014/1/10,2.2,5.9,-0.3
2014/1/11,3.1,8.5,-1.1
2014/1/12,3.6,7.8,-0.8
2014/1/13,3.3,6.8,0.9
2014/1/14,2.2,6.3,-1.1
2014/1/15,3.9,10.0,-0.4
2014/1/16,4.4,10.5,0.2
2014/1/17,4.3,8.1,1.9
2014/1/18,3.4,8.3,-0.3
2014/1/19,1.5,3.6,-1.1
2014/1/20,2.9,7.4,-1.5
2014/1/21,3.9,7.8,1.3
2014/1/22,2.9,6.3,0.6
2014/1/23,3.3,7.9,0.3
2014/1/24,4.9,12.7,-1.1
2014/1/25,8.0,14.3,2.2
2014/1/26,6.2,9.4,1.2
2014/1/27,3.4,7.8,0.9
2014/1/28,4.9,11.3,-0.7
2014/1/29,6.7,12.4,2.5
2014/1/30,,,
2014/1/31,9.1,12.9,3.9
2014/2/1,8.1,15.4,1.8
2014/2/2,11.3,15.2,8.7
2014/2/3,11.3,15.0,8.3
2014/2/4,4.5,8.9,0.8
2014/2/5,1.3,4.0,-0.1
2014/2/6,1.3,3.1,-0.4
2014/2/7,2.9,7.2,-0.2
2014/2/8,2.8,4.9,0.4
2014/2/9,4.3,8.8,1.9
2014/2/10,2.7,6.2,0.9
2014/2/11,2.5,6.1,0.8
2014/2/12,3.4,8.5,-1.0
2014/2/13,4.0,7.4,2.4
2014/2/14,2.1,3.6,0.4
2014/2/15,4.4,7.4,1.4
2014/2/16,5.0,9.2,1.4
2014/2/17,4.0,9.6,-0.2
2014/2/18,3.3,5.5,2.3
2014/2/19,3.7,6.8,2.3
2014/2/20,3.8,9.0,0.0
2014/2/21,3.3,7.8,0.3
2014/2/22,3.5,7.6,1.2
2014/2/23,3.9,9.9,0.0
2014/2/24,5.0,11.7,-0.2
2014/2/25,6.6,13.8,1.3
2014/2/26,8.9,14.8,1.4
2014/2/27,11.9,14.0,9.8
2014/2/28,11.8,15.0,8.6
2014/3/1,9.1,11.5,7.4
2014/3/2,8.4,12.6,5.7
2014/3/3,5.7,9.2,1.7
2014/3/4,7.0,13.9,-0.5
2014/3/5,8.0,11.6,2.9
2014/3/6,2.4,5.6,0.9
2014/3/7,2.8,7.1,-0.8
2014/3/8,4.1,8.2,0.8
2014/3/9,5.7,11.4,1.1
2014/3/10,2.7,6.2,0.6
2014/3/11,5.2,12.0,-0.1
2014/3/12,9.8,18.1,2.1
2014/3/13,9.8,13.0,6.7
2014/3/14,5.6,9.2,3.1
2014/3/15,6.0,11.8,1.8
2014/3/16,9.8,18.2,2.0
2014/3/17,12.4,20.4,5.6
2014/3/18,12.6,18.0,8.9
2014/3/19,11.0,16.6,6.4
2014/3/20,10.2,12.3,6.9
2014/3/21,5.2,8.6,3.4
2014/3/22,6.5,11.8,2.6
2014/3/23,9.6,17.3,2.1
2014/3/24,12.2,20.2,5.0
2014/3/25,14.8,19.5,9.9
2014/3/26,13.0,14.5,11.8
2014/3/27,13.2,16.0,9.7
2014/3/28,13.6,22.9,5.9
2014/3/29,15.9,22.4,10.2
2014/3/30,14.6,19.8,12.0
2014/3/31,12.4,17.2,8.8
