ダウンロードした時刻：2019/10/10 15:45:49

,富山,富山,富山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2016/12/1,12.9,16.9,7.9
2016/12/2,8.6,13.0,5.8
2016/12/3,9.9,16.4,5.4
2016/12/4,12.3,17.4,5.7
2016/12/5,12.8,17.2,10.1
2016/12/6,7.5,12.0,3.6
2016/12/7,6.7,11.0,2.0
2016/12/8,6.9,12.1,3.7
2016/12/9,8.8,13.1,5.0
2016/12/10,4.1,6.4,2.7
2016/12/11,2.3,3.6,1.2
2016/12/12,3.4,8.2,-0.6
2016/12/13,8.4,10.2,3.9
2016/12/14,5.5,9.4,1.1
2016/12/15,2.2,6.1,0.4
2016/12/16,1.2,3.3,0.2
2016/12/17,2.9,4.7,1.3
2016/12/18,7.0,13.4,2.8
2016/12/19,9.6,16.5,4.8
2016/12/20,9.3,13.3,6.6
2016/12/21,9.5,16.2,5.1
2016/12/22,16.7,20.9,8.7
2016/12/23,9.0,13.0,4.8
2016/12/24,4.9,7.7,2.1
2016/12/25,5.4,10.4,1.7
2016/12/26,7.3,12.5,0.4
2016/12/27,7.4,13.0,2.5
2016/12/28,2.1,5.5,-0.7
2016/12/29,3.4,10.0,-0.9
2016/12/30,3.0,6.2,1.0
2016/12/31,5.7,10.7,1.8
2017/1/1,6.9,11.3,4.1
2017/1/2,8.5,14.2,4.0
2017/1/3,6.7,9.3,4.5
2017/1/4,6.1,9.8,2.4
2017/1/5,3.7,7.8,1.9
2017/1/6,3.8,7.5,1.1
2017/1/7,3.5,8.9,-0.8
2017/1/8,4.4,8.3,0.0
2017/1/9,6.2,10.9,4.0
2017/1/10,6.3,12.0,2.9
2017/1/11,2.6,7.1,0.2
2017/1/12,2.8,6.6,0.6
2017/1/13,2.6,5.3,0.3
2017/1/14,-1.3,0.8,-3.7
2017/1/15,-1.0,1.2,-3.3
2017/1/16,0.5,2.3,-1.3
2017/1/17,2.2,4.6,0.7
2017/1/18,3.3,7.7,-0.7
2017/1/19,3.2,6.1,1.1
2017/1/20,2.7,8.1,-0.7
2017/1/21,2.7,5.8,0.1
2017/1/22,2.0,4.0,0.4
2017/1/23,-0.9,0.6,-2.1
2017/1/24,-1.3,0.0,-2.4
2017/1/25,0.0,2.7,-2.2
2017/1/26,1.0,7.5,-3.2
2017/1/27,5.5,10.1,2.5
2017/1/28,4.1,8.5,0.8
2017/1/29,5.3,8.9,0.0
2017/1/30,6.7,9.3,2.6
2017/1/31,2.1,6.4,0.0
2017/2/1,2.9,9.2,-1.0
2017/2/2,0.9,3.9,-1.5
2017/2/3,3.4,8.5,0.4
2017/2/4,4.8,12.1,-0.2
2017/2/5,6.2,10.0,1.7
2017/2/6,4.3,7.6,1.0
2017/2/7,0.4,1.7,-0.5
2017/2/8,2.2,5.9,-0.2
2017/2/9,3.7,4.9,1.6
2017/2/10,1.7,4.9,-1.2
2017/2/11,0.7,4.6,-1.3
2017/2/12,1.2,3.8,-0.6
2017/2/13,0.6,4.5,-1.3
2017/2/14,0.9,3.6,-1.8
2017/2/15,3.6,8.1,0.8
2017/2/16,8.6,16.1,2.1
2017/2/17,8.6,12.4,3.9
2017/2/18,3.6,8.0,-0.1
2017/2/19,3.2,7.9,-1.3
2017/2/20,6.6,9.4,2.2
2017/2/21,1.2,3.9,-1.2
2017/2/22,3.4,9.4,-2.2
2017/2/23,7.9,11.8,2.5
2017/2/24,2.5,6.1,0.7
2017/2/25,4.9,10.8,0.5
2017/2/26,4.5,10.0,1.6
2017/2/27,3.3,6.1,0.9
2017/2/28,3.7,8.3,-1.3
2017/3/1,5.4,10.1,-0.3
2017/3/2,6.6,12.0,1.6
2017/3/3,5.9,10.6,1.4
2017/3/4,7.1,15.6,-0.3
2017/3/5,7.6,12.6,2.3
2017/3/6,8.5,16.2,4.1
2017/3/7,2.1,6.1,0.2
2017/3/8,2.4,7.1,0.1
2017/3/9,4.0,8.1,0.8
2017/3/10,5.0,10.6,1.8
2017/3/11,5.2,9.4,1.8
2017/3/12,4.9,10.2,0.1
2017/3/13,9.8,17.0,2.5
2017/3/14,7.2,10.6,3.5
2017/3/15,4.9,9.7,1.6
2017/3/16,6.0,9.7,3.2
2017/3/17,6.4,11.5,2.5
2017/3/18,8.1,14.5,2.2
2017/3/19,9.8,16.0,5.7
2017/3/20,8.5,14.9,2.5
2017/3/21,7.0,8.5,5.2
2017/3/22,7.0,12.2,3.6
2017/3/23,7.2,12.1,3.7
2017/3/24,4.7,8.8,2.0
2017/3/25,5.2,9.9,0.4
2017/3/26,6.2,11.1,1.4
2017/3/27,6.8,10.0,4.7
2017/3/28,6.8,13.0,1.8
2017/3/29,8.9,15.7,2.5
2017/3/30,12.0,18.8,6.3
2017/3/31,8.0,9.3,7.0
