ダウンロードした時刻：2019/10/10 16:14:02

,潮岬,潮岬,潮岬
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2000/12/1,11.5,13.8,9.7
2000/12/2,11.8,15.4,8.8
2000/12/3,11.7,13.6,9.5
2000/12/4,11.3,15.7,8.4
2000/12/5,12.2,15.8,6.8
2000/12/6,11.5,15.2,9.0
2000/12/7,10.4,14.6,7.2
2000/12/8,11.9,16.5,8.5
2000/12/9,13.6,18.5,9.3
2000/12/10,15.1,17.8,12.5
2000/12/11,11.1,15.7,5.9
2000/12/12,6.1,9.6,3.9
2000/12/13,8.0,11.4,4.6
2000/12/14,8.4,9.9,6.8
2000/12/15,10.2,14.6,5.4
2000/12/16,13.2,17.1,8.2
2000/12/17,11.6,12.9,10.5
2000/12/18,12.2,14.0,10.2
2000/12/19,14.9,18.3,10.4
2000/12/20,11.2,14.3,8.2
2000/12/21,11.0,13.5,7.2
2000/12/22,9.8,14.8,6.1
2000/12/23,12.8,17.6,7.6
2000/12/24,9.5,11.9,6.4
2000/12/25,9.1,15.3,4.4
2000/12/26,5.5,7.8,4.4
2000/12/27,6.7,10.7,3.3
2000/12/28,8.9,13.0,5.2
2000/12/29,8.6,12.6,5.1
2000/12/30,8.9,12.6,4.5
2000/12/31,11.6,13.5,9.2
2001/1/1,7.7,9.8,5.8
2001/1/2,10.6,14.8,6.7
2001/1/3,6.9,8.9,3.7
2001/1/4,5.3,7.9,3.3
2001/1/5,5.3,8.0,2.7
2001/1/6,6.0,9.5,3.4
2001/1/7,6.9,11.2,3.6
2001/1/8,12.1,17.8,7.7
2001/1/9,11.8,17.1,6.9
2001/1/10,13.4,17.4,6.3
2001/1/11,9.4,12.0,6.3
2001/1/12,6.2,8.7,4.4
2001/1/13,5.2,6.9,3.9
2001/1/14,3.0,4.9,1.3
2001/1/15,1.2,3.2,-0.8
2001/1/16,2.0,5.4,-0.3
2001/1/17,3.4,7.0,0.8
2001/1/18,5.5,9.2,2.0
2001/1/19,6.7,9.8,4.0
2001/1/20,7.3,9.1,4.6
2001/1/21,8.2,11.3,5.2
2001/1/22,7.9,10.8,3.8
2001/1/23,7.9,12.4,4.9
2001/1/24,6.0,9.6,2.4
2001/1/25,9.2,12.7,7.4
2001/1/26,11.0,13.0,9.6
2001/1/27,9.3,11.9,6.4
2001/1/28,8.5,11.7,6.3
2001/1/29,5.4,8.1,3.8
2001/1/30,6.7,11.0,3.4
2001/1/31,8.0,12.0,3.4
2001/2/1,8.5,11.8,5.8
2001/2/2,5.8,10.0,3.3
2001/2/3,5.7,9.8,2.3
2001/2/4,7.4,10.6,3.9
2001/2/5,10.2,14.7,5.4
2001/2/6,10.7,11.8,8.7
2001/2/7,9.3,10.5,8.5
2001/2/8,9.0,12.4,5.3
2001/2/9,7.4,11.5,4.5
2001/2/10,7.2,11.5,3.6
2001/2/11,6.8,11.6,1.8
2001/2/12,6.2,7.9,4.1
2001/2/13,6.8,8.4,5.8
2001/2/14,5.6,9.1,2.7
2001/2/15,5.0,9.0,1.6
2001/2/16,7.2,12.2,2.2
2001/2/17,5.3,9.7,0.1
2001/2/18,11.1,14.7,7.6
2001/2/19,11.9,15.9,7.9
2001/2/20,10.4,14.7,6.0
2001/2/21,12.3,16.6,8.7
2001/2/22,13.8,17.5,10.6
2001/2/23,15.1,18.9,9.9
2001/2/24,16.7,20.9,10.9
2001/2/25,7.7,11.1,4.4
2001/2/26,6.0,10.2,2.4
2001/2/27,9.2,14.6,4.4
2001/2/28,13.7,17.7,7.8
2001/3/1,13.7,16.5,10.1
2001/3/2,8.5,12.4,4.9
2001/3/3,9.5,14.6,3.5
2001/3/4,11.0,14.9,4.3
2001/3/5,7.1,10.4,2.8
2001/3/6,11.8,14.9,6.9
2001/3/7,11.9,15.0,6.3
2001/3/8,5.4,9.8,1.2
2001/3/9,4.1,7.7,1.6
2001/3/10,7.5,12.7,1.4
2001/3/11,7.8,12.6,4.8
2001/3/12,8.5,13.7,4.9
2001/3/13,7.9,12.6,4.4
2001/3/14,12.9,16.4,8.0
2001/3/15,16.4,19.8,10.6
2001/3/16,10.4,14.2,6.3
2001/3/17,11.0,12.8,9.0
2001/3/18,14.2,17.0,11.1
2001/3/19,14.1,18.5,8.2
2001/3/20,15.3,19.8,10.5
2001/3/21,16.2,20.3,12.6
2001/3/22,16.0,19.9,10.4
2001/3/23,16.0,19.2,13.6
2001/3/24,16.0,18.8,13.2
2001/3/25,15.4,17.3,14.4
2001/3/26,15.6,18.8,13.3
2001/3/27,13.5,16.6,11.4
2001/3/28,13.5,16.8,11.9
2001/3/29,13.0,18.1,7.8
2001/3/30,9.3,13.0,6.5
2001/3/31,9.7,13.7,5.4
