ダウンロードした時刻：2019/10/10 16:26:11

,宮崎,宮崎,宮崎
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2010/12/1,13.3,18.1,10.4
2010/12/2,14.2,17.4,10.0
2010/12/3,13.4,17.6,7.9
2010/12/4,9.8,16.3,5.4
2010/12/5,10.7,19.0,4.0
2010/12/6,12.5,19.3,6.0
2010/12/7,11.2,14.1,8.9
2010/12/8,9.8,14.9,5.3
2010/12/9,8.1,12.0,2.7
2010/12/10,6.8,15.0,0.4
2010/12/11,11.1,18.9,4.6
2010/12/12,9.8,14.0,3.3
2010/12/13,13.0,18.3,8.1
2010/12/14,15.4,17.9,10.3
2010/12/15,7.7,10.4,5.1
2010/12/16,4.9,6.7,0.0
2010/12/17,5.5,13.0,-0.8
2010/12/18,8.9,15.3,3.7
2010/12/19,8.9,16.5,3.3
2010/12/20,13.5,20.9,6.9
2010/12/21,13.7,17.4,11.0
2010/12/22,13.0,18.5,8.7
2010/12/23,10.9,17.8,5.1
2010/12/24,8.7,13.1,4.1
2010/12/25,3.9,7.8,1.8
2010/12/26,4.4,8.5,1.1
2010/12/27,7.1,12.9,1.6
2010/12/28,9.2,16.9,1.7
2010/12/29,8.1,12.0,4.3
2010/12/30,6.6,11.6,2.5
2010/12/31,2.0,4.9,0.1
2011/1/1,3.6,7.6,0.0
2011/1/2,6.1,12.7,0.9
2011/1/3,6.3,12.4,2.2
2011/1/4,7.0,11.4,3.0
2011/1/5,6.8,11.8,1.5
2011/1/6,5.9,9.0,1.7
2011/1/7,4.3,10.5,-1.4
2011/1/8,5.3,12.9,-0.7
2011/1/9,6.1,11.3,2.1
2011/1/10,5.2,11.6,-0.6
2011/1/11,5.6,10.6,2.2
2011/1/12,5.2,10.7,2.3
2011/1/13,4.3,10.2,-0.2
2011/1/14,5.6,11.1,0.2
2011/1/15,4.4,9.7,0.1
2011/1/16,0.8,4.8,-2.3
2011/1/17,2.9,9.8,-3.8
2011/1/18,5.3,11.5,-0.8
2011/1/19,5.9,10.6,2.9
2011/1/20,5.7,8.9,2.1
2011/1/21,5.8,8.5,3.6
2011/1/22,6.2,14.2,0.7
2011/1/23,4.9,11.3,-0.9
2011/1/24,5.1,9.9,1.2
2011/1/25,4.7,11.3,-1.3
2011/1/26,5.2,11.0,1.7
2011/1/27,4.2,11.7,-1.9
2011/1/28,5.1,9.5,1.3
2011/1/29,5.1,9.9,1.7
2011/1/30,2.2,7.1,-1.2
2011/1/31,2.4,8.4,-2.8
2011/2/1,5.0,13.3,-1.3
2011/2/2,7.2,13.7,2.1
2011/2/3,6.7,14.0,0.5
2011/2/4,7.3,13.7,-0.1
2011/2/5,9.9,15.6,4.9
2011/2/6,8.8,17.0,2.0
2011/2/7,9.3,16.9,4.0
2011/2/8,8.8,14.9,3.7
2011/2/9,12.5,17.6,6.2
2011/2/10,7.3,11.0,4.6
2011/2/11,8.1,13.9,5.7
2011/2/12,4.4,7.4,1.4
2011/2/13,4.4,9.8,-1.4
2011/2/14,4.9,9.0,2.1
2011/2/15,6.3,11.2,2.2
2011/2/16,7.1,12.0,1.1
2011/2/17,11.4,16.0,7.5
2011/2/18,11.1,14.3,6.9
2011/2/19,7.7,12.4,1.7
2011/2/20,10.3,15.1,7.7
2011/2/21,9.4,14.3,4.4
2011/2/22,9.7,15.5,2.5
2011/2/23,12.4,16.2,9.1
2011/2/24,13.6,18.3,10.6
2011/2/25,14.3,22.9,7.9
2011/2/26,12.1,16.1,8.4
2011/2/27,13.2,17.0,9.3
2011/2/28,16.1,21.3,11.8
2011/3/1,13.5,17.4,9.4
2011/3/2,9.8,14.4,5.1
2011/3/3,6.2,11.9,1.1
2011/3/4,5.5,11.6,0.0
2011/3/5,7.7,15.3,-0.3
2011/3/6,10.1,12.2,7.2
2011/3/7,10.4,15.5,5.5
2011/3/8,8.2,14.6,2.3
2011/3/9,8.6,14.3,4.1
2011/3/10,6.9,13.9,0.0
2011/3/11,8.8,16.3,2.0
2011/3/12,9.2,14.7,3.0
2011/3/13,12.6,16.3,8.8
2011/3/14,15.0,20.4,10.1
2011/3/15,14.6,21.0,8.7
2011/3/16,7.3,11.9,3.6
2011/3/17,7.5,14.4,2.7
2011/3/18,6.8,12.5,-1.1
2011/3/19,13.4,19.3,8.4
2011/3/20,15.4,21.0,11.7
2011/3/21,16.4,22.3,12.3
2011/3/22,12.8,18.9,7.7
2011/3/23,9.1,14.9,3.8
2011/3/24,9.5,15.2,5.5
2011/3/25,8.6,14.0,4.3
2011/3/26,7.2,12.3,1.6
2011/3/27,7.7,13.1,2.2
2011/3/28,8.6,15.2,1.7
2011/3/29,10.1,16.8,3.9
2011/3/30,10.8,18.3,4.3
2011/3/31,12.0,19.0,3.8
