ダウンロードした時刻：2019/10/10 16:03:15

,松江,松江,松江
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1980/12/1,10.3,16.6,5.7
1980/12/2,10.4,16.4,2.0
1980/12/3,8.9,11.5,7.3
1980/12/4,4.8,7.7,1.8
1980/12/5,6.0,8.5,5.3
1980/12/6,6.8,13.0,1.7
1980/12/7,6.7,10.3,4.3
1980/12/8,6.1,8.6,3.1
1980/12/9,5.2,6.7,2.3
1980/12/10,6.4,11.0,3.1
1980/12/11,9.7,16.0,0.7
1980/12/12,4.5,13.5,0.1
1980/12/13,0.6,2.8,-1.7
1980/12/14,3.5,4.9,1.1
1980/12/15,3.7,7.4,2.0
1980/12/16,4.6,7.4,1.1
1980/12/17,6.2,10.3,4.0
1980/12/18,6.7,9.8,2.9
1980/12/19,4.9,7.4,2.9
1980/12/20,2.4,6.0,0.1
1980/12/21,1.4,2.9,0.2
1980/12/22,3.0,8.1,0.3
1980/12/23,3.0,8.6,-0.6
1980/12/24,4.7,8.4,0.1
1980/12/25,5.9,8.6,3.9
1980/12/26,2.6,6.2,-0.6
1980/12/27,0.6,2.3,-1.6
1980/12/28,-1.2,0.9,-2.2
1980/12/29,-0.8,1.1,-3.2
1980/12/30,0.2,1.0,-1.4
1980/12/31,0.7,4.8,-2.7
1981/1/1,2.9,7.6,-3.7
1981/1/2,2.2,5.6,0.4
1981/1/3,0.8,1.9,-0.2
1981/1/4,1.6,3.9,-0.1
1981/1/5,1.3,2.3,-0.2
1981/1/6,1.7,3.3,-0.5
1981/1/7,3.1,5.6,1.2
1981/1/8,2.7,8.4,-1.1
1981/1/9,3.4,7.0,-1.5
1981/1/10,2.0,6.5,-0.7
1981/1/11,-0.2,2.0,-1.6
1981/1/12,1.8,3.1,0.0
1981/1/13,1.0,3.0,-0.9
1981/1/14,1.5,3.5,-0.9
1981/1/15,0.8,3.0,-1.0
1981/1/16,1.9,3.8,-0.1
1981/1/17,1.9,5.8,-1.1
1981/1/18,1.5,5.1,-2.3
1981/1/19,3.2,5.7,0.0
1981/1/20,2.6,5.0,0.9
1981/1/21,1.4,6.6,-1.7
1981/1/22,0.0,2.9,-1.6
1981/1/23,0.9,6.2,-2.0
1981/1/24,2.6,4.6,-2.0
1981/1/25,4.2,7.3,1.6
1981/1/26,0.3,1.9,-0.7
1981/1/27,0.5,4.6,-1.8
1981/1/28,1.7,6.3,-0.9
1981/1/29,2.8,6.0,-1.6
1981/1/30,2.2,7.4,-1.3
1981/1/31,3.2,9.3,-2.0
1981/2/1,3.8,5.4,2.2
1981/2/2,3.3,7.1,-0.3
1981/2/3,1.9,4.8,-0.6
1981/2/4,1.1,3.1,-1.3
1981/2/5,1.9,7.6,-1.9
1981/2/6,3.0,9.3,-1.4
1981/2/7,3.4,7.0,-0.2
1981/2/8,4.3,6.8,2.6
1981/2/9,2.2,5.0,-0.5
1981/2/10,3.5,5.5,0.3
1981/2/11,3.7,6.8,-0.2
1981/2/12,5.1,9.1,-0.8
1981/2/13,8.2,11.0,4.9
1981/2/14,7.0,11.4,2.5
1981/2/15,7.1,15.9,-0.6
1981/2/16,7.1,13.3,1.8
1981/2/17,2.6,5.3,0.5
1981/2/18,5.9,13.7,-1.1
1981/2/19,5.5,7.8,2.3
1981/2/20,3.8,5.6,0.4
1981/2/21,2.9,7.1,-0.7
1981/2/22,3.0,8.3,-1.8
1981/2/23,4.4,6.0,0.2
1981/2/24,4.6,8.0,0.6
1981/2/25,-1.3,2.0,-3.9
1981/2/26,-5.3,-2.1,-7.8
1981/2/27,-2.7,1.5,-6.0
1981/2/28,0.7,6.4,-5.3
1981/3/1,2.7,5.2,0.5
1981/3/2,4.2,9.5,-0.2
1981/3/3,2.8,9.1,-2.7
1981/3/4,5.4,12.1,1.8
1981/3/5,3.9,9.8,-0.5
1981/3/6,3.3,8.4,-1.7
1981/3/7,6.7,12.5,-3.9
1981/3/8,7.0,12.4,4.9
1981/3/9,6.2,12.2,3.7
1981/3/10,3.1,5.8,0.4
1981/3/11,3.5,11.6,-2.7
1981/3/12,8.3,18.2,-1.9
1981/3/13,11.5,15.4,8.5
1981/3/14,12.8,16.4,10.0
1981/3/15,6.7,13.3,4.1
1981/3/16,5.7,11.3,1.3
1981/3/17,6.1,13.7,-0.8
1981/3/18,7.7,17.8,-0.5
1981/3/19,11.3,21.4,1.9
1981/3/20,12.5,19.8,6.4
1981/3/21,10.5,13.1,8.5
1981/3/22,11.4,16.2,8.7
1981/3/23,9.2,14.5,5.0
1981/3/24,9.4,13.8,3.3
1981/3/25,13.6,19.1,10.8
1981/3/26,8.7,12.2,6.1
1981/3/27,7.2,12.0,3.1
1981/3/28,7.2,14.0,1.6
1981/3/29,8.7,16.2,2.0
1981/3/30,8.7,13.2,6.7
1981/3/31,8.5,13.8,5.0
