ダウンロードした時刻：2019/10/10 15:54:27

,名古屋,名古屋,名古屋
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2013/12/1,8.3,14.1,3.1
2013/12/2,8.6,13.9,4.0
2013/12/3,8.7,14.5,3.6
2013/12/4,8.7,14.7,3.5
2013/12/5,9.6,15.5,4.6
2013/12/6,9.4,14.8,5.0
2013/12/7,8.6,13.0,5.7
2013/12/8,8.1,13.1,4.2
2013/12/9,7.2,12.4,1.2
2013/12/10,9.8,14.0,6.6
2013/12/11,7.8,11.7,5.5
2013/12/12,6.0,9.7,2.4
2013/12/13,4.4,9.6,1.4
2013/12/14,4.3,9.6,-0.2
2013/12/15,5.3,10.0,3.1
2013/12/16,6.0,9.9,3.1
2013/12/17,7.1,11.6,3.4
2013/12/18,6.4,7.8,5.6
2013/12/19,7.7,9.9,5.8
2013/12/20,5.8,8.5,3.8
2013/12/21,5.3,8.5,3.3
2013/12/22,5.2,9.1,2.0
2013/12/23,5.1,10.2,1.7
2013/12/24,5.0,11.4,0.3
2013/12/25,5.4,9.7,0.5
2013/12/26,6.1,8.9,3.0
2013/12/27,6.0,11.0,2.0
2013/12/28,1.8,5.1,0.0
2013/12/29,2.2,6.4,-1.0
2013/12/30,3.1,8.2,-1.8
2013/12/31,5.2,10.7,0.9
2014/1/1,6.1,12.1,1.8
2014/1/2,6.3,10.8,2.5
2014/1/3,5.5,10.8,1.5
2014/1/4,6.0,11.8,3.0
2014/1/5,3.7,9.1,0.0
2014/1/6,3.7,10.1,-1.1
2014/1/7,4.2,10.2,-1.2
2014/1/8,5.0,6.2,3.0
2014/1/9,6.1,11.6,0.8
2014/1/10,1.5,6.3,-1.5
2014/1/11,3.2,7.7,0.7
2014/1/12,4.7,9.2,0.2
2014/1/13,3.5,7.6,-0.2
2014/1/14,2.3,7.6,-1.9
2014/1/15,3.6,6.7,1.8
2014/1/16,4.4,10.0,-0.6
2014/1/17,4.8,10.8,1.9
2014/1/18,4.0,9.1,-0.4
2014/1/19,2.3,6.3,-0.2
2014/1/20,2.9,9.0,-2.1
2014/1/21,4.1,8.5,1.2
2014/1/22,3.0,8.3,-0.4
2014/1/23,4.1,11.0,-1.1
2014/1/24,4.7,11.9,-1.3
2014/1/25,7.1,12.0,1.9
2014/1/26,6.3,11.1,0.7
2014/1/27,2.9,8.2,-1.3
2014/1/28,5.4,11.4,-1.3
2014/1/29,7.0,12.6,2.6
2014/1/30,4.4,6.5,2.2
2014/1/31,8.3,12.8,3.5
2014/2/1,7.1,14.6,0.6
2014/2/2,8.4,12.9,5.4
2014/2/3,10.2,13.9,6.7
2014/2/4,6.0,12.4,0.4
2014/2/5,0.7,5.5,-1.6
2014/2/6,0.9,3.9,-2.8
2014/2/7,3.8,8.8,-1.0
2014/2/8,1.3,3.3,0.3
2014/2/9,5.1,10.3,0.9
2014/2/10,4.1,9.6,1.4
2014/2/11,2.9,9.8,-1.4
2014/2/12,4.0,10.7,-0.7
2014/2/13,4.7,10.5,0.6
2014/2/14,1.5,3.2,0.2
2014/2/15,4.7,9.3,2.2
2014/2/16,6.0,11.4,2.6
2014/2/17,5.6,11.7,0.5
2014/2/18,3.9,8.8,1.6
2014/2/19,4.0,9.4,0.8
2014/2/20,4.2,10.6,0.2
2014/2/21,4.0,10.2,0.2
2014/2/22,4.0,9.5,-0.1
2014/2/23,4.8,11.3,-0.4
2014/2/24,5.4,12.3,-0.5
2014/2/25,7.6,13.3,2.6
2014/2/26,9.3,16.2,2.0
2014/2/27,10.8,13.1,8.2
2014/2/28,12.8,18.6,9.5
2014/3/1,11.3,15.1,9.3
2014/3/2,10.2,15.6,7.8
2014/3/3,8.1,13.3,3.4
2014/3/4,6.7,10.9,2.4
2014/3/5,7.4,9.7,4.2
2014/3/6,3.7,7.9,1.1
2014/3/7,3.0,7.6,-0.8
2014/3/8,4.4,9.2,0.4
2014/3/9,5.8,11.0,1.4
2014/3/10,2.4,6.6,-0.4
2014/3/11,4.5,10.6,-1.6
2014/3/12,9.0,16.9,1.5
2014/3/13,10.4,15.0,7.0
2014/3/14,6.9,11.2,3.8
2014/3/15,6.6,11.6,2.1
2014/3/16,8.9,15.9,1.9
2014/3/17,11.5,18.8,3.9
2014/3/18,11.3,13.8,8.2
2014/3/19,11.0,16.6,5.5
2014/3/20,9.2,11.4,6.9
2014/3/21,6.2,9.9,3.4
2014/3/22,7.1,12.5,2.2
2014/3/23,10.1,17.5,2.6
2014/3/24,12.7,20.6,5.2
2014/3/25,14.9,21.5,8.0
2014/3/26,12.4,14.8,11.0
2014/3/27,14.8,20.1,11.2
2014/3/28,14.4,22.2,7.6
2014/3/29,15.1,20.8,9.9
2014/3/30,14.7,18.9,11.1
2014/3/31,12.9,18.8,9.5
