ダウンロードした時刻：2019/10/10 15:49:11

,高山,高山,高山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1994/12/1,4.4,10.5,-0.7
1994/12/2,10.3,16.7,6.0
1994/12/3,5.4,8.7,1.0
1994/12/4,2.7,6.1,1.2
1994/12/5,1.5,4.3,0.4
1994/12/6,1.5,5.0,0.0
1994/12/7,1.4,6.8,-1.1
1994/12/8,2.8,10.3,-0.1
1994/12/9,4.0,7.1,0.3
1994/12/10,2.9,7.2,-2.5
1994/12/11,0.8,3.2,-2.7
1994/12/12,6.7,11.5,3.1
1994/12/13,5.9,7.4,4.0
1994/12/14,1.8,4.4,0.3
1994/12/15,1.5,3.8,0.1
1994/12/16,-2.6,0.4,-6.2
1994/12/17,-2.2,3.8,-7.5
1994/12/18,0.5,5.2,-2.3
1994/12/19,-2.2,-0.5,-6.2
1994/12/20,-3.2,3.4,-8.5
1994/12/21,0.0,3.1,-1.9
1994/12/22,-0.8,6.2,-4.1
1994/12/23,-1.2,9.1,-5.0
1994/12/24,0.9,10.4,-5.6
1994/12/25,2.6,6.1,-1.7
1994/12/26,2.0,5.4,-1.8
1994/12/27,5.2,11.5,0.7
1994/12/28,3.6,9.8,0.7
1994/12/29,0.4,3.5,-3.8
1994/12/30,-0.1,7.1,-6.0
1994/12/31,0.5,4.2,-2.2
1995/1/1,-2.0,-0.2,-3.5
1995/1/2,-2.7,3.0,-7.8
1995/1/3,-3.3,0.6,-7.5
1995/1/4,1.5,2.3,0.5
1995/1/5,1.6,5.2,-2.0
1995/1/6,-1.9,0.1,-3.2
1995/1/7,-1.8,0.0,-5.3
1995/1/8,-1.9,5.4,-5.5
1995/1/9,0.5,9.7,-5.9
1995/1/10,0.0,2.7,-1.8
1995/1/11,-1.0,1.7,-3.1
1995/1/12,-0.2,3.8,-2.1
1995/1/13,-1.8,1.0,-3.9
1995/1/14,-4.1,-1.4,-5.4
1995/1/15,-4.4,-1.9,-5.8
1995/1/16,-4.1,0.3,-8.9
1995/1/17,-5.5,1.1,-9.9
1995/1/18,-3.1,4.1,-8.5
1995/1/19,-3.7,-0.1,-11.3
1995/1/20,-4.6,2.8,-11.6
1995/1/21,-0.4,7.0,-5.3
1995/1/22,0.4,1.5,-1.3
1995/1/23,2.3,5.9,0.3
1995/1/24,0.6,4.5,-1.8
1995/1/25,-2.1,1.7,-5.8
1995/1/26,-1.6,3.7,-6.0
1995/1/27,-2.7,2.2,-8.0
1995/1/28,-1.9,3.6,-6.5
1995/1/29,-1.8,3.1,-5.8
1995/1/30,-4.1,-1.5,-7.0
1995/1/31,-4.3,-1.2,-6.1
1995/2/1,-2.9,1.8,-6.8
1995/2/2,-3.2,3.3,-8.0
1995/2/3,-3.5,3.1,-9.4
1995/2/4,-4.3,2.3,-9.9
1995/2/5,-3.3,0.4,-6.0
1995/2/6,-2.1,2.4,-4.9
1995/2/7,-2.7,3.2,-7.5
1995/2/8,-1.2,5.0,-7.5
1995/2/9,1.2,5.9,-1.6
1995/2/10,-2.1,0.5,-6.1
1995/2/11,-2.3,7.5,-9.0
1995/2/12,-0.6,4.8,-6.5
1995/2/13,2.5,8.3,-0.8
1995/2/14,0.8,6.5,-4.9
1995/2/15,-1.1,7.1,-8.1
1995/2/16,-1.1,3.5,-4.9
1995/2/17,-3.2,1.2,-6.6
1995/2/18,-2.1,3.7,-7.8
1995/2/19,-0.5,6.0,-7.2
1995/2/20,-0.5,4.1,-3.7
1995/2/21,-1.9,1.6,-5.2
1995/2/22,-1.8,2.8,-5.6
1995/2/23,-1.0,9.2,-7.8
1995/2/24,0.2,4.5,-2.7
1995/2/25,0.0,6.8,-6.1
1995/2/26,1.4,5.6,-1.4
1995/2/27,1.5,5.4,-2.0
1995/2/28,2.3,10.2,-3.9
1995/3/1,2.2,6.1,0.3
1995/3/2,-0.1,3.7,-4.0
1995/3/3,-0.1,7.8,-7.3
1995/3/4,0.5,3.3,-2.4
1995/3/5,-0.9,4.5,-4.9
1995/3/6,0.5,6.8,-4.0
1995/3/7,0.4,10.1,-6.5
1995/3/8,1.0,9.8,-4.5
1995/3/9,2.7,10.1,-3.3
1995/3/10,2.3,4.1,0.2
1995/3/11,2.7,7.4,0.0
1995/3/12,3.9,11.3,0.3
1995/3/13,3.5,7.9,1.0
1995/3/14,3.4,8.0,-1.0
1995/3/15,6.1,14.8,0.5
1995/3/16,5.4,9.1,1.4
1995/3/17,9.6,16.9,3.4
1995/3/18,2.0,4.5,-1.9
1995/3/19,1.6,9.3,-2.9
1995/3/20,3.1,12.0,-2.7
1995/3/21,5.3,14.9,-3.7
1995/3/22,6.0,14.0,2.9
1995/3/23,7.6,16.1,2.4
1995/3/24,8.7,15.5,3.8
1995/3/25,3.0,7.0,0.3
1995/3/26,1.2,7.1,-2.3
1995/3/27,3.8,11.6,-4.1
1995/3/28,2.2,5.7,-1.7
1995/3/29,4.6,10.6,-2.1
1995/3/30,7.6,11.8,4.7
1995/3/31,8.7,14.8,2.7
