ダウンロードした時刻：2019/10/10 16:02:37

,三宅島,三宅島,三宅島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1998/12/1,15.7,17.7,12.8
1998/12/2,15.0,16.8,11.8
1998/12/3,11.7,14.0,10.3
1998/12/4,12.6,14.8,10.2
1998/12/5,15.1,17.5,13.7
1998/12/6,14.4,15.7,10.2
1998/12/7,14.5,17.4,13.0
1998/12/8,14.6,16.4,13.0
1998/12/9,12.9,13.8,11.6
1998/12/10,11.5,13.0,8.9
1998/12/11,12.0,12.9,9.1
1998/12/12,11.0,13.0,8.8
1998/12/13,12.7,14.5,9.8
1998/12/14,14.7,15.7,13.9
1998/12/15,15.1,15.9,14.4
1998/12/16,14.2,14.8,13.8
1998/12/17,13.2,16.6,8.7
1998/12/18,12.9,15.0,9.4
1998/12/19,14.2,16.4,9.0
1998/12/20,14.5,15.7,12.0
1998/12/21,10.6,12.6,7.6
1998/12/22,11.8,15.4,5.5
1998/12/23,13.5,16.0,8.9
1998/12/24,11.8,13.7,9.7
1998/12/25,10.0,12.4,6.0
1998/12/26,11.2,13.6,7.0
1998/12/27,10.5,13.6,6.8
1998/12/28,11.2,13.5,7.5
1998/12/29,11.8,16.1,6.2
1998/12/30,12.3,13.7,10.8
1998/12/31,10.2,11.2,8.1
1999/1/1,7.7,9.8,2.9
1999/1/2,9.9,11.3,7.8
1999/1/3,10.3,12.0,6.4
1999/1/4,10.0,11.4,7.3
1999/1/5,9.3,11.1,7.2
1999/1/6,12.3,14.7,7.3
1999/1/7,12.3,14.1,8.2
1999/1/8,6.0,8.5,3.9
1999/1/9,5.9,6.8,3.9
1999/1/10,7.2,8.2,6.0
1999/1/11,8.6,9.7,7.3
1999/1/12,8.8,10.2,7.4
1999/1/13,8.9,10.1,6.2
1999/1/14,9.6,10.5,8.6
1999/1/15,9.0,10.4,7.2
1999/1/16,9.4,10.9,6.0
1999/1/17,7.6,10.2,3.0
1999/1/18,9.7,12.4,4.0
1999/1/19,12.5,16.5,4.8
1999/1/20,13.3,15.3,11.7
1999/1/21,7.7,11.8,2.5
1999/1/22,9.8,11.5,2.6
1999/1/23,12.1,13.8,8.8
1999/1/24,10.3,14.5,8.2
1999/1/25,11.0,14.1,9.3
1999/1/26,12.5,14.1,8.6
1999/1/27,11.7,13.1,9.7
1999/1/28,12.7,14.2,10.2
1999/1/29,8.6,10.2,7.4
1999/1/30,7.6,8.5,6.7
1999/1/31,10.2,12.0,7.8
1999/2/1,9.7,12.9,5.8
1999/2/2,10.0,12.1,5.6
1999/2/3,6.0,8.2,1.2
1999/2/4,4.0,6.7,1.5
1999/2/5,7.3,9.1,0.9
1999/2/6,8.1,9.8,4.3
1999/2/7,10.3,11.9,8.0
1999/2/8,10.7,13.8,7.5
1999/2/9,11.2,13.1,7.1
1999/2/10,12.5,13.9,9.2
1999/2/11,11.6,15.9,7.5
1999/2/12,9.0,11.0,6.9
1999/2/13,6.6,8.1,5.2
1999/2/14,7.3,8.6,5.7
1999/2/15,9.2,11.4,5.8
1999/2/16,9.9,13.0,5.8
1999/2/17,13.3,15.0,8.0
1999/2/18,16.0,19.4,12.6
1999/2/19,11.5,14.7,7.7
1999/2/20,8.7,9.8,6.8
1999/2/21,7.9,9.6,6.5
1999/2/22,8.5,9.8,5.3
1999/2/23,9.8,12.1,5.8
1999/2/24,11.4,16.8,6.4
1999/2/25,12.4,14.7,8.0
1999/2/26,13.0,15.7,8.3
1999/2/27,13.8,18.5,7.4
1999/2/28,8.3,10.5,5.4
1999/3/1,12.0,14.6,8.7
1999/3/2,13.7,14.7,12.2
1999/3/3,13.6,16.1,10.7
1999/3/4,14.3,16.4,11.3
1999/3/5,15.7,20.7,11.0
1999/3/6,15.1,16.9,13.5
1999/3/7,12.4,15.3,8.8
1999/3/8,10.0,11.8,7.5
1999/3/9,11.5,13.2,9.0
1999/3/10,10.1,12.3,8.5
1999/3/11,9.6,12.1,7.6
1999/3/12,9.6,10.9,8.7
1999/3/13,11.8,14.3,9.9
1999/3/14,15.1,16.6,12.0
1999/3/15,17.0,19.1,12.8
1999/3/16,14.6,18.9,11.7
1999/3/17,13.8,18.9,9.4
1999/3/18,16.4,20.9,10.9
1999/3/19,17.7,19.2,15.5
1999/3/20,10.0,15.7,5.9
1999/3/21,11.4,15.5,8.8
1999/3/22,11.0,16.5,7.8
1999/3/23,9.6,11.5,6.5
1999/3/24,13.1,16.1,9.1
1999/3/25,15.8,19.2,13.4
1999/3/26,16.3,18.8,14.5
1999/3/27,16.1,19.2,11.5
1999/3/28,11.3,13.2,10.1
1999/3/29,9.2,11.5,6.9
1999/3/30,10.5,12.4,6.8
1999/3/31,12.2,14.0,10.5
