ダウンロードした時刻：2017/07/24 15:43:01

,松江,松江,松江
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2000/1/1,7.1,9.2,5.0
2000/1/2,7.2,13.0,1.7
2000/1/3,8.6,12.0,3.9
2000/1/4,5.9,12.3,2.1
2000/1/5,7.1,14.7,0.3
2000/1/6,13.1,18.6,7.8
2000/1/7,6.0,9.5,3.4
2000/1/8,5.0,6.3,3.1
2000/1/9,6.8,9.8,5.0
2000/1/10,7.7,10.7,5.3
2000/1/11,6.4,8.1,4.5
2000/1/12,6.9,8.5,5.8
2000/1/13,8.6,11.3,6.1
2000/1/14,7.1,10.2,3.7
2000/1/15,6.2,9.7,3.0
2000/1/16,5.5,7.8,2.1
2000/1/17,6.7,10.5,3.9
2000/1/18,5.5,8.6,2.0
2000/1/19,3.0,5.4,0.5
2000/1/20,-0.1,3.1,-2.2
2000/1/21,0.7,3.5,-0.9
2000/1/22,2.0,4.9,-0.5
2000/1/23,4.1,5.9,1.9
2000/1/24,6.1,8.5,4.6
2000/1/25,2.3,4.9,0.2
2000/1/26,0.4,2.7,-0.5
2000/1/27,-0.7,1.8,-1.8
2000/1/28,1.0,6.1,-1.9
2000/1/29,1.1,8.1,-4.0
2000/1/30,4.7,8.3,0.7
2000/1/31,2.0,4.4,0.1
2000/2/1,2.4,5.6,0.2
2000/2/2,4.1,8.7,0.3
2000/2/3,3.6,8.3,-0.7
2000/2/4,4.4,7.0,1.9
2000/2/5,4.6,9.7,-0.9
2000/2/6,6.2,7.9,4.2
2000/2/7,6.2,7.7,4.0
2000/2/8,1.2,4.5,-2.5
2000/2/9,1.9,5.6,-0.7
2000/2/10,3.7,9.4,-0.7
2000/2/11,6.0,10.8,0.5
2000/2/12,6.8,12.1,3.1
2000/2/13,5.5,11.9,1.8
2000/2/14,6.3,11.5,2.9
2000/2/15,1.6,6.3,-0.7
2000/2/16,0.4,1.8,-1.4
2000/2/17,1.8,5.7,-0.9
2000/2/18,3.7,7.3,1.6
2000/2/19,3.8,7.7,0.8
2000/2/20,3.7,7.7,2.0
2000/2/21,1.9,4.3,0.0
2000/2/22,2.6,5.6,0.7
2000/2/23,4.1,9.4,-0.6
2000/2/24,2.6,6.9,-0.2
2000/2/25,1.7,5.9,-0.5
2000/2/26,1.8,4.4,-0.8
2000/2/27,3.4,7.1,-0.7
2000/2/28,4.1,8.7,-0.4
2000/2/29,3.0,7.5,-1.0
2000/3/1,4.3,11.5,-1.7
2000/3/2,6.1,14.5,-0.3
2000/3/3,8.1,17.8,-0.3
2000/3/4,8.9,10.9,6.7
2000/3/5,7.6,13.6,4.5
2000/3/6,7.0,13.8,1.2
2000/3/7,6.6,10.1,2.8
2000/3/8,4.3,6.7,2.3
2000/3/9,4.2,7.8,0.5
2000/3/10,4.8,10.9,1.5
2000/3/11,5.3,10.1,2.2
2000/3/12,8.0,14.0,4.3
2000/3/13,7.3,12.3,2.8
2000/3/14,6.1,12.9,0.6
2000/3/15,7.5,16.0,-0.4
2000/3/16,7.9,9.4,6.3
2000/3/17,7.4,12.2,2.4
2000/3/18,8.5,16.8,0.0
2000/3/19,9.4,13.2,7.3
2000/3/20,6.5,11.2,1.5
2000/3/21,7.4,14.9,0.3
2000/3/22,7.9,12.0,3.2
2000/3/23,7.4,13.8,0.3
2000/3/24,9.0,10.9,7.3
2000/3/25,7.2,10.2,3.2
2000/3/26,8.0,13.0,3.8
2000/3/27,11.6,18.4,4.6
2000/3/28,11.5,15.7,7.7
2000/3/29,8.3,9.1,7.3
2000/3/30,9.3,14.3,5.9
2000/3/31,10.5,15.5,4.0
2000/4/1,9.7,16.4,4.0
2000/4/2,9.4,16.6,2.1
2000/4/3,12.3,18.9,7.8
2000/4/4,12.3,17.2,6.0
2000/4/5,11.7,16.8,8.0
2000/4/6,9.2,15.0,3.9
2000/4/7,12.1,18.5,4.0
2000/4/8,11.1,15.5,6.7
2000/4/9,13.1,21.1,3.4
2000/4/10,14.3,19.4,9.3
2000/4/11,10.9,13.9,7.8
2000/4/12,14.0,17.5,11.4
2000/4/13,15.5,18.6,11.4
2000/4/14,15.6,19.4,12.0
2000/4/15,10.4,12.0,8.2
2000/4/16,9.5,14.3,5.2
2000/4/17,12.0,18.1,4.5
2000/4/18,15.1,19.8,8.2
2000/4/19,14.2,18.8,11.6
2000/4/20,13.6,16.3,11.8
2000/4/21,13.2,17.8,10.7
2000/4/22,16.4,19.7,13.0
2000/4/23,14.4,17.7,11.3
2000/4/24,13.6,17.9,8.9
2000/4/25,14.8,21.2,7.9
2000/4/26,14.7,20.0,11.4
2000/4/27,11.6,14.2,9.4
2000/4/28,10.8,15.2,7.1
2000/4/29,13.3,20.6,5.7
2000/4/30,12.6,16.4,9.0
2000/5/1,15.5,21.6,9.8
