ダウンロードした時刻：2017/07/24 15:43:07

,米子,米子,米子
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1989/1/1,6.2,9.3,3.5
1989/1/2,5.4,11.2,-0.7
1989/1/3,8.2,10.0,5.1
1989/1/4,6.2,7.5,5.2
1989/1/5,3.8,8.0,-1.1
1989/1/6,3.9,9.7,-3.3
1989/1/7,9.5,12.9,4.4
1989/1/8,11.8,13.3,10.7
1989/1/9,11.4,12.7,10.7
1989/1/10,9.2,12.1,4.9
1989/1/11,6.8,8.9,2.9
1989/1/12,6.4,9.7,4.6
1989/1/13,5.7,7.7,3.4
1989/1/14,4.9,8.9,3.2
1989/1/15,2.7,6.0,-0.5
1989/1/16,3.8,10.6,-2.0
1989/1/17,5.0,10.6,0.3
1989/1/18,6.0,11.2,-0.5
1989/1/19,14.2,16.8,11.1
1989/1/20,11.5,14.6,8.9
1989/1/21,8.8,10.8,6.8
1989/1/22,7.0,8.2,5.2
1989/1/23,6.4,8.5,3.5
1989/1/24,6.4,8.8,3.2
1989/1/25,5.9,10.2,1.6
1989/1/26,6.9,10.0,3.2
1989/1/27,2.2,8.0,-0.2
1989/1/28,0.8,2.9,-0.3
1989/1/29,2.1,6.2,-0.3
1989/1/30,4.8,10.9,-0.8
1989/1/31,7.8,13.8,-0.2
1989/2/1,5.2,8.4,2.8
1989/2/2,2.1,4.6,-0.2
1989/2/3,2.2,5.8,-0.2
1989/2/4,3.3,7.0,1.0
1989/2/5,3.5,9.3,-1.1
1989/2/6,5.8,12.9,-0.2
1989/2/7,5.9,9.5,3.0
1989/2/8,7.6,9.1,3.6
1989/2/9,7.8,10.2,5.1
1989/2/10,2.8,5.3,0.6
1989/2/11,3.6,6.7,0.3
1989/2/12,3.1,5.9,1.1
1989/2/13,2.8,7.2,-0.5
1989/2/14,4.6,9.5,1.0
1989/2/15,7.7,15.2,-0.6
1989/2/16,10.4,14.3,7.0
1989/2/17,8.5,10.1,7.5
1989/2/18,6.9,8.2,6.4
1989/2/19,5.6,8.6,0.4
1989/2/20,7.2,15.2,-1.2
1989/2/21,7.3,8.7,6.3
1989/2/22,5.7,6.8,4.7
1989/2/23,5.4,7.8,3.7
1989/2/24,6.4,8.1,4.0
1989/2/25,7.4,8.6,5.4
1989/2/26,4.8,7.7,0.7
1989/2/27,6.8,11.4,-1.3
1989/2/28,13.1,18.1,9.7
1989/3/1,8.0,13.4,4.7
1989/3/2,8.3,13.7,-0.6
1989/3/3,15.9,19.7,12.4
1989/3/4,11.0,19.7,7.0
1989/3/5,6.2,7.8,3.3
1989/3/6,5.3,10.3,1.4
1989/3/7,2.9,5.8,0.4
1989/3/8,1.9,4.3,-0.1
1989/3/9,2.9,8.3,-1.7
1989/3/10,5.7,12.3,-0.7
1989/3/11,8.3,13.2,1.4
1989/3/12,10.4,16.6,4.2
1989/3/13,11.1,13.3,8.5
1989/3/14,10.6,16.4,6.0
1989/3/15,9.1,14.1,4.4
1989/3/16,7.5,11.4,2.9
1989/3/17,6.9,9.7,4.9
1989/3/18,6.8,10.9,1.0
1989/3/19,4.9,10.4,-1.3
1989/3/20,5.9,9.4,-0.5
1989/3/21,7.9,10.2,5.9
1989/3/22,7.3,10.6,5.5
1989/3/23,7.2,10.1,4.4
1989/3/24,9.7,12.5,5.9
1989/3/25,8.8,11.1,7.3
1989/3/26,6.2,9.9,1.8
1989/3/27,8.0,12.0,1.6
1989/3/28,7.4,10.4,4.4
1989/3/29,8.4,14.9,1.4
1989/3/30,11.5,18.1,4.3
1989/3/31,14.7,20.6,9.3
1989/4/1,12.6,20.8,6.0
1989/4/2,13.3,20.0,4.0
1989/4/3,15.3,23.6,9.6
1989/4/4,10.0,13.3,5.8
1989/4/5,9.1,15.3,2.1
1989/4/6,9.8,15.2,2.5
1989/4/7,15.1,23.3,4.4
1989/4/8,13.4,17.0,9.6
1989/4/9,11.8,17.1,6.4
1989/4/10,13.6,20.7,8.8
1989/4/11,8.1,11.2,4.3
1989/4/12,9.9,15.2,4.1
1989/4/13,10.8,15.3,5.9
1989/4/14,13.5,20.9,4.9
1989/4/15,14.3,14.9,12.9
1989/4/16,12.8,18.6,10.2
1989/4/17,13.9,19.6,7.7
1989/4/18,16.3,22.2,10.3
1989/4/19,15.6,21.9,9.8
1989/4/20,16.0,24.6,10.4
1989/4/21,15.9,22.4,8.0
1989/4/22,19.1,25.0,15.1
1989/4/23,16.0,17.7,13.9
1989/4/24,13.0,13.9,11.9
1989/4/25,10.6,14.3,6.2
1989/4/26,13.9,22.1,5.1
1989/4/27,15.6,26.7,10.5
1989/4/28,10.5,13.7,5.7
1989/4/29,10.7,18.1,2.0
1989/4/30,14.9,21.3,8.0
1989/5/1,14.4,18.8,12.8
