ダウンロードした時刻：2019/10/10 15:41:20

,白河,白河,白河
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1985/12/1,2.0,9.3,-4.0
1985/12/2,4.2,11.6,-3.6
1985/12/3,4.9,10.7,0.4
1985/12/4,5.2,11.5,-1.3
1985/12/5,7.2,10.7,2.3
1985/12/6,6.7,14.1,1.4
1985/12/7,1.9,3.7,1.3
1985/12/8,3.8,7.3,0.8
1985/12/9,1.7,7.9,-1.1
1985/12/10,-1.8,1.3,-3.3
1985/12/11,-0.5,4.7,-3.7
1985/12/12,-0.7,5.7,-6.3
1985/12/13,-0.6,6.0,-6.5
1985/12/14,0.6,8.1,-5.2
1985/12/15,-0.8,1.8,-3.2
1985/12/16,-2.6,2.6,-7.4
1985/12/17,-3.1,1.9,-9.5
1985/12/18,-1.3,2.6,-5.2
1985/12/19,0.0,6.2,-7.2
1985/12/20,-0.4,1.9,-1.9
1985/12/21,-0.7,2.7,-4.6
1985/12/22,0.0,3.3,-6.5
1985/12/23,3.4,10.2,-2.4
1985/12/24,-0.5,1.8,-2.4
1985/12/25,0.8,4.3,-2.9
1985/12/26,1.7,5.3,-0.2
1985/12/27,0.1,3.8,-3.0
1985/12/28,0.6,5.1,-4.4
1985/12/29,0.4,8.5,-7.2
1985/12/30,9.6,15.0,1.5
1985/12/31,5.3,11.4,-0.6
1986/1/1,3.1,8.3,-1.4
1986/1/2,0.8,6.9,-5.4
1986/1/3,-0.3,4.4,-5.7
1986/1/4,2.6,6.7,-1.6
1986/1/5,0.5,4.6,-4.6
1986/1/6,-2.5,1.7,-7.4
1986/1/7,-1.4,5.7,-5.8
1986/1/8,0.9,9.0,-7.1
1986/1/9,-0.5,4.4,-3.2
1986/1/10,-2.6,1.6,-6.0
1986/1/11,-3.3,2.3,-9.6
1986/1/12,-2.9,1.4,-7.0
1986/1/13,-2.7,3.2,-10.1
1986/1/14,-2.3,-0.2,-4.1
1986/1/15,0.4,4.0,-3.0
1986/1/16,-1.2,4.7,-5.8
1986/1/17,1.1,7.0,-5.5
1986/1/18,1.8,5.1,-0.7
1986/1/19,-0.4,6.1,-5.8
1986/1/20,0.5,8.2,-8.7
1986/1/21,-0.4,1.8,-2.3
1986/1/22,-4.9,-1.9,-7.9
1986/1/23,-4.0,1.5,-8.4
1986/1/24,-4.1,-0.7,-8.4
1986/1/25,-4.6,-0.9,-8.5
1986/1/26,-5.3,-1.7,-9.6
1986/1/27,-4.0,0.3,-8.6
1986/1/28,-2.3,4.7,-7.6
1986/1/29,-1.7,3.0,-6.5
1986/1/30,-2.7,3.3,-9.2
1986/1/31,-0.2,3.0,-3.2
1986/2/1,-2.2,2.2,-7.8
1986/2/2,-3.3,3.5,-8.8
1986/2/3,-1.6,5.3,-7.2
1986/2/4,-2.8,1.5,-7.1
1986/2/5,-4.0,1.9,-10.5
1986/2/6,-3.3,1.5,-8.0
1986/2/7,-3.0,1.6,-7.0
1986/2/8,-2.7,3.0,-7.9
1986/2/9,-2.3,2.6,-5.3
1986/2/10,-3.3,0.4,-7.1
1986/2/11,-2.8,2.6,-9.9
1986/2/12,-0.3,3.8,-3.1
1986/2/13,2.2,9.0,-3.5
1986/2/14,3.9,9.7,-0.7
1986/2/15,1.0,2.7,-1.2
1986/2/16,-3.2,-0.4,-5.4
1986/2/17,-1.5,2.5,-5.7
1986/2/18,-2.1,1.8,-6.7
1986/2/19,-1.4,0.2,-3.3
1986/2/20,-0.1,3.4,-5.7
1986/2/21,-1.6,2.2,-5.9
1986/2/22,-0.7,3.3,-4.7
1986/2/23,0.5,7.0,-8.4
1986/2/24,-1.0,2.2,-4.9
1986/2/25,-2.6,0.7,-4.7
1986/2/26,-0.8,3.2,-4.6
1986/2/27,0.0,6.2,-5.9
1986/2/28,-0.8,0.8,-2.8
1986/3/1,-0.4,4.0,-4.3
1986/3/2,0.2,5.1,-5.5
1986/3/3,-0.8,4.1,-4.2
1986/3/4,-0.9,3.7,-4.4
1986/3/5,0.0,3.6,-2.8
1986/3/6,1.2,5.4,-1.5
1986/3/7,3.3,10.3,-1.7
1986/3/8,4.6,12.2,-0.6
1986/3/9,6.5,16.1,-1.6
1986/3/10,6.9,11.5,0.7
1986/3/11,3.4,8.0,0.3
1986/3/12,3.3,7.5,0.1
1986/3/13,5.6,9.6,0.6
1986/3/14,1.5,4.0,-0.5
1986/3/15,0.9,1.7,-0.5
1986/3/16,4.5,12.9,0.7
1986/3/17,2.0,4.9,0.6
1986/3/18,2.4,6.9,-1.9
1986/3/19,1.5,2.5,0.4
1986/3/20,4.6,7.0,0.6
1986/3/21,2.7,6.4,-1.2
1986/3/22,2.5,7.3,-2.6
1986/3/23,-0.1,1.4,-1.0
1986/3/24,2.4,3.8,0.9
1986/3/25,1.3,5.0,-2.8
1986/3/26,1.9,8.8,-5.5
1986/3/27,6.9,14.5,-1.4
1986/3/28,2.7,7.3,0.4
1986/3/29,2.0,6.1,-0.1
1986/3/30,4.0,9.1,-2.0
1986/3/31,6.0,9.9,2.6
