ダウンロードした時刻：2019/10/10 15:56:41

,銚子,銚子,銚子
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2016/12/1,12.8,17.0,7.9
2016/12/2,12.3,16.4,9.0
2016/12/3,12.9,17.8,7.2
2016/12/4,14.3,17.9,9.4
2016/12/5,13.8,17.2,10.8
2016/12/6,11.9,17.5,7.2
2016/12/7,9.7,12.2,7.3
2016/12/8,9.5,13.5,4.3
2016/12/9,13.0,17.8,8.2
2016/12/10,9.4,12.7,6.4
2016/12/11,6.9,10.4,3.3
2016/12/12,7.7,12.1,2.7
2016/12/13,11.6,16.1,6.1
2016/12/14,10.1,15.3,5.8
2016/12/15,6.6,10.3,3.6
2016/12/16,5.7,9.8,3.0
2016/12/17,7.8,13.9,2.3
2016/12/18,9.1,13.7,5.2
2016/12/19,11.0,15.7,7.0
2016/12/20,10.1,15.0,6.3
2016/12/21,12.1,17.4,6.7
2016/12/22,18.6,20.6,14.2
2016/12/23,15.9,20.2,8.9
2016/12/24,9.2,11.8,6.5
2016/12/25,8.7,11.9,5.2
2016/12/26,8.9,13.7,3.9
2016/12/27,14.1,18.4,6.9
2016/12/28,7.3,9.4,4.5
2016/12/29,6.1,12.2,1.6
2016/12/30,6.0,9.2,2.7
2016/12/31,6.9,12.2,2.0
2017/1/1,8.6,13.6,4.2
2017/1/2,8.8,15.0,5.1
2017/1/3,8.9,12.5,4.6
2017/1/4,8.9,14.1,5.1
2017/1/5,6.6,10.7,4.0
2017/1/6,5.8,8.9,2.9
2017/1/7,5.9,11.2,2.0
2017/1/8,9.8,13.3,3.0
2017/1/9,9.7,13.9,5.5
2017/1/10,8.3,12.5,3.9
2017/1/11,7.5,10.8,3.9
2017/1/12,6.7,11.5,2.7
2017/1/13,7.4,12.7,3.6
2017/1/14,3.1,7.9,-1.2
2017/1/15,1.0,4.9,-1.8
2017/1/16,3.2,6.9,-0.7
2017/1/17,5.6,9.5,1.3
2017/1/18,6.6,10.5,1.3
2017/1/19,7.4,10.3,3.7
2017/1/20,6.8,9.9,3.0
2017/1/21,7.0,10.6,3.2
2017/1/22,7.4,13.8,3.0
2017/1/23,4.1,7.5,0.5
2017/1/24,2.5,6.3,-0.6
2017/1/25,3.4,8.1,-1.1
2017/1/26,5.6,10.0,-0.2
2017/1/27,11.8,16.0,8.0
2017/1/28,9.9,12.6,4.9
2017/1/29,11.1,12.8,9.6
2017/1/30,12.3,20.4,7.1
2017/1/31,5.8,8.5,3.1
2017/2/1,7.2,12.5,3.3
2017/2/2,4.5,8.2,1.1
2017/2/3,6.7,11.8,2.9
2017/2/4,7.4,11.5,2.2
2017/2/5,9.5,13.8,6.2
2017/2/6,9.0,15.3,4.8
2017/2/7,5.1,9.4,2.2
2017/2/8,5.7,8.8,1.8
2017/2/9,5.9,8.2,2.9
2017/2/10,4.9,10.0,2.2
2017/2/11,4.4,10.0,-0.2
2017/2/12,5.4,11.0,1.8
2017/2/13,5.2,9.6,1.1
2017/2/14,5.7,9.7,1.3
2017/2/15,5.9,9.9,1.2
2017/2/16,8.3,13.4,2.4
2017/2/17,13.8,18.3,7.4
2017/2/18,8.1,11.7,6.9
2017/2/19,6.2,10.6,1.4
2017/2/20,11.6,16.8,5.1
2017/2/21,5.4,9.3,1.9
2017/2/22,7.3,11.6,0.5
2017/2/23,13.5,17.0,10.6
2017/2/24,8.1,10.9,6.0
2017/2/25,7.1,10.2,3.0
2017/2/26,8.8,12.2,4.3
2017/2/27,6.4,9.4,4.9
2017/2/28,5.7,7.8,4.8
2017/3/1,7.3,9.8,2.7
2017/3/2,8.6,9.6,7.4
2017/3/3,9.6,15.8,5.6
2017/3/4,10.1,13.5,6.6
2017/3/5,11.3,13.8,5.9
2017/3/6,10.1,12.9,8.1
2017/3/7,6.5,8.7,4.0
2017/3/8,6.4,11.7,1.8
2017/3/9,8.1,12.3,2.5
2017/3/10,8.8,12.2,4.8
2017/3/11,7.4,9.4,6.1
2017/3/12,7.7,9.9,6.0
2017/3/13,10.1,12.3,8.3
2017/3/14,10.1,11.8,6.5
2017/3/15,5.7,7.1,3.8
2017/3/16,8.2,11.3,3.2
2017/3/17,8.8,12.2,4.1
2017/3/18,9.4,12.5,4.1
2017/3/19,10.7,14.3,6.0
2017/3/20,11.0,14.7,6.2
2017/3/21,10.7,12.9,8.2
2017/3/22,9.7,13.5,6.6
2017/3/23,9.8,13.8,5.9
2017/3/24,7.6,10.1,4.9
2017/3/25,7.7,10.1,3.8
2017/3/26,9.5,10.9,7.7
2017/3/27,7.5,10.7,3.3
2017/3/28,8.3,12.1,3.3
2017/3/29,9.8,11.9,7.6
2017/3/30,12.9,17.0,7.0
2017/3/31,9.4,11.2,7.2
