ダウンロードした時刻：2019/10/10 15:49:25

,松本,松本,松本
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1980/12/1,7.3,13.1,1.6
1980/12/2,7.4,15.7,-1.8
1980/12/3,9.9,14.6,6.3
1980/12/4,5.0,9.7,2.2
1980/12/5,3.9,9.1,-0.2
1980/12/6,2.8,10.0,-3.7
1980/12/7,3.3,10.0,-1.8
1980/12/8,2.0,8.7,-2.5
1980/12/9,4.4,8.8,-2.0
1980/12/10,3.4,9.4,-1.4
1980/12/11,4.0,12.4,-5.0
1980/12/12,6.2,10.1,1.2
1980/12/13,-0.2,1.3,-1.6
1980/12/14,-0.6,2.3,-2.9
1980/12/15,-1.2,2.1,-5.6
1980/12/16,-4.3,0.6,-9.0
1980/12/17,-0.5,6.2,-6.0
1980/12/18,1.9,9.0,-5.5
1980/12/19,0.5,4.2,-3.1
1980/12/20,-2.1,3.7,-4.6
1980/12/21,-2.6,3.4,-6.2
1980/12/22,-2.9,4.0,-8.9
1980/12/23,-2.9,-0.5,-7.6
1980/12/24,0.6,2.2,-1.6
1980/12/25,1.4,5.7,-3.7
1980/12/26,1.5,5.0,-4.4
1980/12/27,-2.4,1.0,-6.0
1980/12/28,-3.1,-2.0,-4.2
1980/12/29,-2.6,2.1,-7.4
1980/12/30,-4.9,3.0,-9.5
1980/12/31,-6.4,0.3,-12.1
1981/1/1,-6.0,-0.5,-14.1
1981/1/2,0.7,7.0,-1.9
1981/1/3,-1.1,0.7,-2.6
1981/1/4,-1.3,3.1,-5.4
1981/1/5,-3.3,0.3,-6.6
1981/1/6,-3.9,0.9,-8.4
1981/1/7,-3.1,1.5,-7.7
1981/1/8,-3.8,4.0,-9.9
1981/1/9,-3.3,3.6,-11.3
1981/1/10,0.7,4.2,-3.5
1981/1/11,-3.0,-0.1,-5.7
1981/1/12,-2.7,1.0,-6.2
1981/1/13,-4.7,-1.8,-9.0
1981/1/14,-3.8,2.2,-10.3
1981/1/15,-3.7,1.9,-9.4
1981/1/16,-3.1,2.5,-7.1
1981/1/17,-5.5,1.0,-11.3
1981/1/18,-3.8,3.0,-12.0
1981/1/19,0.1,4.9,-4.4
1981/1/20,-3.5,1.6,-6.9
1981/1/21,-4.0,1.9,-9.6
1981/1/22,-4.9,0.5,-9.6
1981/1/23,-5.8,1.7,-12.3
1981/1/24,1.4,7.1,-8.0
1981/1/25,-0.8,3.1,-3.9
1981/1/26,-4.1,0.5,-7.8
1981/1/27,-5.5,1.4,-11.2
1981/1/28,-5.0,1.7,-10.5
1981/1/29,-3.4,3.5,-10.9
1981/1/30,-2.7,2.3,-7.2
1981/1/31,-4.4,2.5,-10.7
1981/2/1,-2.7,-0.6,-6.0
1981/2/2,-2.4,3.7,-7.8
1981/2/3,-1.0,6.4,-6.8
1981/2/4,-2.5,2.0,-5.3
1981/2/5,-3.6,3.2,-9.1
1981/2/6,-3.1,3.6,-8.6
1981/2/7,-2.7,4.9,-8.5
1981/2/8,-0.9,5.6,-5.9
1981/2/9,0.4,7.0,-5.7
1981/2/10,0.2,6.4,-4.6
1981/2/11,-2.0,2.3,-5.9
1981/2/12,-1.4,7.1,-9.0
1981/2/13,2.6,10.6,-4.1
1981/2/14,4.1,8.8,0.6
1981/2/15,8.0,13.5,-0.4
1981/2/16,5.3,11.1,0.9
1981/2/17,-2.5,1.0,-8.5
1981/2/18,-2.1,6.5,-13.5
1981/2/19,3.2,8.5,-3.2
1981/2/20,-1.1,3.2,-4.9
1981/2/21,-2.3,3.8,-6.4
1981/2/22,-2.9,2.5,-8.7
1981/2/23,-2.4,-0.2,-4.9
1981/2/24,0.1,4.2,-3.5
1981/2/25,-4.4,0.0,-8.7
1981/2/26,-7.9,-4.0,-10.1
1981/2/27,-7.9,-4.2,-12.1
1981/2/28,-9.0,-2.2,-16.3
1981/3/1,-2.6,3.6,-9.7
1981/3/2,-1.1,4.5,-5.4
1981/3/3,0.9,9.6,-9.3
1981/3/4,2.8,5.0,1.3
1981/3/5,1.9,7.5,-1.8
1981/3/6,0.8,6.0,-2.8
1981/3/7,2.3,9.9,-6.5
1981/3/8,2.7,8.9,-2.4
1981/3/9,-0.3,1.2,-2.8
1981/3/10,0.1,3.9,-3.8
1981/3/11,-1.2,4.9,-6.5
1981/3/12,4.0,14.7,-5.4
1981/3/13,5.4,12.5,-2.3
1981/3/14,9.5,15.3,4.3
1981/3/15,7.2,14.4,0.7
1981/3/16,2.3,8.4,-2.4
1981/3/17,1.4,8.6,-4.4
1981/3/18,4.8,16.1,-4.0
1981/3/19,9.0,20.0,-2.0
1981/3/20,10.4,18.1,5.3
1981/3/21,6.9,10.9,3.9
1981/3/22,7.9,16.2,3.5
1981/3/23,5.6,12.0,0.3
1981/3/24,7.7,16.8,-1.6
1981/3/25,12.6,17.6,8.4
1981/3/26,8.8,16.1,2.2
1981/3/27,4.0,10.9,0.8
1981/3/28,3.7,12.9,-1.2
1981/3/29,4.8,13.4,-2.3
1981/3/30,4.8,11.4,-0.2
1981/3/31,1.0,3.1,-0.6
