ダウンロードした時刻：2019/10/10 16:02:32

,三宅島,三宅島,三宅島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1994/12/1,14.7,18.4,12.1
1994/12/2,18.0,19.4,13.5
1994/12/3,16.1,19.4,13.8
1994/12/4,13.2,14.3,12.3
1994/12/5,13.6,14.9,12.4
1994/12/6,12.9,14.2,11.1
1994/12/7,15.3,18.4,13.0
1994/12/8,14.4,17.9,9.3
1994/12/9,18.0,20.8,14.7
1994/12/10,14.1,18.0,11.4
1994/12/11,14.9,17.3,13.6
1994/12/12,14.4,17.2,11.9
1994/12/13,17.3,19.1,15.4
1994/12/14,12.4,16.1,10.7
1994/12/15,12.9,14.0,10.8
1994/12/16,9.4,12.4,6.9
1994/12/17,7.7,10.3,4.4
1994/12/18,11.0,12.0,9.8
1994/12/19,9.5,11.0,6.0
1994/12/20,10.0,12.9,8.0
1994/12/21,13.2,14.3,11.2
1994/12/22,12.5,14.9,11.0
1994/12/23,12.9,16.3,9.5
1994/12/24,16.4,18.3,11.6
1994/12/25,16.7,18.5,13.9
1994/12/26,13.9,14.9,12.8
1994/12/27,15.3,16.9,12.9
1994/12/28,14.4,16.2,12.8
1994/12/29,12.8,14.1,11.1
1994/12/30,11.9,13.9,10.4
1994/12/31,12.7,14.7,10.0
1995/1/1,9.6,11.3,5.0
1995/1/2,9.1,11.0,6.7
1995/1/3,11.7,14.8,8.6
1995/1/4,16.5,19.9,13.7
1995/1/5,11.8,13.8,9.4
1995/1/6,9.0,9.7,8.0
1995/1/7,10.3,12.3,8.0
1995/1/8,11.5,15.3,7.0
1995/1/9,13.8,17.0,7.9
1995/1/10,10.5,16.1,8.1
1995/1/11,8.6,9.4,7.7
1995/1/12,9.2,10.4,8.3
1995/1/13,8.4,9.4,7.7
1995/1/14,7.2,8.5,5.5
1995/1/15,7.3,8.9,5.7
1995/1/16,7.3,8.9,3.3
1995/1/17,6.1,8.5,1.6
1995/1/18,8.0,10.9,2.7
1995/1/19,8.8,10.9,5.1
1995/1/20,7.2,11.1,3.1
1995/1/21,9.2,13.8,2.8
1995/1/22,12.8,18.3,9.3
1995/1/23,13.3,15.6,10.0
1995/1/24,11.7,14.0,9.4
1995/1/25,7.7,10.3,5.3
1995/1/26,8.6,10.4,3.8
1995/1/27,9.2,10.6,7.5
1995/1/28,9.4,10.6,8.3
1995/1/29,9.3,10.7,8.2
1995/1/30,6.8,8.6,5.6
1995/1/31,6.2,7.3,5.1
1995/2/1,6.5,8.8,2.1
1995/2/2,5.9,9.8,1.3
1995/2/3,7.0,9.2,3.5
1995/2/4,7.9,10.1,4.4
1995/2/5,7.4,8.8,4.6
1995/2/6,8.0,10.1,4.6
1995/2/7,8.6,10.5,5.4
1995/2/8,11.1,12.5,8.4
1995/2/9,12.1,13.9,10.5
1995/2/10,8.9,11.6,7.7
1995/2/11,8.3,10.4,6.9
1995/2/12,12.0,14.2,8.5
1995/2/13,14.0,17.6,11.0
1995/2/14,11.5,13.0,7.4
1995/2/15,10.2,12.4,6.1
1995/2/16,10.1,11.4,7.4
1995/2/17,8.3,10.7,4.8
1995/2/18,8.4,11.4,3.8
1995/2/19,7.6,10.4,3.3
1995/2/20,8.7,12.2,3.3
1995/2/21,8.8,10.6,7.2
1995/2/22,8.4,11.7,5.0
1995/2/23,10.1,12.5,5.5
1995/2/24,11.4,12.7,10.5
1995/2/25,9.1,11.3,8.1
1995/2/26,8.7,10.9,5.8
1995/2/27,10.5,13.2,7.2
1995/2/28,9.1,10.7,6.1
1995/3/1,10.6,12.9,7.5
1995/3/2,9.6,12.8,5.0
1995/3/3,9.5,10.7,5.0
1995/3/4,8.2,10.1,7.1
1995/3/5,8.4,10.1,5.8
1995/3/6,10.0,11.8,8.6
1995/3/7,11.3,13.7,6.7
1995/3/8,12.4,14.8,7.3
1995/3/9,11.3,14.1,7.5
1995/3/10,11.0,16.1,7.2
1995/3/11,11.2,12.9,10.1
1995/3/12,10.0,13.6,7.2
1995/3/13,8.9,11.8,6.4
1995/3/14,9.5,12.2,6.4
1995/3/15,10.7,12.8,6.3
1995/3/16,13.5,17.4,10.6
1995/3/17,16.3,17.9,13.2
1995/3/18,11.7,16.1,9.4
1995/3/19,10.9,12.3,8.4
1995/3/20,9.3,12.7,5.6
1995/3/21,11.6,15.9,4.8
1995/3/22,15.4,18.3,12.4
1995/3/23,13.8,15.4,12.1
1995/3/24,14.3,15.1,13.4
1995/3/25,12.3,16.5,8.8
1995/3/26,7.9,9.5,5.9
1995/3/27,10.5,14.1,5.0
1995/3/28,12.2,14.7,9.9
1995/3/29,12.1,14.0,9.7
1995/3/30,13.9,19.0,12.3
1995/3/31,16.8,19.1,14.9
