ダウンロードした時刻：2017/07/24 15:45:21

,奈良,奈良,奈良
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2002/1/1,5.4,12.6,-0.2
2002/1/2,2.4,6.0,-2.1
2002/1/3,1.3,5.7,-2.5
2002/1/4,6.0,9.6,2.3
2002/1/5,6.6,10.2,0.8
2002/1/6,2.4,7.3,-1.1
2002/1/7,3.8,12.6,-2.3
2002/1/8,4.2,7.0,1.5
2002/1/9,4.4,8.7,1.8
2002/1/10,6.2,10.8,1.4
2002/1/11,7.8,14.7,4.0
2002/1/12,7.8,14.2,1.4
2002/1/13,8.2,15.7,2.4
2002/1/14,8.0,14.2,1.5
2002/1/15,9.9,12.0,7.7
2002/1/16,11.9,15.2,8.9
2002/1/17,6.9,10.6,3.0
2002/1/18,4.0,7.1,1.2
2002/1/19,3.9,9.9,-0.2
2002/1/20,6.1,12.4,-2.1
2002/1/21,9.0,11.1,6.1
2002/1/22,4.6,8.4,1.0
2002/1/23,2.6,6.7,0.4
2002/1/24,3.1,8.5,-0.9
2002/1/25,2.9,7.7,-1.2
2002/1/26,3.0,6.7,-2.0
2002/1/27,6.6,9.5,2.8
2002/1/28,5.5,9.2,2.5
2002/1/29,3.2,7.1,-0.1
2002/1/30,3.5,8.4,-0.9
2002/1/31,2.4,8.5,-1.9
2002/2/1,2.0,9.5,-3.7
2002/2/2,2.5,8.4,-2.4
2002/2/3,4.1,7.4,0.7
2002/2/4,5.9,11.9,2.6
2002/2/5,5.7,11.4,1.4
2002/2/6,6.2,12.9,2.2
2002/2/7,6.3,13.3,0.6
2002/2/8,6.3,14.1,-0.3
2002/2/9,5.9,11.4,0.8
2002/2/10,2.4,7.3,0.0
2002/2/11,2.0,5.3,0.3
2002/2/12,2.7,8.5,-0.9
2002/2/13,2.8,9.3,-0.4
2002/2/14,2.8,9.0,-1.1
2002/2/15,2.3,8.1,-1.5
2002/2/16,3.6,11.8,-3.4
2002/2/17,5.1,9.4,0.9
2002/2/18,5.6,10.2,0.6
2002/2/19,3.0,6.9,-0.2
2002/2/20,6.1,11.6,1.3
2002/2/21,7.7,16.6,-0.9
2002/2/22,9.3,13.6,6.8
2002/2/23,8.7,13.8,4.2
2002/2/24,6.2,13.4,0.7
2002/2/25,5.4,13.6,-2.0
2002/2/26,8.1,14.6,2.7
2002/2/27,9.1,14.3,3.9
2002/2/28,9.3,10.2,8.1
2002/3/1,10.3,15.6,6.1
2002/3/2,8.5,15.6,2.6
2002/3/3,5.7,11.7,-0.4
2002/3/4,5.3,13.5,-2.1
2002/3/5,7.0,11.3,2.1
2002/3/6,9.6,13.6,5.3
2002/3/7,6.5,10.3,2.9
2002/3/8,4.2,10.6,0.4
2002/3/9,6.5,16.1,-2.4
2002/3/10,10.1,17.7,0.9
2002/3/11,10.9,16.9,5.7
2002/3/12,10.3,17.7,2.5
2002/3/13,9.1,16.9,2.2
2002/3/14,11.2,21.0,1.3
2002/3/15,14.2,20.7,10.2
2002/3/16,10.7,16.6,6.0
2002/3/17,12.1,21.5,4.6
2002/3/18,10.2,20.3,4.8
2002/3/19,11.3,18.2,3.0
2002/3/20,13.1,20.1,8.1
2002/3/21,14.9,20.9,5.9
2002/3/22,11.3,15.3,7.9
2002/3/23,8.6,12.7,3.1
2002/3/24,5.8,13.4,1.6
2002/3/25,7.5,14.4,1.1
2002/3/26,12.0,20.8,2.0
2002/3/27,11.1,14.8,4.6
2002/3/28,9.3,18.0,0.9
2002/3/29,11.5,19.2,4.8
2002/3/30,13.5,19.0,7.0
2002/3/31,11.8,20.7,5.2
2002/4/1,14.0,22.7,5.8
2002/4/2,16.1,25.6,7.3
2002/4/3,15.5,25.8,9.0
2002/4/4,12.8,18.7,8.0
2002/4/5,12.6,21.6,4.7
2002/4/6,13.2,24.0,4.2
2002/4/7,14.6,18.9,11.2
2002/4/8,18.7,26.8,13.5
2002/4/9,13.8,19.3,9.0
2002/4/10,11.5,17.5,5.9
2002/4/11,11.8,18.9,9.1
2002/4/12,11.0,17.3,6.1
2002/4/13,11.5,20.1,3.9
2002/4/14,15.6,26.0,6.5
2002/4/15,18.3,27.1,11.2
2002/4/16,18.4,25.1,13.9
2002/4/17,14.7,20.9,7.3
2002/4/18,12.4,17.5,8.5
2002/4/19,14.0,22.2,5.9
2002/4/20,16.2,21.3,11.3
2002/4/21,15.4,17.6,14.1
2002/4/22,19.1,27.4,13.2
2002/4/23,20.0,26.8,15.1
2002/4/24,19.1,25.8,16.3
2002/4/25,13.2,17.8,7.8
2002/4/26,13.0,20.7,6.8
2002/4/27,14.2,22.5,6.3
2002/4/28,17.3,23.6,11.0
2002/4/29,17.0,20.5,14.4
2002/4/30,19.2,25.3,15.1
2002/5/1,16.0,18.2,13.4
