ダウンロードした時刻：2019/10/10 16:01:26

,館山,館山,館山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1996/12/1,9.1,12.2,5.4
1996/12/2,6.6,12.2,-0.3
1996/12/3,5.4,14.5,-0.7
1996/12/4,8.6,14.3,0.9
1996/12/5,17.1,18.7,14.2
1996/12/6,11.5,17.1,2.5
1996/12/7,8.4,13.6,1.5
1996/12/8,6.9,13.9,1.0
1996/12/9,6.1,13.8,-0.2
1996/12/10,9.0,14.3,2.5
1996/12/11,10.0,16.4,4.3
1996/12/12,8.6,17.0,3.7
1996/12/13,9.1,15.3,3.8
1996/12/14,9.3,16.1,4.4
1996/12/15,9.8,15.1,2.8
1996/12/16,10.9,16.2,6.6
1996/12/17,13.7,19.4,6.6
1996/12/18,14.8,18.7,8.1
1996/12/19,8.9,13.6,3.0
1996/12/20,7.1,11.8,2.0
1996/12/21,5.6,13.2,0.2
1996/12/22,8.7,14.5,0.3
1996/12/23,10.1,15.6,0.1
1996/12/24,5.1,12.5,-0.9
1996/12/25,8.4,15.3,2.1
1996/12/26,7.3,13.5,2.0
1996/12/27,6.9,12.3,2.6
1996/12/28,11.7,16.8,2.2
1996/12/29,6.2,11.6,2.6
1996/12/30,7.3,16.3,0.8
1996/12/31,7.5,15.5,1.2
1997/1/1,11.4,17.4,2.3
1997/1/2,12.3,16.9,7.5
1997/1/3,8.3,12.1,1.8
1997/1/4,4.6,11.6,-1.4
1997/1/5,6.2,11.0,1.2
1997/1/6,9.0,12.4,3.7
1997/1/7,8.1,13.7,2.5
1997/1/8,6.2,9.8,1.6
1997/1/9,4.6,10.9,-1.7
1997/1/10,4.0,10.8,-0.7
1997/1/11,4.1,12.4,-1.4
1997/1/12,2.8,10.9,-2.5
1997/1/13,2.9,11.5,-2.7
1997/1/14,7.8,14.4,-2.4
1997/1/15,6.8,11.1,2.5
1997/1/16,3.4,9.9,-1.5
1997/1/17,4.0,13.6,-2.8
1997/1/18,11.2,15.9,2.8
1997/1/19,6.5,12.4,0.3
1997/1/20,7.9,12.8,0.2
1997/1/21,9.5,13.4,2.7
1997/1/22,2.6,6.2,-1.2
1997/1/23,4.1,11.2,-4.6
1997/1/24,7.9,13.0,2.8
1997/1/25,4.1,9.3,-1.5
1997/1/26,4.3,12.4,-3.5
1997/1/27,6.2,11.8,-1.2
1997/1/28,10.2,14.1,3.5
1997/1/29,8.4,10.9,4.4
1997/1/30,4.1,8.8,-1.0
1997/1/31,4.0,8.9,-2.6
1997/2/1,3.6,10.5,-2.4
1997/2/2,5.1,10.6,-1.6
1997/2/3,,8.7,4.1
1997/2/4,5.5,10.1,-1.8
1997/2/5,5.8,10.0,1.0
1997/2/6,6.5,11.2,2.3
1997/2/7,6.3,12.7,0.5
1997/2/8,6.4,11.7,2.1
1997/2/9,6.6,14.1,1.6
1997/2/10,7.3,13.5,1.9
1997/2/11,7.3,13.2,1.8
1997/2/12,7.5,12.3,1.2
1997/2/13,3.9,8.9,-2.5
1997/2/14,4.3,10.7,-1.4
1997/2/15,5.7,12.9,-1.9
1997/2/16,8.2,13.1,3.2
1997/2/17,7.7,11.5,3.5
1997/2/18,5.5,10.2,0.0
1997/2/19,3.3,9.7,-1.4
1997/2/20,5.7,12.0,-3.3
1997/2/21,7.9,13.4,1.3
1997/2/22,2.5,6.5,-3.0
1997/2/23,3.0,9.9,-4.5
1997/2/24,4.7,12.5,-1.9
1997/2/25,9.9,16.4,-0.7
1997/2/26,15.0,20.2,10.2
1997/2/27,8.3,11.5,3.5
1997/2/28,11.1,15.1,4.1
1997/3/1,14.5,19.0,8.3
1997/3/2,9.4,12.1,5.6
1997/3/3,6.7,10.0,4.9
1997/3/4,6.3,12.5,1.4
1997/3/5,7.1,14.9,0.2
1997/3/6,10.8,17.4,1.2
1997/3/7,16.0,18.4,13.4
1997/3/8,11.6,16.0,8.5
1997/3/9,9.2,16.0,2.0
1997/3/10,9.3,14.4,1.3
1997/3/11,14.4,21.4,7.7
1997/3/12,8.6,13.8,4.5
1997/3/13,9.3,12.2,4.2
1997/3/14,13.2,17.2,9.4
1997/3/15,9.3,13.6,7.1
1997/3/16,6.1,7.4,4.5
1997/3/17,7.8,13.1,2.7
1997/3/18,8.8,13.6,5.4
1997/3/19,10.7,15.5,5.2
1997/3/20,9.9,13.4,5.6
1997/3/21,10.1,16.3,1.9
1997/3/22,10.4,11.8,9.3
1997/3/23,8.0,9.6,4.6
1997/3/24,6.1,12.6,-0.1
1997/3/25,9.1,15.4,-1.2
1997/3/26,12.5,17.8,4.4
1997/3/27,10.0,14.0,6.2
1997/3/28,11.6,18.0,2.0
1997/3/29,15.0,18.4,11.2
1997/3/30,17.5,21.4,10.8
1997/3/31,10.7,15.8,5.6
