ダウンロードした時刻：2019/10/10 16:09:16

,広島,広島,広島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1991/12/1,12.2,18.9,7.8
1991/12/2,12.0,17.6,8.2
1991/12/3,10.3,16.3,5.3
1991/12/4,10.5,16.2,6.0
1991/12/5,10.5,16.6,5.2
1991/12/6,11.0,14.4,8.2
1991/12/7,10.7,17.3,5.6
1991/12/8,10.8,16.4,6.6
1991/12/9,8.9,12.1,4.9
1991/12/10,7.9,13.4,2.2
1991/12/11,10.5,16.3,7.6
1991/12/12,4.3,8.0,3.1
1991/12/13,4.9,9.3,1.5
1991/12/14,5.8,12.1,0.7
1991/12/15,7.9,14.0,3.9
1991/12/16,9.9,16.4,4.0
1991/12/17,12.7,16.4,10.7
1991/12/18,11.3,14.5,7.0
1991/12/19,8.7,13.3,3.6
1991/12/20,8.3,13.9,4.1
1991/12/21,8.8,13.8,3.3
1991/12/22,11.9,16.1,8.9
1991/12/23,11.0,12.8,9.2
1991/12/24,13.3,16.7,10.6
1991/12/25,10.6,12.5,8.5
1991/12/26,9.3,12.5,7.8
1991/12/27,6.4,9.8,4.5
1991/12/28,6.0,9.8,2.3
1991/12/29,2.4,6.8,0.6
1991/12/30,3.5,9.6,0.4
1991/12/31,4.4,9.8,-0.6
1992/1/1,6.4,10.0,3.9
1992/1/2,8.3,14.2,4.2
1992/1/3,6.9,11.4,3.6
1992/1/4,6.2,13.4,2.0
1992/1/5,5.4,9.7,0.7
1992/1/6,6.5,8.0,5.2
1992/1/7,9.4,14.9,5.5
1992/1/8,9.0,14.0,3.8
1992/1/9,8.2,11.8,6.9
1992/1/10,6.8,10.4,2.2
1992/1/11,5.0,11.2,0.6
1992/1/12,6.1,13.0,0.8
1992/1/13,5.8,9.2,1.8
1992/1/14,5.6,7.9,3.5
1992/1/15,4.0,8.3,1.1
1992/1/16,4.9,9.8,-0.6
1992/1/17,6.3,10.1,3.2
1992/1/18,3.8,6.7,1.2
1992/1/19,5.1,8.9,2.2
1992/1/20,5.4,10.8,1.0
1992/1/21,6.1,10.4,2.2
1992/1/22,5.4,10.6,2.2
1992/1/23,4.6,7.2,1.8
1992/1/24,5.6,10.6,1.8
1992/1/25,5.7,11.0,0.7
1992/1/26,8.6,14.1,4.7
1992/1/27,7.4,14.9,2.6
1992/1/28,7.2,13.8,1.0
1992/1/29,10.2,15.5,4.9
1992/1/30,9.7,13.1,7.7
1992/1/31,7.3,11.3,4.1
1992/2/1,4.0,6.3,2.6
1992/2/2,5.1,8.7,1.4
1992/2/3,5.4,7.5,3.5
1992/2/4,9.4,12.9,5.8
1992/2/5,7.4,11.5,4.6
1992/2/6,7.1,11.1,2.5
1992/2/7,6.6,10.3,3.5
1992/2/8,4.9,9.5,2.0
1992/2/9,4.2,10.4,-0.8
1992/2/10,4.6,11.8,-0.6
1992/2/11,5.5,10.7,0.8
1992/2/12,6.3,12.1,0.6
1992/2/13,6.1,10.9,1.5
1992/2/14,6.2,10.7,2.5
1992/2/15,5.3,9.0,1.8
1992/2/16,6.3,9.3,4.0
1992/2/17,4.7,8.5,0.3
1992/2/18,6.7,12.2,0.9
1992/2/19,7.3,12.1,3.7
1992/2/20,5.1,7.8,2.6
1992/2/21,3.1,7.0,0.7
1992/2/22,3.8,9.5,-0.2
1992/2/23,5.3,10.8,-0.8
1992/2/24,5.7,8.4,3.9
1992/2/25,5.7,8.7,3.0
1992/2/26,5.4,10.7,0.1
1992/2/27,8.4,16.1,1.1
1992/2/28,9.6,13.6,5.9
1992/2/29,13.3,16.2,10.6
1992/3/1,15.6,19.6,12.6
1992/3/2,9.6,12.6,6.4
1992/3/3,7.3,12.1,5.1
1992/3/4,7.4,12.4,2.8
1992/3/5,8.6,10.0,6.3
1992/3/6,7.6,11.5,4.0
1992/3/7,7.0,12.6,2.4
1992/3/8,7.1,12.0,1.6
1992/3/9,9.1,13.4,6.1
1992/3/10,12.2,19.0,7.6
1992/3/11,10.4,15.6,4.7
1992/3/12,11.4,18.0,6.0
1992/3/13,11.2,17.5,5.2
1992/3/14,12.2,15.9,7.0
1992/3/15,13.0,15.9,11.5
1992/3/16,10.4,12.3,6.8
1992/3/17,7.7,11.1,4.9
1992/3/18,8.2,11.4,5.5
1992/3/19,9.8,14.2,5.9
1992/3/20,9.1,13.8,7.1
1992/3/21,9.2,13.7,6.8
1992/3/22,9.8,15.8,6.4
1992/3/23,7.6,9.3,5.9
1992/3/24,10.7,13.7,8.8
1992/3/25,11.4,15.2,7.2
1992/3/26,10.4,12.4,8.7
1992/3/27,9.5,10.8,7.5
1992/3/28,9.1,11.6,6.6
1992/3/29,12.5,14.3,11.1
1992/3/30,14.3,19.5,9.8
1992/3/31,13.2,19.4,6.1
