ダウンロードした時刻：2019/10/10 16:20:04

,厳原,厳原,厳原
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1998/12/1,13.6,17.8,10.1
1998/12/2,12.0,14.6,10.3
1998/12/3,11.0,13.1,9.1
1998/12/4,9.8,13.9,6.8
1998/12/5,9.3,13.5,5.2
1998/12/6,10.0,13.3,6.6
1998/12/7,10.7,13.7,7.8
1998/12/8,7.1,9.3,4.5
1998/12/9,5.0,7.8,2.4
1998/12/10,4.1,6.7,1.3
1998/12/11,6.4,9.3,2.4
1998/12/12,6.6,12.3,2.0
1998/12/13,9.9,11.6,7.4
1998/12/14,13.1,15.7,9.5
1998/12/15,9.2,11.0,5.5
1998/12/16,10.9,13.7,8.7
1998/12/17,10.1,15.9,5.4
1998/12/18,10.9,17.2,6.7
1998/12/19,13.5,17.3,8.8
1998/12/20,10.3,14.2,7.4
1998/12/21,9.5,14.7,5.4
1998/12/22,11.5,16.4,7.3
1998/12/23,10.5,13.8,6.6
1998/12/24,10.1,13.9,7.1
1998/12/25,9.4,14.6,4.7
1998/12/26,9.4,14.4,5.3
1998/12/27,9.7,11.7,5.0
1998/12/28,8.7,15.2,4.6
1998/12/29,11.3,14.6,7.7
1998/12/30,7.1,9.2,5.4
1998/12/31,5.0,6.8,3.4
1999/1/1,4.9,8.1,1.2
1999/1/2,6.4,11.3,0.7
1999/1/3,8.3,12.7,3.4
1999/1/4,7.6,14.2,3.3
1999/1/5,8.5,15.0,4.4
1999/1/6,9.2,12.7,4.7
1999/1/7,4.8,10.6,0.8
1999/1/8,1.6,3.4,0.4
1999/1/9,1.2,2.7,-0.5
1999/1/10,2.6,6.2,-0.2
1999/1/11,4.1,6.5,2.6
1999/1/12,3.5,,1.2
1999/1/13,4.7,7.4,2.6
1999/1/14,6.1,8.7,2.6
1999/1/15,5.2,6.9,3.6
1999/1/16,5.2,8.2,2.1
1999/1/17,7.8,12.9,3.1
1999/1/18,8.2,12.6,4.8
1999/1/19,9.2,13.9,4.4
1999/1/20,6.1,9.2,3.1
1999/1/21,3.2,7.5,0.2
1999/1/22,6.9,11.7,0.2
1999/1/23,9.3,12.1,5.1
1999/1/24,10.5,13.0,7.0
1999/1/25,9.2,13.7,5.8
1999/1/26,8.2,11.8,4.4
1999/1/27,9.1,12.6,3.5
1999/1/28,6.9,11.1,2.0
1999/1/29,4.5,8.1,1.2
1999/1/30,3.3,6.9,-0.6
1999/1/31,5.7,10.9,0.0
1999/2/1,9.0,13.5,5.1
1999/2/2,5.5,8.6,2.0
1999/2/3,0.2,2.4,-2.4
1999/2/4,2.0,6.0,-2.3
1999/2/5,4.0,7.0,1.4
1999/2/6,5.9,10.8,0.3
1999/2/7,8.9,11.9,4.3
1999/2/8,9.2,13.4,4.5
1999/2/9,9.8,14.1,4.1
1999/2/10,10.1,13.1,6.9
1999/2/11,7.0,8.9,5.0
1999/2/12,3.4,6.3,0.8
1999/2/13,1.2,5.3,-1.5
1999/2/14,3.7,10.1,-1.3
1999/2/15,7.1,13.3,2.4
1999/2/16,8.1,14.7,3.1
1999/2/17,12.6,16.5,6.8
1999/2/18,10.1,14.5,7.0
1999/2/19,5.0,8.1,2.9
1999/2/20,3.8,5.5,2.0
1999/2/21,3.1,5.9,1.2
1999/2/22,5.0,8.4,0.1
1999/2/23,8.0,11.5,1.3
1999/2/24,8.5,10.6,5.6
1999/2/25,8.5,13.7,4.2
1999/2/26,9.8,12.0,5.3
1999/2/27,7.4,9.6,4.6
1999/2/28,6.0,9.8,1.8
1999/3/1,9.9,12.6,6.9
1999/3/2,11.7,15.4,8.4
1999/3/3,12.1,17.9,5.0
1999/3/4,10.5,14.7,6.7
1999/3/5,14.9,17.8,10.3
1999/3/6,11.5,13.7,10.1
1999/3/7,9.5,11.7,7.5
1999/3/8,8.2,11.2,6.8
1999/3/9,8.0,9.6,5.7
1999/3/10,10.0,13.1,6.0
1999/3/11,10.0,13.0,8.4
1999/3/12,9.8,11.2,7.4
1999/3/13,12.4,14.9,9.4
1999/3/14,13.7,14.8,12.4
1999/3/15,10.3,13.6,9.2
1999/3/16,10.2,14.1,6.4
1999/3/17,12.2,17.0,5.8
1999/3/18,15.6,19.8,11.1
1999/3/19,10.7,17.3,7.6
1999/3/20,7.6,9.3,4.8
1999/3/21,9.0,11.9,4.4
1999/3/22,3.6,7.4,1.2
1999/3/23,6.2,11.8,1.1
1999/3/24,10.1,12.9,3.9
1999/3/25,14.3,17.3,12.2
1999/3/26,14.1,16.5,10.2
1999/3/27,10.0,13.2,5.9
1999/3/28,9.7,13.5,5.1
1999/3/29,9.6,11.2,7.5
1999/3/30,8.8,10.0,7.7
1999/3/31,10.6,15.3,5.8
