ダウンロードした時刻：2019/10/10 15:39:38

,仙台,仙台,仙台
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1982/12/1,10.3,13.4,5.8
1982/12/2,7.7,11.4,4.9
1982/12/3,7.2,10.9,4.7
1982/12/4,8.6,13.5,4.9
1982/12/5,10.8,16.0,6.0
1982/12/6,2.0,6.4,-0.8
1982/12/7,3.9,7.8,-1.3
1982/12/8,4.5,7.7,1.1
1982/12/9,4.7,9.1,-0.9
1982/12/10,7.0,12.8,2.5
1982/12/11,9.4,14.6,1.9
1982/12/12,8.4,12.2,4.3
1982/12/13,3.8,6.8,0.1
1982/12/14,4.0,8.4,-0.6
1982/12/15,5.4,11.0,1.7
1982/12/16,6.1,12.4,3.1
1982/12/17,6.7,9.6,3.9
1982/12/18,3.8,7.6,-1.3
1982/12/19,2.5,6.5,-2.0
1982/12/20,5.2,9.4,-0.9
1982/12/21,7.0,11.3,2.9
1982/12/22,6.2,8.1,3.8
1982/12/23,7.2,12.4,3.4
1982/12/24,5.4,9.0,3.1
1982/12/25,3.7,6.5,1.5
1982/12/26,1.4,3.7,0.1
1982/12/27,4.9,8.6,1.5
1982/12/28,3.6,6.8,-0.2
1982/12/29,5.8,11.5,0.0
1982/12/30,4.6,7.8,1.0
1982/12/31,1.2,3.7,-0.5
1983/1/1,1.2,3.0,-1.4
1983/1/2,1.5,4.3,-1.6
1983/1/3,2.5,5.9,-0.8
1983/1/4,3.2,7.6,-1.2
1983/1/5,4.1,8.5,-1.1
1983/1/6,4.3,8.2,0.8
1983/1/7,2.8,6.1,-1.7
1983/1/8,5.9,14.4,1.5
1983/1/9,1.2,3.5,-0.2
1983/1/10,-1.8,-0.2,-3.2
1983/1/11,-0.4,2.2,-3.5
1983/1/12,2.0,5.2,-1.5
1983/1/13,1.9,5.3,-0.4
1983/1/14,0.8,3.8,-1.5
1983/1/15,1.4,4.5,-1.3
1983/1/16,2.0,5.7,-1.1
1983/1/17,1.9,6.7,-3.0
1983/1/18,0.0,0.8,-1.0
1983/1/19,0.8,4.5,-4.0
1983/1/20,-0.2,3.7,-2.0
1983/1/21,-1.2,2.6,-4.4
1983/1/22,-1.9,0.8,-5.4
1983/1/23,-0.6,3.0,-6.7
1983/1/24,2.4,5.8,-0.4
1983/1/25,4.7,9.0,-1.4
1983/1/26,4.9,7.0,3.4
1983/1/27,4.8,8.5,-0.5
1983/1/28,7.1,12.2,2.1
1983/1/29,8.2,13.8,1.6
1983/1/30,3.9,7.3,-0.6
1983/1/31,1.1,3.4,-1.9
1983/2/1,3.3,7.2,-1.1
1983/2/2,1.8,3.4,0.7
1983/2/3,2.0,5.9,-1.4
1983/2/4,1.1,4.1,-2.2
1983/2/5,2.7,8.0,-3.0
1983/2/6,3.1,6.7,-0.3
1983/2/7,1.8,5.4,-0.8
1983/2/8,0.2,4.3,-2.8
1983/2/9,0.8,5.1,-2.1
1983/2/10,-0.8,3.1,-2.6
1983/2/11,-2.0,1.9,-4.7
1983/2/12,-2.8,1.6,-5.7
1983/2/13,-4.1,-1.5,-5.9
1983/2/14,-2.3,2.0,-6.5
1983/2/15,1.2,6.9,-5.3
1983/2/16,1.6,4.9,-1.3
1983/2/17,-0.7,0.5,-2.4
1983/2/18,1.0,2.2,0.5
1983/2/19,1.9,4.1,-1.4
1983/2/20,1.2,5.0,-2.6
1983/2/21,0.0,3.6,-2.8
1983/2/22,0.5,3.6,-3.0
1983/2/23,1.5,6.6,-4.1
1983/2/24,0.6,3.4,-1.9
1983/2/25,1.0,4.7,-3.5
1983/2/26,-0.5,2.9,-3.0
1983/2/27,-0.1,3.5,-4.0
1983/2/28,4.1,6.7,-1.5
1983/3/1,6.1,11.3,0.6
1983/3/2,1.7,4.4,0.4
1983/3/3,3.8,7.4,1.1
1983/3/4,2.8,6.6,0.2
1983/3/5,1.9,6.0,-1.5
1983/3/6,2.3,7.7,-1.7
1983/3/7,1.5,5.3,-2.0
1983/3/8,1.9,5.4,-0.4
1983/3/9,3.0,7.8,-1.9
1983/3/10,1.8,3.6,0.0
1983/3/11,6.2,11.3,1.5
1983/3/12,4.4,8.3,-1.0
1983/3/13,2.4,5.0,-0.1
1983/3/14,0.9,2.9,-0.7
1983/3/15,2.8,7.7,-0.8
1983/3/16,3.9,6.8,-1.6
1983/3/17,4.5,8.1,1.3
1983/3/18,2.9,5.9,0.2
1983/3/19,4.0,8.2,0.3
1983/3/20,4.1,8.1,-0.8
1983/3/21,4.7,9.9,0.1
1983/3/22,8.5,13.5,4.4
1983/3/23,6.8,11.5,2.5
1983/3/24,6.3,9.6,4.3
1983/3/25,5.2,10.4,1.4
1983/3/26,5.4,9.5,1.3
1983/3/27,5.1,9.0,1.6
1983/3/28,6.7,12.6,3.7
1983/3/29,6.5,12.9,1.6
1983/3/30,6.8,11.6,2.9
1983/3/31,6.9,11.5,1.4
