ダウンロードした時刻：2019/10/10 16:00:30

,横浜,横浜,横浜
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1991/12/1,12.1,15.6,9.2
1991/12/2,12.0,15.8,8.0
1991/12/3,11.7,15.7,8.8
1991/12/4,11.5,15.2,7.9
1991/12/5,12.0,15.2,10.1
1991/12/6,11.8,15.1,7.9
1991/12/7,13.3,17.6,10.0
1991/12/8,10.8,12.0,8.9
1991/12/9,8.9,11.4,6.2
1991/12/10,8.0,10.7,4.9
1991/12/11,13.2,17.7,5.3
1991/12/12,7.3,13.5,3.5
1991/12/13,6.9,11.0,1.8
1991/12/14,8.7,13.0,4.6
1991/12/15,8.7,12.6,4.2
1991/12/16,9.6,14.8,5.1
1991/12/17,10.2,13.9,5.7
1991/12/18,12.5,18.7,9.3
1991/12/19,9.4,11.9,7.0
1991/12/20,7.0,8.7,5.1
1991/12/21,7.0,10.5,3.8
1991/12/22,8.6,13.7,4.1
1991/12/23,9.9,13.4,5.7
1991/12/24,11.5,16.0,8.1
1991/12/25,8.4,11.3,4.0
1991/12/26,3.0,4.2,1.5
1991/12/27,2.5,4.2,0.9
1991/12/28,6.0,11.7,1.9
1991/12/29,5.0,9.0,1.5
1991/12/30,4.0,8.5,-0.2
1991/12/31,6.2,9.5,2.8
1992/1/1,6.9,11.0,3.2
1992/1/2,7.4,11.3,3.4
1992/1/3,7.5,11.3,3.5
1992/1/4,7.7,12.4,4.6
1992/1/5,7.5,11.3,4.0
1992/1/6,5.9,8.1,2.7
1992/1/7,5.1,6.4,2.7
1992/1/8,9.3,15.3,4.2
1992/1/9,5.7,8.3,4.6
1992/1/10,6.3,10.9,3.5
1992/1/11,6.5,9.6,2.8
1992/1/12,5.3,10.0,2.9
1992/1/13,8.6,13.3,3.0
1992/1/14,6.8,10.8,3.4
1992/1/15,3.8,6.5,1.2
1992/1/16,3.8,7.0,0.0
1992/1/17,7.5,13.6,3.4
1992/1/18,6.6,10.5,3.7
1992/1/19,5.2,10.2,2.1
1992/1/20,5.2,10.2,1.4
1992/1/21,4.9,8.5,1.3
1992/1/22,6.7,11.0,3.9
1992/1/23,6.5,9.9,3.5
1992/1/24,5.5,9.2,1.7
1992/1/25,5.1,9.2,0.5
1992/1/26,6.8,10.0,2.9
1992/1/27,8.6,11.8,5.6
1992/1/28,8.4,12.1,5.1
1992/1/29,10.2,16.0,4.2
1992/1/30,7.6,9.2,6.3
1992/1/31,3.7,7.1,0.6
1992/2/1,2.4,6.3,0.5
1992/2/2,4.2,9.2,-1.3
1992/2/3,7.3,13.4,1.8
1992/2/4,10.1,15.0,5.4
1992/2/5,6.5,9.9,4.4
1992/2/6,6.3,9.9,3.6
1992/2/7,8.0,14.5,2.8
1992/2/8,5.1,9.1,2.3
1992/2/9,4.9,9.0,0.2
1992/2/10,5.8,10.9,0.9
1992/2/11,6.8,11.5,3.7
1992/2/12,7.3,12.6,2.6
1992/2/13,9.1,13.3,5.2
1992/2/14,7.7,12.3,4.3
1992/2/15,7.5,10.9,2.4
1992/2/16,8.9,15.7,3.6
1992/2/17,7.0,11.2,3.0
1992/2/18,6.9,9.9,4.0
1992/2/19,6.9,11.2,4.4
1992/2/20,5.4,8.1,2.8
1992/2/21,3.6,7.0,1.3
1992/2/22,4.4,8.5,-0.5
1992/2/23,5.8,10.9,0.2
1992/2/24,4.7,6.3,2.3
1992/2/25,5.7,9.8,2.9
1992/2/26,6.0,10.9,1.5
1992/2/27,7.6,13.2,1.6
1992/2/28,11.1,15.4,6.1
1992/2/29,15.6,19.8,9.2
1992/3/1,16.2,19.0,12.6
1992/3/2,9.4,12.7,6.3
1992/3/3,5.2,6.6,4.0
1992/3/4,7.1,11.0,3.3
1992/3/5,5.1,8.2,4.1
1992/3/6,7.1,9.7,4.7
1992/3/7,8.0,12.1,5.2
1992/3/8,7.7,11.6,2.9
1992/3/9,9.9,14.3,4.5
1992/3/10,10.3,14.8,7.4
1992/3/11,11.6,14.9,9.8
1992/3/12,10.1,12.0,8.7
1992/3/13,12.3,17.2,7.2
1992/3/14,13.6,18.4,9.4
1992/3/15,16.3,20.3,11.6
1992/3/16,11.4,15.8,6.4
1992/3/17,3.9,6.9,2.3
1992/3/18,3.6,6.8,1.1
1992/3/19,9.0,11.3,6.1
1992/3/20,11.0,15.2,7.2
1992/3/21,4.7,9.8,1.0
1992/3/22,6.6,12.4,1.5
1992/3/23,3.7,5.5,1.9
1992/3/24,8.4,13.7,2.7
1992/3/25,10.2,13.9,6.3
1992/3/26,10.6,11.6,9.5
1992/3/27,9.8,10.4,9.2
1992/3/28,10.4,13.2,6.8
1992/3/29,9.7,10.7,8.6
1992/3/30,13.8,19.5,9.8
1992/3/31,13.5,17.9,9.2
