ダウンロードした時刻：2019/10/10 16:04:23

,米子,米子,米子
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1995/12/1,5.0,7.0,3.5
1995/12/2,6.8,8.9,4.9
1995/12/3,8.1,11.0,5.4
1995/12/4,7.3,11.1,4.1
1995/12/5,3.4,5.9,2.0
1995/12/6,2.9,6.4,0.4
1995/12/7,4.0,7.9,1.5
1995/12/8,3.8,6.0,1.9
1995/12/9,5.6,8.5,3.0
1995/12/10,5.6,12.6,0.3
1995/12/11,8.0,14.0,2.9
1995/12/12,7.8,10.5,4.8
1995/12/13,5.7,11.1,1.0
1995/12/14,8.2,14.2,2.2
1995/12/15,8.9,10.6,4.2
1995/12/16,5.4,8.6,3.6
1995/12/17,5.3,8.9,3.2
1995/12/18,5.1,9.5,1.6
1995/12/19,5.5,9.5,2.4
1995/12/20,6.5,11.5,1.7
1995/12/21,6.0,9.9,3.9
1995/12/22,6.0,10.7,0.9
1995/12/23,7.1,11.4,1.8
1995/12/24,5.2,10.4,0.2
1995/12/25,1.1,2.4,-0.2
1995/12/26,1.3,4.1,-0.4
1995/12/27,3.0,5.9,0.5
1995/12/28,4.1,8.1,-1.3
1995/12/29,4.2,7.4,2.3
1995/12/30,1.1,2.9,-0.3
1995/12/31,3.6,7.3,-1.5
1996/1/1,4.9,7.1,2.7
1996/1/2,5.0,11.6,-0.1
1996/1/3,6.5,11.4,2.2
1996/1/4,2.7,5.6,0.6
1996/1/5,5.6,11.6,1.0
1996/1/6,6.1,9.3,3.0
1996/1/7,7.9,12.5,1.4
1996/1/8,5.6,13.0,-0.6
1996/1/9,-0.1,3.1,-2.3
1996/1/10,2.8,4.9,1.1
1996/1/11,3.3,7.7,0.7
1996/1/12,4.7,8.8,0.8
1996/1/13,4.1,10.2,-1.0
1996/1/14,10.7,14.5,1.0
1996/1/15,10.5,13.4,9.6
1996/1/16,7.3,10.1,4.1
1996/1/17,4.6,8.4,1.6
1996/1/18,4.5,8.4,2.5
1996/1/19,4.5,9.4,-0.6
1996/1/20,5.6,9.9,3.0
1996/1/21,5.2,10.2,1.0
1996/1/22,4.3,9.2,0.5
1996/1/23,4.4,8.6,2.0
1996/1/24,2.6,5.7,0.1
1996/1/25,2.3,5.3,-0.1
1996/1/26,0.7,3.6,-0.8
1996/1/27,1.9,6.9,-2.5
1996/1/28,4.3,7.6,-0.1
1996/1/29,4.4,9.2,1.5
1996/1/30,2.0,5.2,0.1
1996/1/31,1.3,3.8,-1.1
1996/2/1,-0.4,2.0,-2.0
1996/2/2,-1.7,1.3,-3.6
1996/2/3,0.6,4.2,-2.9
1996/2/4,2.1,5.8,-0.8
1996/2/5,2.7,7.4,-0.4
1996/2/6,0.5,4.0,-1.6
1996/2/7,1.0,4.7,-2.1
1996/2/8,2.9,6.2,-1.7
1996/2/9,1.4,3.7,-1.4
1996/2/10,-0.1,1.6,-1.7
1996/2/11,2.8,8.8,-2.7
1996/2/12,8.9,14.9,3.1
1996/2/13,13.1,20.1,8.0
1996/2/14,13.1,21.4,7.0
1996/2/15,7.9,11.6,5.2
1996/2/16,3.4,5.2,1.7
1996/2/17,3.2,7.1,0.5
1996/2/18,2.2,4.1,0.4
1996/2/19,1.6,4.0,-1.0
1996/2/20,1.9,5.1,-0.1
1996/2/21,1.1,4.2,-1.5
1996/2/22,2.0,5.9,-1.3
1996/2/23,4.0,7.6,0.6
1996/2/24,3.1,4.7,0.3
1996/2/25,1.1,5.9,-2.3
1996/2/26,3.9,8.0,0.8
1996/2/27,5.5,8.8,1.8
1996/2/28,6.4,11.5,2.2
1996/2/29,5.9,13.2,-1.3
1996/3/1,5.4,9.3,2.2
1996/3/2,4.4,8.7,1.3
1996/3/3,4.0,8.5,0.4
1996/3/4,5.2,11.3,-0.3
1996/3/5,3.4,5.7,1.4
1996/3/6,3.3,9.2,-1.9
1996/3/7,6.6,11.5,0.4
1996/3/8,8.9,13.8,5.2
1996/3/9,5.2,7.2,2.5
1996/3/10,4.0,8.5,1.2
1996/3/11,4.3,10.5,0.2
1996/3/12,3.4,6.3,0.0
1996/3/13,6.3,13.4,-0.8
1996/3/14,9.8,16.5,2.8
1996/3/15,7.4,8.8,5.7
1996/3/16,7.5,12.5,0.7
1996/3/17,11.4,15.3,7.8
1996/3/18,6.4,9.9,0.7
1996/3/19,4.8,8.7,0.3
1996/3/20,5.9,10.4,0.2
1996/3/21,10.6,15.9,2.7
1996/3/22,9.7,13.1,7.8
1996/3/23,5.8,7.9,3.6
1996/3/24,5.2,9.1,-0.9
1996/3/25,7.6,10.9,3.5
1996/3/26,6.5,11.6,1.5
1996/3/27,8.0,15.5,2.4
1996/3/28,7.3,10.9,2.2
1996/3/29,9.6,14.3,4.3
1996/3/30,17.2,25.3,13.3
1996/3/31,11.6,13.8,9.9
